评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3656248097,交换人生,2023,好运连连,2,人生倒霉事之二，昨天晚上看晚会，今天早上看这个（和晚会一样好看）,2023-01-22 11:10:19,2595
3656248216,交换人生,2023,Alto,4,龙虾那段到岳云鹏出现，笑得头都掉了。就是末了有点虎头蛇尾,2023-01-22 11:10:26,536
3656247220,交换人生,2023,高阳酒徒,3,演员们演技都没啥问题，就是纯粹剧情不给力,2023-01-22 11:09:21,1834
3656314217,交换人生,2023,瞬息小石头,2,不是每个春节档喜剧都可以是《你好，李焕英》。《交换人生》可以抬走了，一个字儿:烂！ 雷佳音演的很油腻，张小斐戏份和作用仅是大号女配，各个配角也很脸谱化。台词很尬，剧情很无厘头，煽情很刻意且尴尬，矛盾制造的很生硬，问题解决的很突然，还有一些极其令人无语的价值导向（反正烂片有的它都有罢了）。 唯一亮点:张宥浩！他演的很好，台词和形体都很好，是少见的可以演出青春朝气的男演员（或许是我看青春片比较少吧）。他把少年的青涩感和中年男性的成熟感演绎得淋漓尽致，给大家充分彰显了他塑造角色的能力！如果他的资源再进一步，相信他可以有更好的成就。 总之，今年春节档，避开《交换人生》[抠鼻]只是一个观影避雷推荐,2023-01-22 11:55:12,933
3667486701,交换人生,2023,杨迪,4,大年初三带家里人去参加了带见面会的场次。去之前有些疑虑，因为豆瓣开分两天，分数不高。我又作为客串（对全片剧情完全未知，客串只有扉页），到时如果电影确实如部分网友所评，我应该如何发言才好呢。但电影看毕，我个人突然不太理解那些打低分的缘由了，整部片子肯定不是如同开心麻花或周星驰电影那般密集而笑，但它一直点缀着细腻且恰如其分的幽默。而且搞笑不是它的本质，温暖和爱才是它想要表达的。用奇幻的外壳讲述了关于人生选择的故事，非常适合阖家观赏。我9岁外甥女看到大鹅，整个乐开了花。当然，每个人都有自己的审美角度，我仅表达我想说的。如果你还没看这部电影，我还挺推荐的。,2023-01-27 14:24:16,375
3656105047,交换人生,2023,momo,4,三星差不多，但是多一颗星是鼓励。整个观影过程都很轻松。今天真的笑的很开心，前段时间看独行等，很多时候是笑不出来的。苏伦+ 陈祉希，女导演+女制片，我想这是令我全程舒适的原因：女性视角。和女性主角不同，女性主角的影片也可能是男性视角。《交换人生》可以说是女性视角的男性主角电影，小谷是绝对第一主角，但是从女性创作者的视角中展开，是许多男性视角不曾出现过的角度。从电影到生活，其实我们缺失很多女性视角，且就电影而言，其实我们需要更多的女导演，女编剧，等等。,2023-01-22 14:43:18,280
3656243711,交换人生,2023,虾酱ShrimpPie,3,是斐妈爆前接的电影，镶边女主，有点子无聊。三星全给里面的女性角色。妈妈大爆之后希望越来越多更好的本子找过来！,2023-01-22 11:04:29,1664
3658328883,交换人生,2023,星星被风撩过✨,2,你说无聊吧，还是有点笑点的；你说好笑吧，故事特别无聊甚至有点尬。你说他是奇幻片吧，幼稚没有丝毫逻辑；你说他是家庭片吧，我不知道导演想表达什么，情感和价值观全都是虚浮的，还有很多恶俗趣味。p.s. 能不能不要什么人都来演喜剧，我看到傅首尔都想吐。,2023-01-23 10:27:40,743
3656292682,交换人生,2023,44个鼻涕包,3,叫交换鹅生这部电影可能会更精彩,2023-01-22 11:43:09,852
3656242578,交换人生,2023,IINSUNRISE,1,仿佛我写作文凑字数 然后在作文中间强行融入几句在别的书籍找到的抄词好句,2023-01-22 11:02:57,2310
