评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
2732479215,人潮汹涌,2021,豆瓣路人己,2,有多难让人相信这故事，就是上海女人咋可能会看上这样的男人呢,2021-02-10 11:56:21,4387
2748962678,人潮汹涌,2021,lovewei,5,挺好玩的，感觉比唐探和李焕英有意思,2021-02-17 13:32:39,707
2734719135,人潮汹涌,2021,天马星,3,一流的表演（除了万茜），二流的笑点，三流的剧本。同样是拍荒诞喜剧，饶晓志和宁浩最大的区别就是悬浮（即自以为是的接地气），其对喜剧的理解大概就是硬挠胳肢窝让人尬笑的东西，一如既往地要演员救场，至于万皇的表演，只能说您之前不火真的没毛病。,2021-02-12 10:39:52,6233
2739525107,人潮汹涌,2021,一文,3,短短一个月，华仔失忆两次。,2021-02-14 14:32:15,5469
2734934315,人潮汹涌,2021,阿年,5,人潮汹涌这部影片输在了名字上！！这名字我真看不出来是喜剧，还以为是犯罪悬疑片。完成度很好但是排片太虐了，看了导演之前的直播，因为预售不理想有点悲观和焦虑。看完只有一个感觉，华仔不愧是华仔！！,2021-02-12 13:49:54,478
2747362723,人潮汹涌,2021,尹子,4,自律的人，在什么样的环境下，都能把生活过得很好。,2021-02-16 22:32:09,3782
2735608295,人潮汹涌,2021,小爷们er,3,三星半吧，刘德华是真帅，肖央是真油腻，万茜是真一般，黄小蕾是真遗珠,2021-02-12 20:01:14,3006
2741503452,人潮汹涌,2021,高哥729,3,如果没有万茜这条感情线至少可以再加一分,2021-02-15 10:49:40,2776
2740603843,人潮汹涌,2021,馆馆,3,万茜和刘德华为何能如此没有cp感,2021-02-14 22:41:52,2484
2739506171,人潮汹涌,2021,烟花易冷,4,晖姐真的太倒霉了,2021-02-14 14:21:42,3724
2753077647,人潮汹涌,2021,illeverglow,5,这才是我心中的春节档No. 1,2021-02-18 22:14:26,455
2765752266,人潮汹涌,2021,不知道的事儿,4,唯一的感受：自律的人啊 在逆境和顺境都是一样的。,2021-02-25 22:13:14,2305
2734525734,人潮汹涌,2021,奈斯Biu,3,中国拍电影的地方就剩上海重庆了吗😅,2021-02-14 13:29:01,1145
2753268106,人潮汹涌,2021,杉爷,3,此片应改名叫《被坑骗的晖姐的一生》。他妈的晖姐又招谁惹谁了呢🙂 三星半吧，三星全给华仔，还是很帅很蛊。半星给四川话，自带喜感没办法。,2021-02-18 22:58:48,1047
2729873858,人潮汹涌,2021,椿的小鱼干,3,万茜真好看！其他就那样了。,2021-02-12 13:37:01,1000
2711745413,人潮汹涌,2021,是！憨🎱🐢明白,3,饶晓志真把刘德华给辜负了,2021-02-13 12:20:28,519
2623231977,人潮汹涌,2021,都柏林人,4,以前华仔摩托车后面载的是白衣飘飘的吴倩莲，30年后只能带带傻乎乎的肖央。,2021-02-13 01:24:01,1828
2734678831,人潮汹涌,2021,你张大爷,5,真正喜欢你的人，是不会给你打分,2021-02-12 09:39:24,531
2747872112,人潮汹涌,2021,樱桃小橘子,3,没看懂影片想表达的内容？以及感情线真的多余冗长，后期万茜一出现就想让人按快进键… 最出彩的角色当属黄小蕾的晖姐，她演得很好！,2021-02-17 00:36:49,434
2743709868,人潮汹涌,2021,Alue,3,To 所有的电影，不要随随便便在电影里添加爱情元素！不要随随便便在电影里添加爱情元素！不要随随便便在电影里添加爱情元素！重要的事情说三遍！（“这个就是爱情”“我爱你妈麻花情”）,2021-02-16 00:34:17,355
2725071308,人潮汹涌,2021,榜上有名猫,4,翻拍日本电影《盗钥匙的方法》，交换身份后的人生重启，后半部分做了本土化修改，笑点比槽点多，能看（PS：粤语点映场次，还是建议看普通话版吧）,2021-02-08 23:56:10,1179
2739472667,人潮汹涌,2021,138****1144,3,本以为会是《这个杀手不太冷》，哪知拍成了熊出没之喜羊羊智斗红太狼 隔着20多岁的父女恋怎么看都觉得出戏啊[尴尬] 所以资本是残酷的，有华仔又怎样，3%不到的排片1亿不到的票房说明了愿意进电影院的并不买账,2021-02-14 14:00:57,122
2734723746,人潮汹涌,2021,Pe4ch,2,很一般，感情戏又臭又长，仅仅是推动剧情作用。。片中三个女性，恨嫁女莫名其妙爱上德华，狐狸精骗钱跑路，反派女老大被男人和小三耍的团团转，刻板形象的塑造就像春晚小品,2021-02-12 10:45:42,805
