评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
2734864780,你好，李焕英,2021,404 Not Found,0,这次感受注定是感性压倒理性的，所以就不打分了。 贾玲还是适合做小品，她的表演方式、她的叙事能力都更适合能和观众互动的、短小精炼的舞台而不是要被观众一帧一帧检视的电影。更何况她非科班出身，参与电影项目也不多，要执导筒讲故事就更是自曝其短。 这是一部非常开心麻花式的片子，如果你喜欢《夏洛特烦恼》那么可以去看看，如果是抱着宁浩电影的期待那就赶紧睡个回笼觉，或者喝杯咖啡把瞌睡醒醒。 但说一千道一万，《你好李焕英》只能是贾玲来演、贾玲来导，它是贾玲自己的情感寄托和内心牵挂。哪怕在我觉得很尬的场景里，她对母亲的爱意和思念都饱满到要冲出屏幕来逼我落泪。我也确实掉了眼泪，在大年初一这天。 这种情绪不是浓汤宝能兑出来的煽情，哪怕我和她的人生轨迹并不相同，但我也在电影院里体会了一把贾玲的过往青春。,2021-02-12 13:00:53,15435
2734705322,你好，李焕英,2021,稻草上的小僵尸,4,有笑有泪的，不明白陈赫这个人物有什么作用，完全多余,2021-02-12 10:22:31,30037
2734754029,你好，李焕英,2021,韦斯安徒生,3,贾玲水平有限，奈何感情无比真挚。虽然结尾让我哭的稀里哗啦，但也没能改变前半段就是个低配版夏洛特烦恼的状况。,2021-02-12 11:20:22,8936
2634121555,你好，李焕英,2021,Augenstern,5,贾玲：我给你们讲个笑话，你们别哭。,2021-02-12 10:10:39,27920
2734863703,你好，李焕英,2021,停止狡辩,4,跟唐人街探案三的分数相比，很明显观众们评判电影的标准不仅在于你拍的好坏，而更在于你拍的态度是否真诚,2021-02-13 22:32:07,24091
2734814231,你好，李焕英,2021,Sanny,3,这完全是贾玲拍给自己的作品，不是拍给观众的，充满了个人的执念。,2021-02-12 12:18:00,7236
2668778165,你好，李焕英,2021,𓆝𓆟𓆜𓆞𓆡,5,感谢编剧没有让李焕英以少胜多赢下排球赛。这个剧其实好就好在它的质朴情感上。没有什么输赢胜负，也没有什么人生逆袭改变命运。穿越回来只为了让你开心。不完美的小人物在闪闪发光。,2021-02-12 11:24:50,18363
2738080794,你好，李焕英,2021,哈喽哇,3,前一个小时强行塞包袱，后面干嚎占二十分钟。。。,2021-02-13 21:31:47,3360
2734795928,你好，李焕英,2021,Ne.,5,真诚打动内心，没办法客观评价,2021-02-12 12:00:45,17394
2737035326,你好，李焕英,2021,陀螺凡达可,2,2.5 穿越梗是人家三十多年前玩剩下的套路，拍得也很糟糕（导演问题），全程味同嚼蜡，直到最后那个反转。这是皮克斯式的情感/视角反转（参考瓦力、玩具3和Coco），学到了精髓而奏效，可惜又处理得过于繁重拖沓。当然电影之外的真情实感的确很动人。,2021-02-13 12:59:08,1561
2736196223,你好，李焕英,2021,私享史,3,7分。豆瓣8.2分过分了，就电影论电影的话，贾玲这部作品最大的问题在于它不太像电影（但也确实比小品形态提升了不少）。如果无视这一点，主要凭是否感动或者哭了多少眼泪来评价它的优劣，那就好比让情色片与AV同台竞技，主要凭观众生理反应的指标来评价优劣。 同样是女性导演的亲情题材，许鞍华《桃姐》8.3分，张艾嘉《相爱相亲》8.4分，就是把贾玲纪念母亲的真诚用心全算上，它跟蒋雯丽《我们天上见》——同样演员出身的导演处女作，同样纪念自己至亲——也差了几条街，后者的确是一部电影，蒋雯丽之后没再做导演让我觉得可惜，而贾玲如果之后再做导演我只会觉得她是飘了。 如果你只是把它当成一件商品，那么眼泪的容量可以跟商品的质量成正比。如果你还把它当成一件艺术品，那么真诚只是优秀艺术品的要素之一，技巧和手法同等重要。【仙桃金逸】,2021-02-12 23:48:48,2686
