评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
2564475109,刺杀小说家,2021,V.,4,3.5 特效值得肯定 确实是国产最佳 但故事还是欠火候 感觉还有很多细节可以展开 但…春节档那么多电影 川谱（四川话）或成最大赢家 （黑甲真的好帅 呜呜呜）,2021-02-12 10:16:23,7519
2734763849,刺杀小说家,2021,乐事薯片,2,爸爸找女儿的剧情，真的一点都不感人…特效吹的天上有地上无，坐在电影院的我？？？就这？！bug一堆，设定也不行…难受…我真的如坐针毡！🙉🙉🙉🙉浪费钱啊！！！！,2021-02-12 11:30:14,1011
2734730628,刺杀小说家,2021,深井冰人欢乐多,4,杨幂接住了于和伟的戏，而且我还嗑到了他俩，还搞到了小董。。。我要缓缓。。。,2021-02-12 10:54:09,7547
2741357348,刺杀小说家,2021,阿立,3,bug太多，已经不想说。姐姐把弟弟推下悬崖，弟弟爬上来，姐姐竟然笑着给弟弟说快跑，真是人类迷惑行为大赏,2021-02-15 08:55:21,11363
2741754741,刺杀小说家,2021,深度冬眠,3,我要是小说家起来看到结局可能会当场去世,2021-02-16 16:10:23,325
2734905616,刺杀小说家,2021,Amsterdream,4,先说结论： 不夸张的说，《刺杀小说家》是我看过的特效最好的国产电影！ 1. 有原作打底，剧情没太大问题，有一点点细节，但我觉得不必深究。 2. 美术奇绝瑰丽，充满想象力，攻打白瀚坊那场戏，令人直起鸡皮疙瘩。配合IMAX 3D看，观感惊人。 3. 配乐有诺兰那意思。 4. 黑甲武士，也太像毒液了吧- - 总的来说，四星半！,2021-02-12 13:30:55,3674
2734701746,刺杀小说家,2021,无名子,4,胶皮手套，木地板，绝缘。 是不是该给伍迪哈里森点肖像使用费,2021-02-12 10:17:30,3651
2739371171,刺杀小说家,2021,亵渎电影,3,小说改编很容易遇到一个困境，就是如何让小说的故事找到现实的根基，这往往需要修补大量的现实逻辑问题，这也是改编《刺杀小说家》最难的地方。小说很短，留白很多，你可以理解成想象世界是现实世界里主人公的内心投射，各种细节可以在在脑补中对位。到了电影改编，一切都需要很实，类型片又需要争分夺秒地计算节奏，这时候用类型片常见的套路和技巧来填充，到了观众那里，能不能迅速接受它的世界观和故事的现实逻辑，就成了一个问题，创作者也很容易在类型片写作技巧中迷失。什么技巧都对，可能只是编剧写作技巧层面上的对，改编填补的太满也可能沦为事赶事，而第二幕的叙事节奏本来就是一座迷宫。个人情感上我很喜欢这部电影，基本上就是想象中的样子，类型技巧上很有专业水准，电影制作上的工业含金量也很高，看得出路阳导演的野心和追求！,2021-02-14 12:59:50,133
2753523368,刺杀小说家,2021,章鱼大头丝,3,打架打得都忘讲故事了。,2021-02-19 00:03:37,191
2734966894,刺杀小说家,2021,frozenmoon,3,路阳想要得太多了，显然，更多的是想尝试着进行一次更大的大制作和真正的大制作，所以在有些地方有些后期的张艺谋化了。对于故事而言的把控放松了，演技都很怪异。其实真正有趣的是路阳从《绣春刀》一直以来从未变过的隐喻，这一切看懂的人都会会心一笑。,2021-02-12 14:11:49,197
2735848096,刺杀小说家,2021,扬枝,1,我在影院坐牢,2021-02-12 21:44:45,3244
2734701705,刺杀小说家,2021,Mr. Infamous,4,（长文→https://douc.cc/3ZRKjF）四重互文很有意思。幻想倒映着现实的焦虑与渴望，现实承载着幻想的隐忧与希冀，而相关人员集体“越界”，曲径通幽，各有各的恍惚。与此同时，我们所处的真实世界也叠加了一层互文关系进去，种种呼应一一对上，多少人能从电影里看到熟悉的景象。再看创作者，又何尝不是在书写自己？以路阳为首的创作者，跟路空文之间也形成了对应。回过头来再看电影中的豪迈、悲哀与解气，又接上了《绣春刀》系列的世情，路阳在祭出小说家宇宙之前，早已有了自己的脉络贯穿，或者说，这也会是《刺杀小说家》的某种互文。三星半。0205,2021-02-12 10:17:27,4998
1821335324,刺杀小说家,2021,Energybaby,5,电影本身其实可以打四星吧。。节奏和剧情稍微弱了一些，但是后面20分钟的高潮很精彩。特效实在是厉害，好像还是全中国特效团队做的，加一星。这类动漫与现实交织的影片其实很吃受众，双线穿插交织又更难把控。如果做《流浪地球》这种太空科幻受众会更好。可见导演确实有野心，不过能力还是需要加强。,2021-02-12 10:32:25,4083
2735861607,刺杀小说家,2021,Forgiven,2,我TM震撼一整年 真是一部彻头彻尾的烂片集合体啊 真是把我能够想到的烂片特征全部集齐了 1.毫无逻辑稀碎的编剧 2.全片不知道在讲些什么 想要表达什么 以找孩子为主线 最后找找没啊 什么也没告诉观众这能叫留白吗 这直接给我堵住了 3.无厘头丝毫引不起我笑点的低到极致的恶劣笑点 什么加特林 人间大炮 在很多奇怪的地方穿插笑料 真的毁全片 4.大量穿插的恶意广告植入 5.学人家的还学不会 大量的动作戏 我怎么看起来有股爵迹那味啊 本来我以为是日漫热血向 最后干掉大boss 为女儿复仇之类的 结果主角非常不讨喜 路空文全程划水 我都不知道他的意义是什么 还有那个铠甲莫名其妙 6.极其三流的剧本 改编的真是醉了 在这些烂片元素的集体加持下，杨幂作为烂片女王，在此片中都是为数不多的亮点 让我洗洗眼睛!,2021-02-12 21:50:16,761
2734784562,刺杀小说家,2021,同志亦凡人中文站,4,成熟的工业化电影，在网文和现实之间腾挪移转，用打怪讲述打拐故事，父女离散的命运被一场文学创作所改变。东方玄幻的战斗场面，造型却是走的“指环王”风格，感觉新奇又时尚。雷大头演技在线，董子健弱鸡有理，连杨幂都超水平发挥了。想要里面那件战斗盔甲，快来吸我吧~~~,2021-02-12 11:50:16,2944
2749728237,刺杀小说家,2021,無鴉,2,？？有几次真的想夺门而出，我满脑子只有李成儒的三个词：“如芒在刺、如坐针毡、如鲠在喉”。 救命啊，再好的特效和演技都救不了这个shi一样的剧情。 男主那么弱鸡还要去打boss是什么煞笔操作？姐姐拼命推你回去逃跑结果呢还要爬上来，什么也做不了就活生生看着姐姐死去。然后那个追杀的人就在那里看你们姐弟情深，好的，仇恨埋下，姐姐就是个让弟弟复仇的工具人。 两城对打你站着准备白给，箭就是射不中你我无语。 看到红衣骑士不动了，只是去推开他们！为什么不杀了他们！！最讨厌没有本事还要去自不量力结果只能靠主角光环和别人帮助的人！ 然后回到现实！槽点太多了！杨幂这个角色的转变就无语！老板那么有钱为什么保镖那么少！各种推动就很无语！挺好的设定的，甚至让我想到大护法，但是！白瞎了！爷乌鸡鲅鱼,2021-02-17 19:11:53,470
2734719725,刺杀小说家,2021,应如是,4,瑕不掩瑜的春节档大作。缺点是前一半节奏太慢，差不多一个半小时才完全讲清楚世界观和展开情节。小说里是奇幻世界，小说外其实也不是现实世界，而是类似x战警的世界。搞清楚这一点对观影体验很重要。优点是特效相当精美，三位主演奉献了精彩演出。结尾有点仓促，但是因为跟情节紧密联系，所以倒也不好说是缺点。,2021-02-12 10:40:38,3352
