评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
4429745753,哪吒之魔童闹海,2025,海底,5,申公豹：小镇做题家的一生,2025-01-31 10:30:26,27932
4426743530,哪吒之魔童闹海,2025,居无间,5,饺子的水准真的稳。本片是对第一部的全面升级，阴阳美学更加极致，水与火、红与蓝、善与恶等等元素多番碰撞与交融，最终激发出了澎湃而恢弘的冲击力。这一部的变身以及兵器的运用更燃、更爽，且富有想象力。情绪上依然是笑与泪兼具。内核上又不止于对命运不公的反抗，与不公斗争的不再只是哪吒，还有困于既定约束下退无可退的许多小人物，而当个体变成群体后，对个人命运的刻画变为对时代命运的洞察，这种主题上的升华让影片更有回味。值得二刷。,2025-01-29 11:28:51,15992
4426743085,哪吒之魔童闹海,2025,boboan,5,何为“反父权”？79年的哪吒直观地以“反父亲的教导”来代表反父权的思想，19年的魔童哪吒横空出世，哪吒也得以拥有一对爱自己的爸妈，于是反父权=反命运，拒绝标签，我命由我。如果说第一部的反父权是直白对父系权威和命运掌控的反抗，那么25年第二部中的思路则全方位转变：哪吒不再为了反抗而反抗，这反而会导向另一个极端的禁锢；哪吒选择在看清了一切规则后抽身其外，不留任何转圜和调和的余地。我们多少也收到过所谓仙翁的‘绿牌’，但当你祛除所有泡沫，或许发现绿灯红灯根本没那么重要，走对自己的路，是魔又如何？！,2025-01-29 11:28:18,15241
4429873335,哪吒之魔童闹海,2025,丁小雨,4,感觉“我命由我不由天”的是申公豹，申公豹真的好努力，努力的小镇做题家，努力攀附强者才能让自己出人头地，好想哭,2025-01-31 12:41:23,16157
4426903456,哪吒之魔童闹海,2025,Fang,3,烦透了这种高层隐身、中层搞事、底层遭殃的设定，无数次看得我血压飙升，哪吒虽然设定是魔，行事倒是深受忠孝仁义那套东西束缚，也不知道到底反了个啥？,2025-01-29 13:46:29,36320
4382838815,哪吒之魔童闹海,2025,团小纸,5,中国人有共同集体记忆的神话传说一定会提到哪吒闹海，所以春节看哪吒也是属于中国人自己的仪式感！延续第一部的优秀人设，第二部每个人物形象依旧很饱满，龙爸龙姑都好美！不过我还是最爱哪吒，他对于身份的自我认同与他的觉醒程度正相关的，让人觉得充满力量，一声声发问和呐喊震耳欲聋！真棒！2025用好电影开个好年！,2025-01-29 11:30:51,8417
4426746507,哪吒之魔童闹海,2025,茗政,4,虽没有第一部“我命由我不由天”的惊艳金句，但更多了些“怎能不知道这世间的规则，由谁所定？”的结构性思考，无量仙翁的“个体失范代替制度失范”真是最佳切口。狠狠期待第三部！,2025-01-29 11:32:15,14693
4427073894,哪吒之魔童闹海,2025,朝暮雪,3,很多桥段很低俗，第一部就有这样的问题，但就是不改，因为导演觉得拍得再低俗都有大把的人去看，不缺你一个。 踩裙子、做藕粉的时候抠脚、擤鼻涕、猪放屁、随地大小便、喝尿、喝呕吐物，虽然最后没喝，但还是令人深感不适。 导演似乎以为屎尿屁等低俗元素等同于喜剧，却不知道高级的喜剧可以让人开怀大笑的同时保持内容的雅洁，更何况这部电影的大多数受众还是小朋友。 电影所探讨的打破宿命、反对不公本应体现在内核上，而电影中这些精神全都浮于表面，导演以为仅仅通过赋予哪吒一个奇特的长相，以及吊儿郎当、没有教养的形象就能展现其反抗精神，这和叛逆期的初中生的理解无异。 为了多卖票房炒CP、卖腐，不能拍同性片就通过打擦边球的方式吸引观众，骗喜欢看此类情节的人去看，又当又立，但你有没有想过有些观众只是想看正经国漫，不想看卖腐？,2025-01-29 16:12:06,33796
4439795188,哪吒之魔童闹海,2025,马二,3,好棒的特效，好俗的剧本，好疯狂的大众。,2025-02-06 23:54:46,8313
4436445115,哪吒之魔童闹海,2025,4421,3,好燃不知道在燃什么 但是确实很燃 但是确实不知道在燃什么,2025-02-04 17:14:45,5234
4428776941,哪吒之魔童闹海,2025,凌林,5,申公豹视角get:有自己的脑子是一件多么值得庆幸的事,2025-01-30 17:48:12,2250
4426744881,哪吒之魔童闹海,2025,ChristopherCC,4,能不能别放3D版本。,2025-01-29 11:30:28,4616
4378404853,哪吒之魔童闹海,2025,[未注销],4,《哪吒第二部：战火陈塘》。 讲出来了；看进去了。,2025-01-29 11:30:32,5116
4438611250,哪吒之魔童闹海,2025,朝阳刘亚仁,3,真的太冗长了…以及这部里的哪吒本人一点都没有人物魅力是可以说的吗…,2025-02-06 01:30:13,3837
4427796429,哪吒之魔童闹海,2025,不法之徒.,3,有顶级美术和特效却没有优秀文本承托的电影。 台词不接地气，笑话或低俗或突兀，剧情之间衔接不够，形成割裂。内核更陈旧肤浅，摆脱不了父慈子孝、宏大集体主义的戏码，无法跟原版哪吒削肉剔骨的反父权精神比拟，所谓反强权反阶级叙事是靠异常直白简单的正邪对立来塑造的，套了一个身份的矛盾而已，并且在这个对立中又堆叠出集体主义。最肤浅到可笑的是天天挂在嘴上的反抗命运，不过靠响亮的大嗓门和天生自带的神力成就，驱动因子总是愤怒居多（人物已经扁平了），到头来一口少年热血也很落俗。 “若天地不容我，我就扭转乾坤，若没有路，我就踏出一条路”这种台词土得我印象深刻。 //竟然还有那么低级的政治隐喻，和美国相关的就可以让网友过一把民族情绪高潮瘾了，此地吹这个二流导演倒也不惊讶，不能睁眼看看世界只会觉得这样的电影是天花板咯。,2025-01-29 23:21:43,4170
