评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
2734814263,唐人街探案3,2021,CestJuliejolie,1,多次拿女性胸部玩梗就是很不适,2021-02-12 12:18:02,14922
2737069014,唐人街探案3,2021,豇豆胡萝卜,3,一个年轻貌美的妈妈为了一碗面当着自己小孩的面被一个流浪汉糟蹋… 想出这种剧情的人指定是脑子有点问题,2021-02-13 13:20:19,25366
2734716379,唐人街探案3,2021,亲爱滴么么哒,3,没那味了，后面强行升华，些许厌倦。,2021-02-12 10:36:16,17779
2735024009,唐人街探案3,2021,会有前路,4,刘昊然很帅，但是护士姐姐被打和36D那里真的让我生理性不适,2021-02-12 14:52:28,25833
2734704296,唐人街探案3,2021,饿了就吃,3,开场尬到爆啊，逻辑混乱，推理小儿科啊，结局强行升华啊，总之是一部能看但不推荐的平平无奇的电影。,2021-02-12 10:21:04,15175
2734733889,唐人街探案3,2021,会滑行的饺子,2,全剧136分钟：110分钟的跑路+15分钟的父女故事10分钟的推理+1分钟的广告。,2021-02-12 10:57:59,30121
1355213831,唐人街探案3,2021,假亦真,3,不能忍强殴女护士！！！,2021-02-12 23:15:24,9651
2734718912,唐人街探案3,2021,momo,3,无语，这个夹带私货好多，好多地方尬的一身鸡皮疙瘩，就是普通的商业片。,2021-02-12 10:39:34,7047
2734746721,唐人街探案3,2021,Jasper,4,世界上一切可以称之为艺术的东西都需要天赋。,2021-02-12 11:12:21,6953
2734767666,唐人街探案3,2021,kuma,4,日本群演吊打大陆流量明星…,2021-02-12 11:34:07,5511
2127724294,唐人街探案3,2021,momo,4,Q是在致敬1Q84吗哈哈哈，结合反乌托邦题材抵制虚无的完美世界,2021-02-12 10:07:42,804
