评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
4426829080,唐探1900,2025,Wingzyuuu,3,感觉爱丽丝和白振帮的相遇 下一秒就弹出来水中贵族百岁山了,2025-01-29 12:40:06,20273
4429716457,唐探1900,2025,momo,4,2025年坐在美国电影院看完这部片子，很微妙的感觉。 其实和一百年前好像没什么不同。,2025-01-31 09:54:30,8416
4417354385,唐探1900,2025,Keith Lee,4,比想象中好看多了，虽然中间有点尴尬，尤其是岳云鹏那段，但是越到后面越好看，发哥结尾一段长英文台词霸气侧漏，尽显家国情怀，库萨克应该是拍“解密”顺便来拍了这部，王宝强的河北话很喜庆，刘昊然这次念台词居然没结巴。ps：为什么小沈阳戏份这么少！！真就连客串都不如啊！！,2025-01-29 11:28:56,6164
4426845168,唐探1900,2025,豆瓣路人己,3,陈思诚很像班上的中等生，很努力，上了很多培训班，也做了很多习题册，有很多想法见底。但真的到了考场，就是会露怯，有灵光的地方，也有糟糕的地方。这种人反而经常被人请教，他教人的时候又总会比自己发挥好。,2025-01-29 12:53:19,10529
4426840019,唐探1900,2025,谋杀游戏机,4,系列最佳，除了热闹好笑之外还比前三部厚重了很多，特别喜欢岳云鹏、张新成、周润发演的三个角色，分别代表了晚清忠臣、进步革命青年、出海劳工。小岳岳最后那场戏很感人，陈思诚对这些即将随着破碎的大船沉入海底的人是有一份同情心的，让冷热兵器打了一次平手。发哥身上几乎浓缩了一整部劳工血泪史，这个角色非发哥莫属，只有他的气场和表演魅力能镇得住这么大场子。电影里发哥信过阿弥陀佛，信过哈利路亚，印第安人信玄学，美国人号称信法律，信公平。中国人应该信什么？信自己。要像接受魔术一样接受时代进步，自强不息。自强是开放的自强，不是封闭的自强，最后秦福决定师夷长技以制夷，这也是今日中国的现状。,2025-01-29 12:49:05,3420
4428370948,唐探1900,2025,阿殍,3,陈思成可真是一个聪明的吴京啊,2025-01-30 12:13:35,9396
4430025467,唐探1900,2025,卫司瞳Leah,4,虽然不咋喜欢岳云鹏尤其他在电影里老演奸佞小人，但看完后最喜欢的片段就是他听到报纸上说八国联军打到北京了珍妃死了皇帝和老佛爷下落不明，那一刻他的震惊 错愕 愤怒 万念俱灰，在爱尔兰人的欢声笑语里抬手一柄飞刀刺穿报纸割破对面头目的喉咙 然后大家混战在一起，他带的两个肌肉虬结的练家子在帮派脏乱的后巷里挥刀，数十年勤学苦练的一身武艺好像只为了生命最后那片刻的枪林弹雨，和心里再也回不去的故土 推理部分比较好猜，感觉唐探已经像柯南三选一一样有固定模式了，先是数线并进乱成一锅粥趁热喝了，尾声再打断一个什么发布会开始推理，法庭听证会记者发布会。。但就像柯南能写到一千多集再扯大家还是会看，春节档要哪天真没了唐探大概也会寂寞如雪。。最后这部真没什么登味儿，爱国情怀也克制 就像最后白人的餐桌后那巨大的佛首,2025-01-31 14:53:21,2362
4426853601,唐探1900,2025,PbriQwQ,3,什么时候能不在喜剧里掺宏大叙事,2025-01-29 13:00:37,9964
4426753611,唐探1900,2025,ast,2,也是让陈思诚吃上爱国饭了，就剩一点推理梗还是抄的,2025-01-29 11:39:05,12558
4426751900,唐探1900,2025,时脆吱,2,带着陈一如既往的鸡贼，探案弱智不说，还缝合了民族主义再教育，如坐针毡。大过年的，不想听上课。,2025-01-29 11:37:27,8182
4426707449,唐探1900,2025,小旗,2,喧哗浮夸，又闹又俗，陈氏奇技淫巧的最后挣扎，观众的口味审美早成长了只有他还沉迷在土鳖1.0国际化商业大片的意淫之中，不过你胡闹归胡闹，这种时候就别硬蹭爱国主义了吧,2025-01-29 11:25:26,6047
4426797859,唐探1900,2025,SiriKnowsAll,3,张新成和周润发和其他人不在一个图层。,2025-01-29 12:13:39,7529
4433936143,唐探1900,2025,kako,4,说实话在我心里可以有7.5分的水平，但是在评论区发现居然有那么多人讨厌所谓的宏大叙事，其实我本人倒是没有看出什么硬凹家国情怀宏大叙事，只是把100多年前发生的事情再说一遍也叫宏大叙事吗？又戳们土殖肺管子了,2025-02-02 23:31:29,1759
4427752712,唐探1900,2025,西尔莎小王,3,一种另类的主旋律片诞生了,2025-01-29 22:58:31,6418
4443916376,唐探1900,2025,北邮放牛娃,4,我始终觉着豆瓣用户对陈思诚过于不友好，比如这部电影，如果不是陈思诚应该能拿个7.2的分数，这种可3星可4星的电影，大家会因为陈思诚给个三星，变成了现在的6分，整个故事是很圆的，没有割裂感，吃爱国饭怎么了，我觉着怎么也比长津湖我和我的祖国好一万倍吧,2025-02-10 11:19:02,648
4426741792,唐探1900,2025,AYIN,5,完成度挺高的，但是想到这历史背景还是很沉重，结局看到那些文物太扎心了。,2025-01-29 11:26:27,5840
4427264944,唐探1900,2025,UglyBerry,4,跳出《唐人街探案》系列，做了新的叙事方式。虽然都是“唐探”，但这个系列的意思已经变为“唐人街神探”了，在这个叙事口之下，讲各种故事。,2025-01-29 18:24:27,635
4520915381,唐探1900,2025,怂的很彻底.,4,评论真是对国产电影他妈刻薄到不行啊。,2025-05-01 20:57:04,220
4426834403,唐探1900,2025,壹安²,4,家国仇恨，落叶归根，发哥撑起一半，脱下西装，重新穿上马褂的周润发你可千万不能错过啊！！,2025-01-29 12:44:32,904
4428336071,唐探1900,2025,米娅酱,4,对我这种上价值敏感星人来说，这个价值上得一点都不生硬，没有一点说教味，就已经值四星了。也不缺笑点和探案，值得一看。,2025-01-30 11:38:57,729
