评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3220393581,喜羊羊与灰太狼之筐出未来,2022,居无间,3,谁能想到，喜羊羊成了春节档最燃。它最值得肯定和鼓励的是，从番剧改成大电影，是有剧作意识的。尤其是第三幕，情节点依循赛场规则和进程设计。在对垒中也照顾到了群像刻画。场面做得不错了，技术上有待提升。,2022-02-03 20:59:39,545
3215611576,喜羊羊与灰太狼之筐出未来,2022,kakakarl,3,看今年熊的预告片，太空的细致度比之前更加提升了，羊的画风过了12年也没有什么本质上的提升，笑点也很低幼……但随着剧情的深入，运动题材的热血与燃动，在比赛过程中，采取了更多的线条，三维等形式辅助画面内容，不吹不黑，是喜羊羊所有剧场版中，最好看的一部。 灰太狼问，“喜羊羊我们认识多久了”，喜羊羊说“大概5000多集吧”，突然有种感动莫名其妙……还有灰太狼要喜羊羊回打自己一拳，背景浮现粉红色的心，导演太会了，狼羊CP王道！美羊羊可别让沸羊羊继续舔了！,2022-02-01 10:59:56,342
3079494552,喜羊羊与灰太狼之筐出未来,2022,椎名真白,5,希望你带着偏见和鼓励 一直走下去,2022-02-01 10:48:59,908
3221429990,喜羊羊与灰太狼之筐出未来,2022,ལྟད་མོ་བ,4,灰太狼：喜羊羊，我们认识多久了？ 喜羊羊：5000多集了吧。 上次看的大电影是《虎虎生威》转眼竟然又轮到虎年了。 #22.02.04厦门思明电影德盛分院10:40,2022-02-04 12:19:37,781
3215580717,喜羊羊与灰太狼之筐出未来,2022,开平彭于晏,2,6#筐出未来 2022.01.22点映 题材不是我熟悉的，前作也没看过，故我的评分对这部电影来说不太公平。整体看来还是比较子供向的，篮球技巧特效化也蛮有趣，但是里面的大道理很多且安插得刻意，剧情便也稍显僵硬，运动题材的作品没能让观众“同呼吸”是很可怕的。不过有些笑点还是能戳到的，后面懒灰沸那段自嗨笑不活了！,2022-02-01 10:22:29,137
3051118258,喜羊羊与灰太狼之筐出未来,2022,吃月亮的人,4,我宣布喜羊羊是今年春节档天花板😋 「对了喜羊羊，我们认识多久了啊？」 「五千多集了吧。」 我超这不比绝杀慕尼黑燃😭 赛场上我们遭际到未知性，用积极的姿态去承受它，直到生产出我们独异的节奏，这就是竞技游戏教会我们的。聚光灯不会在分出胜负后才投下来，它伴随着每个游戏者的运动。,2022-02-02 17:59:09,868
3051624311,喜羊羊与灰太狼之筐出未来,2022,JacobGao,3,看了灌篮高手 决定改一下评分 等我再细细对比一下想想当初为什么不太喜欢吧。,2022-02-04 10:41:30,115
3224867075,喜羊羊与灰太狼之筐出未来,2022,轻灵真实,3,有点儿灌篮高手的感觉。故事还算流畅吧，也比较简单，小孩子看还是可以的。,2022-02-06 01:18:36,102
3350856925,喜羊羊与灰太狼之筐出未来,2022,安大帅,3,画风和十余年前的记忆有些不一样，他们是透过健忘的玫瑰色的雾霭来回首青春的。,2022-05-12 01:23:29,27
3234498167,喜羊羊与灰太狼之筐出未来,2022,暴怒影评狗,2,各位，有必要看吗？,2022-02-11 22:31:50,6
3395063993,喜羊羊与灰太狼之筐出未来,2022,fallingraining,3,那几个战术还真蛮绝的,2022-06-20 00:38:51,13
3327180582,喜羊羊与灰太狼之筐出未来,2022,醉梦·聊生,3,舍弃生肖计划，单纯从篮球组织故事，也算是另谋出路了，灰太狼早已不再吃羊，动物们完全拟人化，篮球比赛本身充满了不可预知，要发挥每一只羊的长处，达成众羊一条心，给灰太狼和对手都有足够的证明自己的机会，怎么去赢看得出花费了心思。,2022-04-23 21:45:17,15
3224781338,喜羊羊与灰太狼之筐出未来,2022,JoeyLu陆柏宇,0,不爱看体育题材,2022-02-06 00:29:28,10
3153216635,喜羊羊与灰太狼之筐出未来,2022,一只特特呦,4,0123点映。 相识已经5000多集，片尾曲“曾经唱着喜羊羊的我们，是否变成无聊的大人”很感慨。 电影整体上还不错，《绝杀慕尼黑》同款结局。,2022-02-01 10:05:53,676
3319829016,喜羊羊与灰太狼之筐出未来,2022,Hi Friday,3,和我小时候看的喜洋洋和灰太狼完全不一样了诶，画风和故事感觉都不一样了。2022春节档只有这个电影没去电影院看了。是个看了开头就能大概猜到的故事，但春节档应该还是适合小孩子去看看的。,2022-04-17 23:39:09,8
3215689178,喜羊羊与灰太狼之筐出未来,2022,Lin Nashty,4,22.1.23 沪北点映场#对于篮球爱好者来说，绝对是诚意满满的一部动画作品。最可贵的一点在于，创作者在不失篮球真实程度的前提下，将赛场当中的篮球技巧视觉化、特效化，赛场中出现的所有战术打法以及球员较为夸张的特殊技巧都是真实存在，并没有为动画视效胡编乱造。对《灌篮高手》和现实中职业球员的各种致敬，以及对篮球技战术的展现，充分体现创作者的用心。ps:喜羊羊对灰太狼使出了格林公式，这种奇妙感觉谁懂...,2022-02-01 12:17:24,443
3803718333,喜羊羊与灰太狼之筐出未来,2022,我是小狗,3,提前向灌篮高手致了个敬,2023-07-23 23:03:31,0
3217130921,喜羊羊与灰太狼之筐出未来,2022,浆糊骗子,1,不是你们熟悉的那批羊 虎年也没有泰哥 所有动物以人模人样为傲 作为十几年老粉看导演被资方摁头乱乱改实在是心疼 （为了通稿吹牛特意做了个手机贴脑门耳朵上接电话的镜头）（读书无用是韭菜的新归宿）（评分只针对烂片 勿上升至羊狼本作 虎虎生威yyds）,2022-02-02 00:42:25,237
3050319519,喜羊羊与灰太狼之筐出未来,2022,熊二豆瓣,5,喜欢喜灰的都可以看!,2022-02-01 15:12:24,248
3323790420,喜羊羊与灰太狼之筐出未来,2022,Panda的影音,3,时过境迁……如今的自己已不再像曾经那样嫌弃《喜羊羊与灰太狼》和《熊出没》……就2022年春节档的两部大电影来看，《熊出没·重返地球》于我个人的观感比《喜羊羊与灰太狼之筐出未来》更胜一筹。,2022-04-21 09:54:28,13
3167776628,喜羊羊与灰太狼之筐出未来,2022,白鸦,4,为啥都变成大长腿了，框出胜利的形象不好吗 挺不错的，就是时长有点短了，要是能有点总冠军后的剧情和狼队对虎队的剧情就好多了,2022-02-03 20:28:06,175
4595264925,喜羊羊与灰太狼之筐出未来,2022,李秋天,3,如果狼羊可以放下捕食的天性一起打篮球那主角被设置成狼羊还有意义吗？根本就是一个普通人打篮球的故事，主角完全可以是任何一个人。但答案是有！意义在于二十年、五千多集累积下来的人物塑造，看着喜灰懒美沸暖赢球对于每个曾经喜欢过他们的小孩来说都由衷的开心。不懂技巧，没有剧情，但这玩意是真的燃啊！ 其实本质上是吃老本，新人物塑造得一塌糊涂，又俗又无聊。但国漫现在这个局面，有老本可以吃已经是超越了一大部分了。,2025-07-26 00:18:58,0
3058488067,喜羊羊与灰太狼之筐出未来,2022,要恒奕,5,可以,2022-08-12 07:40:30,2
3319567260,喜羊羊与灰太狼之筐出未来,2022,黄悦_,4,观影门槛可能对于孩子来说太高了 篮球术语太难懂了以至于分数这么低 其实对于体育类电影来说 激励了梦想的孩子 鼓励了打篮球的孩子 还有关于父爱关于朋友 全部都讲得很好！里面好几个看球的梗还挺有意思的 像“你没来之前我们就没输过”“20分也不是不可以追的”、最后彩蛋里艾弗森晃过乔丹 对于喜欢篮球的我们来说都是欢乐。彩蛋把那辆电车变成了非卖品有一瞬间鼻子酸了——这辆车曾是爸爸的宝贝 但和孩子喜欢的篮球鞋相比 还是可以义无反顾拿去交换 真感人！PS表白暖羊羊 作为第一个爆种的球员顶虎山真是太帅了！,2022-04-17 21:13:26,53
4844676476,喜羊羊与灰太狼之筐出未来,2022,阿朽,3,感觉是编剧自己想拍山王战搞出来的，没想到井上雄彦自己拍了，很多模仿灌篮的地方，懒羊羊是三井哈哈哈哈。,2026-05-17 21:15:00,0
3326840286,喜羊羊与灰太狼之筐出未来,2022,浩子菌,4,7分，比博燃！,2022-04-23 17:20:24,3
3202718197,喜羊羊与灰太狼之筐出未来,2022,宫唯明,3,初中之后就再也没有看过喜羊羊，这次看口碑不错就去看了点映。没想到还是挺惊喜的，电影是非常典型的好莱坞三段幕式，节奏非常的紧凑，是一部非常标准的运动类型片。但缺点也在于节奏有点过快，时不时的插科打诨有点影响情绪的递进，带小孩子来看还是非常合适的。,2022-01-22 20:41:15,0
3423680804,喜羊羊与灰太狼之筐出未来,2022,路人彦小二,2,曾经如日中天的喜羊羊系列，莫名其妙就销声匿迹，这次再度回归，让我有点看不懂了。尽管奥运期间早就有喜羊羊体育运动系列，可那时候画风还是一只羊，现在直接拟人化，变成肌肉羊狼，很久没看的老路人多少有些不适应 作为篮球题材的体育电影，其实可以跳脱出原有IP，好好整一部。明明关于篮球的内容看着还蛮专业的，但是狼羊虎这些来打，多少有些怪，跟印象里的“喜灰”系列完全不一样。这样其实也蹭不到什么IP热度，而且这样老粉也get什么情怀，新粉未必对喜灰感兴趣 如果可以重新设计人物，好好搞一部“第一部篮球国漫”这样的宣发好过跟喜羊羊纠缠不清。毕竟我记忆里的喜羊羊还是跟生肖挂钩的大电影 剧情老套，但好在完整。关于社畜、追梦的那些内容都是老生常谈了。故事走向也非常传统，反正还能看，中规中矩,2022-07-16 19:09:11,5
3320356017,喜羊羊与灰太狼之筐出未来,2022,刘小青,4,蛮标准的体育题材,2022-04-18 13:04:31,0
3322028340,喜羊羊与灰太狼之筐出未来,2022,国王KING,4,吃了安利看的，剧情真的好燃！热爱你所热爱的，「梦想」这个主题，永远都能打动我心……,2022-04-19 20:28:39,5
