评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3215642390,四海,2022,周珏,3,里面的每个角色的行为我都不太能理解…我老了已经无法欣赏青春疼痛文学了吧,2022-02-01 11:35:12,8533
3216160500,四海,2022,千夏,3,建议过年这种片子不要放到贺岁档，大过年的看这种片子压抑的要死，郁闷😒 看完整个人都不好了👎,2022-02-01 17:41:23,7668
3215568801,四海,2022,天上掉下个慧慧,2,说真的 看不下去 这到底在讲什么啊 谁来告诉我 它在表达着什么,2022-02-01 10:05:21,13687
3215574492,四海,2022,LotZ,4,天空是不会给你答案的...,2022-02-01 10:14:22,3420
3215583179,四海,2022,嘟嘟熊之父,1,镜头切得跟开玩笑一样，和喜剧更是半毛钱关系都没有。韩寒忆往昔的自恋就像一个刚睡醒的男人对着你的脸猛哈一口气，然后问你“香吗”。刘浩存在里边除了睁大眼睛向男人展示自己楚楚可怜的样子再没别的用处了。,2022-02-01 10:25:11,12149
3215579178,四海,2022,阁楼上的灵光,1,我总是觉得不应该把演员在现实中的经历和她在荧屏上的形象混淆，可是前提是她得有演技啊，否则就很容易出戏。,2022-02-01 10:20:30,7480
3215592270,四海,2022,草鸟,1,几乎一分不落的背景音乐和导演的自我陶醉，演员的台词听得我头皮发麻，当然现在的演员也并不需要台词功底，只需要闪烁着泪花的大眼睛就够了；看了不到30分钟退场。第一次看韩寒的电影，也是最后一次。2.1@深圳英皇电影城平安中心,2022-02-01 10:35:56,4929
3215583600,四海,2022,lavenir,2,韩寒最差的电影； 让我想到了高中生写的没有大纲的小说，一方面能看出来想表达一些东西，但又不知道控制故事的节奏和详略；在一些莫名其妙的台词上下功夫，却立不起来人物。在浪漫和现实之间反复横跳，找不准定位。 人物的塑造有多单薄呢，只能说刘浩存的演技完美演绎了她的角色。就这已经是女主角了，配角基本等于工具人。 建议下次拍MV。,2022-02-01 10:25:45,8763
3223057699,四海,2022,温,2,四海是韩寒送给郭敬明的一封情书,2022-02-05 09:51:13,1773
3215626433,四海,2022,Nga Kwan,2,含腾量太少，刘浩存太拉跨，少年感如刘昊然都救不起来,2022-02-01 11:17:22,1851
