评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
4775201609,夜王,2026,萨蘑椰椰,4,你是缪斯太子爷，我也是东日coco姐,2026-02-20 20:21:49,4456
4774809380,夜王,2026,雷宝珠,4,对女性的刻画明明很好啊？没有争风吃醋没有抢夺男性资源，而是把男人当“可选择的鞋子”，最后一起联合起来，一起反击资本，且义气这个词不限于男性的！V姐，一个能因为算命就跟男人果断分开的女性，你说她缺少主体性？不懂,2026-02-20 12:14:20,4308
4776770319,夜王,2026,哭给世界看,4,说冒犯女性我是不认的，片子最神秘的角色当属太子峰妹妹。太子峰一直被嘲比不上自己妹妹，他老爸对妹妹永远都是满分欣赏，其他女性角色，从郑秀文的V姐，到葵芳、结衣、coco、mimi，哪个不是魅力拉满。这样的片子还被盖冒犯女性的标签，有点过了,2026-02-22 11:03:09,1846
4762855596,夜王,2026,风夜|日壳子,4,明明两公婆可以在澳门当赌神 偏要抵押房子搞事业绝地翻身 本质还是个励志片来着,2026-02-17 08:25:40,1576
4775780282,夜王,2026,tangkk,5,已经预见到很多拳师下意识里会政治正确地给电影贴上“不尊重女性”“男性凝视”的标签。在我看来这部电影恰恰是对于做夜场这种“被人看不起”的“弱势群体”（这两个也是我推测很多人会有的标签）女性的最大的尊重。你在说影片不尊重女性的时候，你有没有想过你是怎么看夜场里面女性的呢？,2026-02-21 12:19:14,5331
4769683093,夜王,2026,Enkaka,4,还得是香港导演啊，这种咸湿题材也能拍出很有深度的一面，看似喧闹的夜场故事，讲的却是最朴素最真诚的人与人之间的情感。,2026-02-17 11:45:57,1595
4778337239,夜王,2026,琦殿,4,傻孩子 没有任何一个男人（直）会注意到你只戴了一只耳环,2026-02-23 20:45:43,1074
4773533729,夜王,2026,fly,3,感觉回到了王晶电影的年代，充满着男性凝视的镜头和对女性容貌的羞辱，都已经2602年了依然在用黄色笑话和容貌嘲讽来作为笑料，让英雄救美来成为女性的归宿，让人不免觉得low了点。片中的廖子妤是真的美，郑秀文也真的飒，可惜了。,2026-02-19 00:41:05,2175
4774356900,夜王,2026,груша,0,谁能有我惨，在新加坡买票进去结果是国语,2026-02-19 22:16:51,651
4775510844,夜王,2026,落鳥,4,新年的新slogan是“我使閪你睇得起？”,2026-02-21 00:41:13,942
4740929125,夜王,2026,ELeslie,0,「有哋人有哋地方，你見過佢最靚嘅時候，就算今時不同往日，都唔系話放低，就可以放低嘅」 在混亂劇情中瞥見的一絲真心，香港香港,2026-02-17 09:07:21,630
4763247965,夜王,2026,ceci,4,情人节看了优先场。本来香港的贺岁片就应该以热热闹闹著称，也不搞什么合家欢都能看那一套，爆粗暴露暴暴富就为让观众笑。开心就完事，价值那一套大过年的就免了，要不就去看看春晚。,2026-02-17 08:01:09,1103
4772004891,夜王,2026,kinder23,3,并没有很好笑，丽英的角色太尴尬了……说情怀、说逝去，这种以特殊行业缅怀过去的故事，《金鸡》早已说得很好，难以超越了。这样一来，没有对比就没有伤害。,2026-02-17 18:45:12,467
4778322503,夜王,2026,老郑卖茶🌈,4,《夜王》里这些女性角色，没有被神化，也没有被牺牲。她们有欲望、有判断、有失误。电影真正尊重她们的方式，是允许她们的复杂，也肯定她们的精彩。,2026-02-23 20:33:32,408
4774960705,夜王,2026,Lecleg,3,7分，没有想象中的笑翻天和高级笑料，但仍是春节档最佳，适合不想被北佬说教/喜剧片毒害的观众。对女性的刻画比起预料中的刻板和男本位的叙事要丰富许多，唯一女性编剧何妙祺一定发挥很大作用，尽力把物化的剥削的元素转化为在一定程度上有所自反的叙事，角色的情感表达也很细腻，已经很不容易；更大主题是香港电影有一部算一部的“悼明”精神，但这种怀念不令人感到说教，而是借助所谓“人情味”、“义气”，持续呼唤一个幻想中的团结、奋斗的香港社会——但最终的命运也或许和夜总会的消亡一样，只能“灿烂到此”。第三幕如谍战悬疑片一般的夜场局中局，我们或许能稍稍看到一点香港电影昔日的荣光，但也到此为止。,2026-02-20 15:47:44,400
4775502315,夜王,2026,ming,4,其实翻工同做小姐有咩分别啊，又咪系遇着D閪客同叫你含。总之，嘟起个嘴，顶硬上啦。,2026-02-21 00:32:34,399
4777006424,夜王,2026,雨苔思音,5,完全反对现在的高赞评论，《夜王》恰恰是春节档女性群像处理最好的电影好吗！真的要夸编剧何妙祺，看过她的《我谈的那场恋爱》就知道，她很懂怎么写出有血有肉的、不完美但独特的女人。《夜王》里无论是V姐还是Coco，都不是为男人而存在的花瓶。V姐背锅后反击，是典型的职场女强人。Coco为了良知和情义，放弃富二代男友。女编剧才明白女人怎么在江湖生存，这份细腻和共情，我真的有感受到。别随手一个大帽子扣上来吧。,2026-02-22 16:05:30,1864
4766517433,夜王,2026,偷懒小猪罢了,5,剧情比想象中扎实，不是为了搞笑而搞笑。内核整体上是延续了毒舌律师的风格的，还是讲“义”，不过毒舌律师讲的公义，夜王讲的是情义，比单纯的喜剧更有深度，小人物对抗资本特权的故事，是一部值得二刷的好片,2026-02-17 11:03:25,1246
4778560795,夜王,2026,子戈,4,港片爱用某个“行当”的内部变化，暗写时代变迁。黑帮、间谍、记者、殡葬业，都曾被作为喻体。这次轮到了夜场。 拍的是夜总会，但字字句句说的，又何尝不是电影业？“尖东迟早会垮，东日也不知能活几日，但不管怎样，我们一定饮到最后。” 影片实际是在一种“日渐式微，迟早要完”的氛围里，让一群重情重义、还按老规矩做事的夜场人，最后体面了一把，有如泰坦尼克号上的最后一曲。 高潮戏，基本是按盗匪片处理的，但所用逻辑，皆是夜场的规矩。其实就是用“信息不对等”这种原本属于上流社会的致富密码，最后反戈一击，成为制胜关键。 是我在整个春节档里，看得最欢乐的一部电影。尽管悲情藏在深处，但纸醉金迷、灯红酒绿，还是做在了表面。大势所趋，或许无法避免，但我们还是可以处置自己，尽力做一点事情。,2026-02-23 23:32:43,222
4771442626,夜王,2026,曼波,5,子华神还是子华神，很多粗口很正，看完轻松快乐，怀念过去五光十色的香港,2026-02-17 00:10:50,827
4772652210,夜王,2026,Q,2,为什么那些公然嘲笑女性外貌年龄的桥段可以光明正大被人笑？ 为什么最重要的剧情结果就是个串通老千局？香港没落了，是的，不没落才怪,2026-02-18 09:53:10,1230
4774961758,夜王,2026,有只骗子,2,主要的问题是剧本，写得有点差。整个节奏很怪，一时搞深沉一时想搞笑，前半段太太太长气了，多余的儿女情长，好鬼闷，贺岁片不是这样搞的，不用上价值。后半段的局写得也不好看，整体很小气局促的故事之余，台词总有种想写金句搞笑但很不自然的感觉。,2026-02-20 15:49:13,373
4777136185,夜王,2026,超鱼,2,腐朽。没看到坐台小姐坚守在边缘行业和道义有什么必然联系，生硬尴尬到让人坐立不安的搞笑桥段，女主女配都围着一个老男人转的煽情情节，叱咤尖东三十年的女强人V姐躺在男人怀里呜呜呜呜呜哭着说“我呢世都未试过欠人咁多钱嘎”呜呜呜，笑死我了。,2026-02-22 18:24:59,222
4778629725,夜王,2026,Lue,4,不演就不存在了吗？灰色地带没有自己的世界价值选择生活吗？没觉得擦边反而每个人的人设都立住了，谁不是为了生活。,2026-02-24 00:33:47,239
4775170659,夜王,2026,June,1,看完倒是能更清晰地意识到，黄金时代是一场男性的春梦,2026-02-20 19:50:38,1161
4763042037,夜王,2026,AD ASTRA,4,2026.02.05澳门银河首映礼。吴炜伦和何妙祺两个相性差别这么大的人能合作写出这么和谐的剧本。吴彻底放飞自我在前半场把《毒舌大状》里法庭上不能说的字使劲喷出来，本广州土著都不得不佩服原来粤语里常用的几个国粹还能如此排列组合。何妙祺则为每一幕过渡段的文戏填充独属于女性的细腻和温柔，各司其职又不互相冲突。后半段切换风格拍商战居然可以做出谍战片的味道搞反转，安乐影业下次得给吴炜伦开一部谍战/警匪片试试水了。（廖子妤和王丹妮站一块就巨来电，已经演过姐妹、对手、战友了，这次还是止步于女同事，下次能不能演“事”不发音的那种；跟《饭戏攻心》撞演员梗了，欢哥那个做夜总会的老母转世成这辈子的情人还依旧做夜总会🤣）,2026-02-17 01:08:18,291
4769761368,夜王,2026,匣中猫,4,何妙祺蠻厲害，感覺如果沒有她參與的話，參照導演前作，很有可能會變成一個刻板的男性向後宮故事，但那些避免寫到「肉」而是專寫「靈」的糾纏部分，讓整個發生在曖昧的灰色地帶的故事變得可信，所有的情感都像是曾發生過的某段風流韻事，結果就是能夠拋開一切束縛去沉浸在這種介於由心而發和懷舊之間的曖昧感，無關於任何新時代，卻老土又動人。而感覺是黃子華近年主演話語權最小的一部，沒有太多精心棟篤笑反而討喜，鄭秀文囿於角色過分傳統，反而觀感沒有那麼好；Fish和小野伉儷完全可以打包雙提女男配，幾場重頭戲處理得相當出彩。可惜就是抽真空獨白式的開頭結局相對而言還是無趣了一些，4.5歸4。,2026-02-18 17:01:54,218
4778125493,夜王,2026,兔丸,3,太吊诡了，厌女晚期的港片居然成了春节档“含女量”最高的片子。 比这更吊诡的是，本片明面上讲述的是夜总会小姐的故事，实则最后集体托举出来一个混迹情场但精神守节，为前妻两肋插刀的深情男；虽然V姐强，但女强男更强，女人追求事业好，但最后还是要复合，怒包饺子。 一套组合拳下来，差点以为误闯晋江言情频道。 100年之内，没人能看懂这个春节档。,2026-02-23 17:23:20,324
4773613594,夜王,2026,水草肃,3,纯纯大过年的博各位老爷一乐之作，6202年了，香港还停留在怀念上个世纪的幻梦里,2026-02-19 02:49:14,220
4783483757,夜王,2026,Rolls-royce,4,一地耳环 一厢情愿,2026-03-01 15:14:15,148
