评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3216000230,奇迹·笨小孩,2022,L,4,过程才是现实，结尾只是理想。,2022-02-01 16:10:01,18838
3101458158,奇迹·笨小孩,2022,米兰核心丹尼尔,4,做好电影容易，做好人很难，现实中可遇不到这么多好人。,2022-02-01 10:15:13,12410
2947295185,奇迹·笨小孩,2022,稚笔,4,小人物奋斗史，有笑点有泪点，四字的表演越来越娴熟了。同《药神》相比还是少了些打动人心的力度，三星半。,2022-02-01 10:20:06,7250
3221364430,奇迹·笨小孩,2022,炸酥肉小朋友,3,这个故事没有药神打动人心，因为每个人都知道他们最后一定会成功，所以他们满是坚毅倔强和勇敢决心，却没有我们面对生活的压力绝望和不安无助。,2022-02-04 11:34:24,4491
2941670989,奇迹·笨小孩,2022,ever,3,坚持就能看到明天的太阳,2022-02-01 10:29:07,3004
3216007248,奇迹·笨小孩,2022,卿卿小宝贝,4,我不是药神告诉你有一种病是穷病，奇迹告诉你穷病可以自救。小人物的光芒也是光芒，新年的第一剂的元气鸡汤。,2022-02-01 16:14:05,5274
3215569025,奇迹·笨小孩,2022,小米米米,3,抱着药神的期待，大年初一一大早去看奇迹… 中规中矩 啥情况啊文牧野,2022-02-01 10:05:43,1924
3216105607,奇迹·笨小孩,2022,RoRo,3,命题作文,2022-02-01 17:10:42,1751
2911459057,奇迹·笨小孩,2022,Papipu,5,不愧是首部作品我不是药神就能30亿的文保保，奇迹的群像戏拍的太好了，从主演到配角，每一个都很棒！千玺又贡献了稳定又细腻的表演，特别好的电影,2022-02-01 10:20:51,12529
3223310100,奇迹·笨小孩,2022,Derfla,3,创业过程假，尤其是最后片尾以写实的方式展现所有合伙人的故事毫无泪点，因为整片的逻辑前提就是假的。这个妹妹换成女朋友真的一点也不违和，本片所有女性形象都是被保护被压迫的对象，这又是另一层的虚假。,2022-02-05 12:41:03,1282
3215574884,奇迹·笨小孩,2022,Haven,5,你不也是打工的吗？,2022-02-01 10:15:01,5443
3215608200,奇迹·笨小孩,2022,小睡,4,3.5，合格的春节档作品，一些追车桥段过于夸张，以致到了不合理的程度。结合时事和春晚，本片里坚韧勇敢的女性角色让人热泪盈眶。（四字真是优质原始股啊）,2022-02-01 10:56:01,2866
3225056133,奇迹·笨小孩,2022,pop,1,真的无聊啊,2022-02-06 07:21:19,713
3218547196,奇迹·笨小孩,2022,有思想深度的猫,3,资本不应该成为救病的良药,2022-02-02 21:30:58,1100
3194711368,奇迹·笨小孩,2022,Phoenix,4,就，希望普通人都好景常在,2022-02-01 10:11:11,2476
3333025105,奇迹·笨小孩,2022,贝塔,4,整体不错，结尾的人物归宿，完全没有必要，一下拉低了影片基调，发布会一登台，戛然而止，就可以了,2022-04-28 17:50:24,427
3244211221,奇迹·笨小孩,2022,beautifuldays,4,奇迹的意思是发生的概率超低，几无可能。,2022-02-18 21:32:15,517
3215590514,奇迹·笨小孩,2022,吃鱼不吃鱼,5,有泪有笑 文牧野导的片子真的值得看,2022-02-01 10:33:36,7206
2910278403,奇迹·笨小孩,2022,抹茶云吞,5,很喜欢预告里的一句slogan——“没有人有义务帮你，逆天改命要靠自己”。易烊千玺演得太好了，这种从头到尾串戏的大男主完完全全撑起来了。整部电影有笑有泪，我从后半段台风那里就开始一直哭，眼泪控制不住，看完电影出来却又感觉很爽快，值得回味。文牧野第二部电影真的可以，顶得住压力又出了一部精品商业片，看好他成为新生代导演一哥👍,2022-02-01 12:34:09,28
2945331287,奇迹·笨小孩,2022,无花,5,大年初一上午场看的，无法预测最终票房如何，但易烊千玺演技值一个影帝，我想不到能把景浩这个角色演的更好的人！看的时候眼泪止不住，太心疼景浩了，看到最后真的会相信努力就有奇迹很治愈,2022-02-01 10:32:40,6251
3215584284,奇迹·笨小孩,2022,小鹿乱撞,3,剧情平平无奇 但是景浩CEO真的有内味了,2022-02-01 10:26:33,1008
3223730388,奇迹·笨小孩,2022,Schutzheilige,4,电影院看的，还可以，作为贺岁片，但不是所有人都是景浩，比较突出的点在于女性开拖拉机，女工回扇那一嘴巴子,2022-02-05 16:44:30,454
3215589747,奇迹·笨小孩,2022,Jessiya,4,努力就会创造奇迹。,2022-02-01 10:32:32,3340
3216007908,奇迹·笨小孩,2022,doing酱🍑,5,观后感：①文牧野很会讲故事 ②吹爆四字弟弟演技 简直流量楷模 ③硕士经理让我觉得 如果激烈内卷后的学历并不能筛选出我们想要的人才 那它究竟有啥用 ④对于普通打工人来说 努力固然很重要 但跟对老板更重要。同为贺岁档，这部比四海好看，看它！,2022-02-01 16:14:30,3410
