评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3853627406,封神第二部：战火西岐,2025,蕉下客,3,不如让邓婵玉来做天下共主😂,2025-01-29 11:26:09,24130
4426797642,封神第二部：战火西岐,2025,番茄加糖,2,全片最有血性的只有邓婵玉一人，姬发在那里犹犹豫豫，优柔寡断。全城的人命都在他手上，他还对着闻仲下不去手，把我给看笑了。 神经,2025-01-29 12:13:28,19710
4426784767,封神第二部：战火西岐,2025,李霁琛,4,那段洗澡戏还真不是男凝，而是对男凝的反写，女将军身处军营，不羞涩不扭捏，大大方方，这是人物的魅力所在。,2025-01-29 12:03:11,17238
4426757999,封神第二部：战火西岐,2025,REO,4,邓禅玉这个女演员好有型，理想中的花木兰,2025-01-29 11:42:39,10473
4427268023,封神第二部：战火西岐,2025,王17,3,封神之姬发虽然是异性恋但对象是个T。在姬发为选择牺牲西岐百姓还是他的铁T女朋友之间犹豫不决的时候，我仿佛看到全场观众的白眼都已经翻到天上去了。,2025-01-29 18:26:30,8412
4338665602,封神第二部：战火西岐,2025,一梦华胥,2,演员台词含糊不清，一点气势都没有。奔着玄幻题材来的，战斗剧情太儿戏了，魔家四将弱智巨婴，太容易就被抓了，魔礼青出场这么bug强太容易被秒杀。女将军很帅，看着也挺酷很有城府，明明是必胜的局，拖拖时间肯定赢，一见到姬发就忍不住冲锋在前跳进水里送人头，刻意制造两人羁绊就无语。巨人特效做得好廉价，还不如火影和巨人这种动漫做得好，同类中国玄幻更不如黑神话悟空。剪辑也剪的稀烂，突然切换场景，毫无节奏感。殷郊三头六臂这个特效和配音给影院整笑了。演员的表情控制也不行，悲痛的表情搞成了轻蔑。总之就是感觉这电影拍的十分草率，各方面都很拉胯，完全没有第一季的惊喜。 想象力太弱了，杨戬哪吒这么厉害结果法术全是平A，混天绫和乾坤圈这种神器甚至没有《哪吒传奇》的动画片上让人觉得厉害。 妲己娇妻，女将军还是娇妻，真有你的,2025-01-29 11:32:09,7835
4426721245,封神第二部：战火西岐,2025,sleep,3,文戏烂得抠脚,2025-01-29 11:26:49,6787
4426740642,封神第二部：战火西岐,2025,我要的世界快乐,4,虽然有点拉。但还是会看第三部,2025-01-29 11:24:33,5757
4427116401,封神第二部：战火西岐,2025,Hikari,0,魔礼青，魔礼海，魔礼寿，Maroon 5,2025-01-29 16:42:22,3053
4285517304,封神第二部：战火西岐,2025,跳舞的小火柴人,2,乌尔善在片尾感谢第一部观众的时候我甚至觉得是在嘲讽我。,2025-02-01 13:25:29,2899
