评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
4771625166,惊蛰无声,2026,芒果斯嘉丽,3,给我一种成本很低的感觉,2026-02-17 11:52:09,7939
4771589014,惊蛰无声,2026,sweetbear,3,朱一龙、杨幂、刘诗诗应该打包去翻拍《红玫瑰与白玫瑰》。最大 bug 就是情绪如此不稳定的人可以进国安吗？,2026-02-17 10:58:36,6552
4771702379,惊蛰无声,2026,水墨,3,一个训练有素的国安队长，轻易就因夫妻矛盾被美女特务色诱上了床且拍了小视频，从而沦为特务的工具，成为国安内部的“钉子”……这么脸谱化的叙事，支撑不起整部剧的逻辑。,2026-02-17 13:33:03,5694
4736196087,惊蛰无声,2026,碎冰冰,5,看完了首场，还没出影院，太激动了赶紧上来给好评，节奏很好，特别适合春节档，看到最后真的肃然起敬。易烊千玺演得也太好了😭太厉害了😭😭😭,2026-02-17 10:46:02,3645
4771582060,惊蛰无声,2026,半小时后就睡觉,2,看了部音乐剧……能别唱了吗,2026-02-17 10:44:59,8085
4771837293,惊蛰无声,2026,Erika Mori,3,朱一龙本片唯一在认真表演的人,2026-02-17 16:03:58,3874
4771880067,惊蛰无声,2026,vickey lee,4,关于一个男人如何管不住自己的下半身导致没了后半生的海龟汤。,2026-02-17 16:45:32,7011
4771666186,惊蛰无声,2026,豆瓣路人己,2,以为我谋只是拥抱电视剧，谁曾想最后拥抱的是短剧。,2026-02-17 12:48:51,5910
4772299279,惊蛰无声,2026,李梦,5,看完想去垃圾桶里找手机📱（看过电影才知道👀）,2026-02-17 22:42:47,1122
4771671138,惊蛰无声,2026,Truman,3,杨幂饰演的白帆竟然是最有记忆点的角色,2026-02-17 12:54:44,3194
4771999205,惊蛰无声,2026,爱猫黄瓜土豆粉,3,这贯彻全片总是突然响起以直白歌词搭配画面的沧桑bgm是何意味…,2026-02-17 18:39:33,3792
4771559068,惊蛰无声,2026,一梦华胥,1,能不能不要再宣传“柔弱流泪的妻子”，“色诱敌人的情妇”，“出轨的丈夫”这种荧幕形象了 ，看的让人不适。 好多镜头都无意义怀疑凑时长，内容好无聊，全靠bgm提气氛，国安好兄弟抓内鬼还是俗套的无间道剧情，这么大的事情从始至终就主角团几个人抓，两个男主叛国背景都没交代清楚，就是被设了圈套拉下水就一意孤行越走越偏了，感觉就是演了几个典型人设的政治教育片，比剧本杀还单薄。 不要把塑料袋扔到下水道里啊喂！ 我的妈给易烊千玺这么多怼脸长镜头+尴尬的悲壮音乐，动不动就唱起来了哈哈哈，老谋子亲自下场给他铺就影帝之路，也是服了。,2026-02-17 10:59:15,10881
4772963820,惊蛰无声,2026,罗勒罗勒,4,黄从头到尾除了和女特务睡了一觉也没真的干啥事，怎么就被拿捏成这样，心态这么差的人真的能在国安当领导吗,2026-02-18 16:13:57,5245
4773363890,惊蛰无声,2026,喜乐,3,塑料袋怎么能扔坑里呢，不怕堵吗,2026-02-18 22:24:53,1540
4769644442,惊蛰无声,2026,Y_-Ooy,1,好难看呀，俗套的黑白势力对抗，最后还要上升正义的价值。OST更是难听的要死,2026-02-17 10:55:26,4886
4771617346,惊蛰无声,2026,幸运哥,2,谁想出来的把杨幂和易烊千玺放在一部电影里，好歹毒，再多听他俩念一句台词我就得把耳朵割了！,2026-02-17 11:41:30,3879
4771690871,惊蛰无声,2026,unidolphie,2,不能称之为电影,2026-02-17 13:19:52,3035
4771590928,惊蛰无声,2026,momo,1,质感网大水平，谍战如同过家家般儿戏！,2026-02-17 11:02:15,4694
