评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
4087926027,我们一起摇太阳,2024,momo,3,在一声声“奥利给”中逐渐崩溃😅🙏,2024-02-12 00:29:18,2711
4086965377,我们一起摇太阳,2024,席雨,4,吕途联系上唐志军了吗,2024-02-11 11:54:24,3369
4083444055,我们一起摇太阳,2024,不留痕迹,4,韩延绝症三部曲最佳，素颜雀斑的李庚希和胡子拉碴的彭昱畅化学反应十足，比起小红花那一对的青靓白净实在像病人太多。对病痛的恐惧和对生活的向往都表现的不错，尤其领证和婚礼的段落，对一月刚步入婚姻殿堂的人来说宛如一颗核弹，到底还是he好看啊,2024-02-10 11:15:57,3498
4085565634,我们一起摇太阳,2024,张秀才味羊汤面,5,开头看着挽起头发，苍白病态的李庚希，恍惚中好像看见了《门徒》里的张静初，她会是下一个张静初吗？韩延讲故事的水平比前两部进步了，不那么矫揉做作了，或许是这部演员的加成——看一群老戏骨和演技派真是享受，把你搞得一会笑一会哭，这回的演员总算全员押对宝了。不知道为什么，看发福后的徐帆竟然没有小时候看《错爱》里的周佳丽那么让人咬牙切齿了，也许是因为“江湖一胖泯恩仇”吧！彭昱畅啊，趁早离湖南卫视那群综艺咖远点，你可是演过《大象席地而坐》的人；庚希啊，在最好的年纪南下吧，像张静初那样勇闯香港影坛，像刘雅瑟拿个影后凯旋归来。,2024-02-10 12:04:24,2763
4085598073,我们一起摇太阳,2024,迷蟲朋克,4,一开始很纳闷两个人这么突破形象，原来这两个都是扮演重症患者，所以面色灰败。部分取材纪实报道，我查了一下新闻里最后两个人都得救了，真的是太好了。,2024-02-10 12:41:25,3374
4140705530,我们一起摇太阳,2024,lament,4,彭昱畅演傻子真的有一手。,2024-03-28 00:23:30,1710
4085528901,我们一起摇太阳,2024,嘟嘟熊之父,3,摸准了大众在大银幕上所能接受的苦难最大值，非常“清醒”的导演。借用现实中的绝境，又完美避开了绝境中的一切黑暗，径直走向光明，已无法从这样泛化伤痛、回避私欲、用统一格式的善良归拢一切的电影中汲取到更多能量。两位演员的表演的确是标杆级的，祝他们横扫奖项。,2024-02-10 11:15:02,1503
4085541428,我们一起摇太阳,2024,一摸一样,3,#标签太多了：尾随、跟踪、故意伤害、强行住进人家里、婚闹、喝尿、奥利给。是如何把这么多敏感元素全部加到男主角一个人身上的。并且你们结婚都这么随意且随便吗?女主身上的病无疾而终了？,2024-02-10 11:33:52,1237
4088433311,我们一起摇太阳,2024,weiwei1069,4,如果上的是五一档，可能至少会有10亿➕的成绩。,2024-02-12 14:16:00,1344
4085530375,我们一起摇太阳,2024,添衣,5,彭彭本色出演 女主戏也很绝 票房黑马拭目以待 墙裂推荐！！！,2024-02-10 11:17:28,1470
4085711891,我们一起摇太阳,2024,以然,5,五星全给李庚希和彭昱畅，全靠演员撑起来的电影。抛开演员演技来讲，从剧作到导演功力都是一坨巧克力味的屎，充满网络烂梗和煽情mv。但是两个主角和几个配角都太好太好了，尤其是李庚希，开场五分钟就开始流眼泪，一直流到最后。中途最感动的反而是旅行社婚礼那段，最开心的戏哭得最惨。彭昱畅有一种梦回大象席地而坐的感觉，把人物的挣扎、纠结、痴傻和倔强全部表现出来了，呜呜呜呜不愧是我的彭昱畅T T（2.14在杭州万达二刷了路演，见到主演啦！彭昱畅好久不见瘦了好多哇！李庚希撒糖太用力了坐第一排愣是没抢到hhh）,2024-02-10 14:43:45,1037
4118177957,我们一起摇太阳,2024,临渊不羡鱼,3,身患重病，但不差钱。,2024-04-01 15:46:51,756
4085549093,我们一起摇太阳,2024,V,3,跟踪那场戏看得我生理不适。,2024-02-10 11:43:53,645
4140767990,我们一起摇太阳,2024,李梦,5,为这两个演员，李庚希彭昱畅，奥利给！为这部电影，奥利给！为这个真实发生过的爱情故事，奥利给！,2024-03-28 01:59:40,253
4093134011,我们一起摇太阳,2024,冰红深蓝,5,韩延“生命三部曲”最佳，真挚而动人。1.对大病患者及家庭的呈现极尽真实，无论是主角性格塑造（坚韧独立又敏感忧郁、用尽全力勉强活着的“不高兴” Vs.表面开朗积极实则内心放弃摆烂颓废到底的“没头脑”），还是对各样细节的写实描绘（身体、自我管理与生活方式、租屋、医院、社会环境等）都特别贴近现实。2.某种意义上已触达该类题材剧情片写实程度的边界，重症慢性病人的衣食住行、工作问题、污名歧视、家庭压力乃至器官移植困境都涉及了。3.平视、直面生之艰辛，苦痛与欣悦、沉重与轻盈配比恰到好处；节奏至为妥帖，几无冗余或矫情。4.李庚希的表演自然无痕，彭昱畅的演绎也足够精妙。5.女性视角切入贯穿全片，跟踪骚扰戏实在惹人反感，父母因故离家+内瘘破坏是关键点，由此爱从偶发事件渐次升至命定永恒，遂有患难真情和彼此拯救。（9.0/10）,2024-02-15 22:33:21,127
4087740700,我们一起摇太阳,2024,狗娃,1,编剧是不是编着编着忘了女主肾坏了？,2024-02-11 22:46:06,446
4085544425,我们一起摇太阳,2024,火口幸存者,3,韩延怎么总喜欢在电影里植入mv？,2024-02-10 11:37:52,424
4085688181,我们一起摇太阳,2024,天马星,4,比韩延之前的《滚蛋吧！肿瘤君》和《送你一朵小红花》要好，没搞那些悬浮的东西，讲的还是人与人的羁绊，这次好在苦情的东西少了许多，李庚希与彭昱畅两位的表演完全撑住了场子，如果不是他俩，这片子不会这么接地气。,2024-02-10 14:19:31,992
4242903046,我们一起摇太阳,2024,乖小咖。,5,有一个人被骗婚，得抑郁症，得乳头状肿瘤，后天形成的哑巴，她刷到了这部电影，并打了五分，这个概率，是不是三亿分之一？,2024-07-14 18:11:38,131
4238989249,我们一起摇太阳,2024,朝暮雪,4,电影开头女主说起初她还想弄清楚得病的原因，后来也懒得去想这些了。 破案了，罐车拉了煤油甚至危险化学品不洗就直接装食用油，导致老干妈被检测出矿物油超标（搜“老干妈矿物油超标”就能搜到），女主经常吃老干妈（电影第2分钟她说她最爱吃老干妈），导致得尿毒症，需要透析来排出毒素。,2024-07-10 15:18:01,267
4086085840,我们一起摇太阳,2024,高詩遠,4,我最讨厌的导演之一这次居然拍出了如此优秀的片子，好多细节都直击人心，尤其是多次手机录像的使用，那么日常，却从没发现普通的一天原来如此有力量。开头的高速剪辑跟台词机关枪成功营造了与病魔分秒必争的感觉，给全片定了调，变焦用得尤其好，每一次屏幕突然放大都拉近了跟主角的距离，还像一把刀一样一次次往我心里扎。房间的布景能看出费了很多心思，李庚希好棒，演得太有神。如何让凌敏接受吕途这个“变态”是个难点，看到这儿的时候还担心，幸好没有被处理成烂俗爱情片，而是循序渐进地告诉观众她只能依赖他。不过韩延还是没有改掉过度煽情的臭毛病，任谁看半个多小时的哭戏都会感到累。好多网络破梗破坏气氛，听到这么多句“奥利给”真的哭不出来，怎么就不能学点好的。,2024-02-10 19:48:17,255
4088499503,我们一起摇太阳,2024,大奇特(Grinch),4,韩延的病患情节剧已经成新时代“琼瑶剧”了，这次技术有进步，但公式没怎么变。就像做数学题，同一套题，越做越上瘾，越做越顺手。只是最后一道解方程式的题得出的结果跟过去有所不同，对解题者是个新思路。一个进步是做到了以喜写悲、以美衬哀。两位演员特别好，尤其李庚希，彭昱畅给自己加戏太多了。李是重感性的演员，凭感觉捕捉情感，能做到表里如一。彭彭虽然演的角色傻兮兮，但作为演员的他还是显精明，角色看上去慢吞吞，但他演员的反应一点儿不慢。两位都在贩卖自己的情绪，仍有太多经过计算的场面，这不是演员的问题，是商业片节奏决定的，就是这一分钟必须下泪，下个镜头就要笑起来，演员演出的格局受到了局限。幸而他们有着极佳的化学反应，徐帆一贯的表演模式夹在中间就显得套路了。,2024-02-12 15:22:17,116
4150354759,我们一起摇太阳,2024,同志亦凡人中文站,4,韩延的绝症电影我从没get到过，直到这部摇太阳。没用流量当主演，非常对得起我的眼睛，也没有偶像剧的悬浮和尴尬了，只剩下对普通人生老病死的共情。彭昱畅别再混综艺了，切拜！,2024-04-06 13:06:13,133
4085599003,我们一起摇太阳,2024,Mr. Infamous,4,不厌其烦地数算特殊人群的日常障碍，麻烦与麻烦，禁忌与禁忌，说得多了，快了，来不及讶异就已沉陷到那种现实的网格里。有时电影就是这样，把因为幸运方才陌生的他人生活推到面前，替你渡劫式地打通一些意想不到的脉络。最戳泪点的地方，不在他们哭，反在他们笑，领证后的陌生人祝福的婚宴，接待时顺势的游览，有那么多将错就错的畅快，那么多顺手拈来的快乐，尽兴得仿佛有今生没来世，高兴得明明眼里只有你一个开了花，却当是结了果，又生了根。花无百日红，可就是乱花渐欲迷人眼，看着他们在阴天雨天用意念摇出一小片晴天，就有种难过，或者说感怀，总觉得拥有了更多晴好，合该记住更多灿烂才是。戏剧化得来又很真实，流口水，拉肚子声音太大，百无禁忌地还原，就有了些院线片罕见的诚挚。这样的作品，能助彭昱畅李庚希走到自己当下的表演高峰。三星半,2024-02-10 12:42:28,684
4086419487,我们一起摇太阳,2024,西楼尘,3,胆小如鼠的他最大胆的是认识你，计量人生的你最冒险的是喜欢他。相信小鸟在监听，人类有母星的他，却因为让你受苦而哭得像孩子。相信剧本已写好，人生没有再来一瓶的你，却愿意当他睡着时靠着的背。把眼神当成骑士的召唤，把造瘘当成闯祸的恶行，把婚书当成生命的契约，从此人生的每节体育课都是晴天。,2024-02-10 23:00:15,183
4148513106,我们一起摇太阳,2024,Her_cules,5,能在肿瘤患者交流群里，一分钟撤回信息，被一个匹配性有三个点的人看到，这样的几率是三亿分之一。遇到一个相爱的人，和这个概率差不多。,2024-04-04 22:03:13,170
4085642187,我们一起摇太阳,2024,喻鸣,4,“不高兴”是李庚希的舒适区，“没头脑”是彭昱畅的统治区。没头脑是用装傻来消解周围的伤害，不高兴是用冷脸对抗生活的暴击。虽然他脑子不灵光，爱你这事却很擅长；虽然她脾气不太好，却将你看得很重要。 一个拖着坏脑子一个顶俩坏肾，两人凑不出一条好命，却因彼此守护而手握最好的人生剧本。春节档唯一爱情片，婚礼份子钱我随了。,2024-02-10 13:30:32,117
4085535124,我们一起摇太阳,2024,Me.Autistic,2,韩延真别再拿那不好笑的笑料、极度煽情的音乐和套路的剧情拍你那绝症电影了,2024-02-10 11:24:48,1226
4143400815,我们一起摇太阳,2024,Paipai,3,没头脑也不是真的把男主拍成智障吧，一声声奥利给真的给我人干麻了。,2024-03-30 23:03:46,160
4085549347,我们一起摇太阳,2024,🐠,2,这会坐在电影院如坐针毡，糟糕的人设，彭昱畅演的是脑瘤病人还是变态啊，被追踪一段代入一下都觉得窒息；女主本来就负担大，男主还玩欺骗一套，给自己感动了吧，最后女主就开始奉献了；强行煽情，莫名奇妙的情节，偷偷结婚女方父母就是小惊一下。韩延滚粗春节档！别再拍绝症电影了！,2024-02-10 11:44:10,320
4086112912,我们一起摇太阳,2024,居无间,4,韩延的“生命三部曲”终章，也是最成熟、最轻盈的一部。在视听上，影片有意识地提升了剪辑的速度，以呈现了病患焦灼的生活状态。在故事上，它延续了《滚蛋吧！肿瘤君》《送你一朵小红花》现实题材，将爱情拍成了一场奋不顾身的冒险。《我们一起摇太阳》的进阶之处在于，它把两个生命个体从冲撞到相融的过程刻画得更加清楚细腻和丝丝入扣。吕途运用自己的想象力将痛苦的生活描绘成一个魔幻世界，在细节的渲染与勾连下，天台对讲戏拥有了打通严酷现实与浪漫情境的魔力，感人至深。影片有如此动人的情感能量，彭昱畅和李庚希的表演功不可没。,2024-02-10 20:07:11,826
4093113901,我们一起摇太阳,2024,Fleurs.哼哼,4,木心说“爱情是天才行为，早已失传。” 我想：爱情是笨蛋行为，不顾一切 如果挖到古文明，废寝忘食地翻译吧，传递下去,2024-02-15 22:20:12,40
4042230880,我们一起摇太阳,2024,7天,5,特别棒，又感人又温情好笑，好好哭。故事动人，从头到尾的戳人心。震惊于彭昱畅和李庚希的绝佳演绎，去横扫奖项吧，票房也要奥利给！同时希望此片可以推进器官捐献移植，让病人不再被歧视。故事关于爱情、亲情、社会关怀，场景真实，细节多，悲伤底色中给予大家振奋人心的力量，结局he，不用怕。大年初一一大早就去看了，出了电影院阳光正好，哇哦，摇到太阳啦。,2024-02-10 11:58:35,741
4154075713,我们一起摇太阳,2024,小南不难,4,为什么人生不能跟电影一样停在没有终点的地方,2024-04-09 21:25:27,57
3694950772,我们一起摇太阳,2024,半壁青,4,看了原型故事，感觉很不错，希望好好拍，不要成为下一个兔子暴力。 ——————— 看完了，好感动啊，但是同时也深刻领悟到了为啥别选在大年初一上映，即使它带有喜剧色彩，即使结局不是生离死别，因为疾病本身就是一件非常沉重的话题。谁家没人生过病呢。李庚希要是在《漫长的季节》里，拿出演凌敏这个角色的劲头来，估计吐槽你的人就少了很多了啊英砸。不好的是前面一段跟踪戏总觉得怪怪的，不是电影的话早就报警八百回了。,2024-09-10 16:03:08,7
4134985307,我们一起摇太阳,2024,Rickey利克酒,2,头好痛，全互联网影评人给我道歉,2024-03-22 22:39:42,207
4085964223,我们一起摇太阳,2024,盲忙,4,如果苦难已经发生，那究竟怎样才是最佳的面对方式？绝境之中的他们，又该如何面对结局已知后的生活？看到三部曲的终章，我才终于明白，成为彼此心中的太阳，也许现实中的苦味就会淡那么一点点。片名中这几个字里面，最重要的其实是“一起”，爱情不是解药，却是最好的催眠剂，在至暗时刻来临之前，带着世界的善意活下去，也许这本身就是生命的意义吧。两位演员贡献了生涯最佳表演应该没有异议吧？不得不说，韩延的片子是很适合演员发挥的。,2024-02-10 18:17:47,814
