评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
2738022257,新神榜：哪吒重生,2021,普通的雪花,3,一句话简介:吴亦凡大战黄子韬的爹地,2021-02-13 21:10:46,4476
2726664282,新神榜：哪吒重生,2021,天马星,3,《蜘蛛侠》遇上《上海滩》，超英黑帮片再加点机械废土元素，怎么说呢，美术风格挺独树一帜的，但有点用力过猛，喜欢的觉得先锋炫酷，不喜欢的觉得土味混搭。剧作想要往《封神榜》里最原始黑暗的哪吒上去靠，但只呈现出愤怒的情绪，从头一路打到尾，人物形象非常单薄。和《姜子牙》有些类似，又一部能力跟不上野心的作品，十分可惜。,2021-02-06 15:41:43,1644
2734863582,新神榜：哪吒重生,2021,叮克铃,5,之前哪吒是个黑眼圈小屁孩的时候不好意思叫老公，这次顶着高马尾八块腹肌出现时恨不得把嘴喊烂,2021-02-12 12:59:57,2271
2757629407,新神榜：哪吒重生,2021,我爱阳光,3,剧情浪费了场景。女性形象一律丰胸细腰，屁股能撅到天上，不禁怀疑主创是不是报过我们县城20年前那种3D动画培训速成班。,2021-02-20 21:01:42,1112
2739544209,新神榜：哪吒重生,2021,根,3,作为恐50亿哪吒的人都得说：50亿哪吒的故事委实是写得扎实饱满多了……绝对正义对抗绝对邪恶=绝对无聊,2021-02-14 14:43:40,986
2735062901,新神榜：哪吒重生,2021,二熊的三十,4,龙王死的太随便了,2021-02-12 15:18:23,2881
2560037886,新神榜：哪吒重生,2021,Liberating,4,追光的白蛇画面真的算国内顶尖了，剧情嘛，希望比白蛇有进步，看完，我仿佛看了破产版海王，画面特效顶尖，节奏还差点火候，不够张弛有度，稍微紧凑一点更好，但是世界观引入非常大胆耳目一新，民国架空，四大家族，很大一盘棋，瑕不掩瑜，期待新封神系列，再接再厉吧,2021-02-06 20:39:04,1327
2731385963,新神榜：哪吒重生,2021,艾晨,3,满屏单眼皮,2021-02-09 17:57:23,318
2474706268,新神榜：哪吒重生,2021,女神的秋裤,4,真神仙打架，特效很不错，动作戏很精彩，盖住了故事和剧情上的短板，配乐也有点拉垮。无奈和《哪吒》撞车，后上就难免尴尬。比较喜欢的是混搭出来的美学风格，蒸汽、朋克、废土、机械、老上海民国风再加上传统神话，融合出了特有的美学风格，让古典故事有了现代感。整体上特效炸，故事一般，情感上远没有《哪吒》饱满，炸而不爆。,2021-02-06 16:55:29,828
2732597653,新神榜：哪吒重生,2021,3号厅检票小哥,3,很多东西都是好的，现代民国撞中古神话的轮回世界观有想法，哪吒代表救人的超我和杀人的本我的交锋有深度，造反和压迫的冲突有尺度，视效的水准也已经到了可以被称为革新的程度，但是很可惜，整部电影到处都只是空有想法，编剧显然只有抛出命题的能力，不知道如何推进下去，也不知道如何转折和收场，数不清的地方都是靠男主的愤怒去强行转折，嗷嗷吼了几声，战斗就结束了，后半段甚至起承转合都直接无视，节奏完全失控。 总体观感就好像你摆开架势，要给我讲一个薄伽丘十日谈那样的人文主义故事，最后给我讲了一个小鸭子的故事（没有说小鸭子不好的意思）,2021-02-10 13:48:34,242
2735727979,新神榜：哪吒重生,2021,唐小万,3,追光的谜之蛇精脸审美，对女性角色的塑造也太陈腐了,2021-02-12 20:55:12,290
2731399328,新神榜：哪吒重生,2021,盲忙,4,惊喜之作！这种看似“怪力乱炖”的风格或许会让很多人感到冒犯，但在汇集了经典改编、神话、黑帮、赛车、年代戏甚至是现实题材这么多元素之后，依然能把故事讲得如此流畅并且自圆其说，实在让人大吃一惊！更重要的是，相比于那句“我命由我不由天”，这部里的“不应该是这样，但一直是这样”更能打动我，它像是一声普通人发自内心深沉的呐喊，不再局限于自身的命运，而是拓宽到了对整个社会不公不义的反抗。特效和细节也非常出彩！,2021-02-09 18:08:43,682
2736444051,新神榜：哪吒重生,2021,白日梦探险家,5,我觉得故事性完胜魔童啊，主题高度也提升了好几个度，至少不是为了燃而燃，这一部个人觉得是追光目前为止最好的一部，不知道为啥喷子那么多🙃🙃🙃,2021-02-13 01:30:31,1952
2726684564,新神榜：哪吒重生,2021,20个小明≯,2,没华纳制衡的追光彻底失控了……一言不合秀皮肤、各种奇观堆叠、各种自我陶醉，故事极其单薄结果搞得又臭又长，角色的成长完全靠各种飞来横祸，要命的是这种相同的套路居然一遍遍原封不动复制了三次……到了后半段每一秒都是煎熬， 实在跟《白蛇》差得太远了，全片最好看的地方就是片尾《青蛇》的贴片预告……,2021-02-06 15:57:44,1353
