评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3656512964,无名,2023,momo,4,黄磊劝周迅跟他一起叛变革命去广西种地的时候 我还觉得 没毛病啊种吧干嘛不去啊 后来发现她老公是梁朝伟 那确实不行哈哈哈哈哈 你去吧我不去了,2023-01-22 13:48:08,4098
3119872371,无名,2023,透明人格里芬,2,拜托程导不要再沉迷于这种“把胶片剪碎再重接”的拍法了，人昆汀、诺兰是为了制造悬念，放大戏剧张力，到这部成了纯炫技和割裂观感的东西了，看的很心累,2023-01-22 17:33:52,3976
3656445945,无名,2023,以平凡之名,4,冲王一博来的观众欣赏不了程耳的风格，爱程耳风格的观众看不上王一博。再加上还有一群欣赏能力处于熊出没地带却为了装逼自己错选无名感到受骗反赖电影的巨婴。心疼程耳…,2023-01-22 13:10:23,3751
3656256507,无名,2023,dq,1,这片改名叫无语吧。,2023-01-22 11:18:47,1332
3654351872,无名,2023,阝女,4,重生之易先生审王佳芝,2023-01-22 11:20:50,1514
3656441204,无名,2023,我很愉快,3,啥呀，这么简单的一个故事只能通过剪辑来变得悬疑吗,2023-01-22 13:07:53,3550
3656416333,无名,2023,Jason.D,3,最后王一博是共产党这点觉得崩了，如果是国民党觉得演的合适。。,2023-01-22 12:54:40,2588
3656539680,无名,2023,Little 99,4,无名在我心里的演技排名： 1梁朝伟 2周迅（和梁生拥抱那里脸部表情绝了） 3日本军官 4王一博 5黄磊 6王传一 7江疏影 8大鹏 9张婧仪,2023-01-22 14:03:46,3462
3656418192,无名,2023,艳阳天,3,包了一层费列罗包装的王致和臭豆腐,2023-01-22 12:55:38,2772
3782117389,无名,2023,Franz,3,画面是精致的，台词是讲究的，人物是美丽的，故事性是没有的,2023-05-09 23:34:53,1403
3656312422,无名,2023,.,4,1.大年初一鬼子屠杀中国人晦气，你带着这么主观的感受去看一个谍战片，真的大可不必，完全可以直接看其他那几个合家欢。2.说逻辑混乱剪辑零碎的，建议你带上脑子再去电影院，故事明明很完整，细节表达也都很到位，一些倒叙和插叙也让整个电影更有层次感了。3.画面很符合当时的场景，确实震撼，很深刻地能得到共情，说诡异阴森的还是，你大可不必，这个电影不适合你。4.不是任何人的粉丝，也是第一次看王一博演的戏，客观评价演技可以，和老戏骨一起也一点没露怯，对角色完成还是很好的，我认为已经达标了。5.这电影已经完全超出预期了，有心思好好看电影的强烈推荐去看，娱乐为主的就算了。,2023-01-22 11:54:10,4760
3154491347,无名,2023,kiya,5,程耳真的太会拍了 几个空境 没有台词 画面就极具冲击力 真的情绪一下就被抓住了 几处暗喻也给的特别恰到好处 一下就能懂 每个镜头都有他要表达的东西 没有什么无所谓镜头 两段打戏特别特别爽 没想到影帝六十岁的人了还这么能打 王一博自然是帅得酣畅淋漓 看完首场 迫不及待想二刷了。几处细节要再品一品!,2023-01-22 12:27:55,11143
3656369369,无名,2023,豆瓣路人己,3,程耳就像是郭敬明的soulmate，着迷于上海的某种情怀，拍的时候把所有想法都放在一起，形式都最终到了极致，却只剩下一个花架子，少去了本质的精神。#于冬冤大头实锤,2023-01-22 12:27:11,1360
3789953715,无名,2023,何丽丽,3,我仔细想了一下，也还是没想明白他们两个地下党互殴下那么狠手是图啥。那时候旁边不是没有围观群众吗？？,2023-05-16 15:20:00,600
3656481598,无名,2023,草莓海啸,4,你俩既然都是共产党，那干哈打的那么狠…还扔楼下去了，那是真想干掉他的样子……王一博居然还行，虽然有几场特写还是差了口气，和高手过招也是，但整体没算掉链子，还是得要导演调教才能出来。梁朝伟和周迅，不用多说，跪就完了,2023-01-22 13:30:01,2385
3656308919,无名,2023,卵个卵,3,程耳需要给李安版权费吗,2023-01-22 11:52:11,1145
3119953670,无名,2023,安桓,4,冲着梁朝伟和周迅去看的，值了，梦回色戒里的易先生，油头西装抽烟，要素齐全。还有拥抱时周迅闭眼哭泣，微微颤抖的眼皮很细节，他俩属于独一档的演技 片子本身是非线性叙事，这种形式蛮好，但太散，快成PPT了，靠大量对话场景推进，文戏又太平，导致观众注意力被繁琐且不必要的细节所消耗，比如：吃虾，穿衣服，赶狗等等。 至于舆论点王一博，说实话前半段太面瘫，冷酷不是这样的，多亏导演给足了戏份，后半段有感情了。平心而论，导演很用力在捧他了，可惜王传君在对手戏里，从肢体动作到神态，都比王一博自然很多，总体上无功无过吧,2023-01-24 22:14:17,17
3656259874,无名,2023,妥协吧滚回去吧,3,有点好看又有点难看,2023-01-22 11:21:40,570
3230786008,无名,2023,江疑,4,王一博哪有那么差，程耳抓他的气质抓得很准，好导演可以成就演员。,2023-01-22 11:18:03,2426
3232525760,无名,2023,ulay,3,“我是个软弱的人，适应不了这个剧变的电影”,2023-01-23 03:07:58,597
