评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3657112060,流浪地球2,2023,百年幻影,4,“这是俄罗斯的型号，没有安全保险，只有两个扳机。”→ ★ ★ ★,2023-01-22 19:19:50,29821
3656324504,流浪地球2,2023,电子梦,5,不必对比什么 作为里程碑他已经无敌,2023-01-22 12:01:06,48853
3656334315,流浪地球2,2023,崇魔媚沪的王黑,4,刘德华那条线有点儿意思，为这个系列电影开启了新维度。太长了，删减强制煽情正能量能短30min。,2023-01-22 12:06:58,26990
3023940110,流浪地球2,2023,DrunkenPeach,5,2019年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。🥰与有荣焉。今天很想念组里的朋友们。,2023-01-22 13:57:05,34869
3656311436,流浪地球2,2023,HarperDie,3,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,2023-01-22 11:53:37,14090
3656781967,流浪地球2,2023,关山难越,5,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：“这是国产电影能有的剧情吗？”,2023-01-22 16:27:22,33684
2618392046,流浪地球2,2023,球状闪电,5,《流浪地球》系列，单枪匹马，把中国的科幻电影提升到世界级水平。 这不是老套的个人英雄主义冒险故事，而是一个宏大的全人类史诗。 但是，173分钟的片长，三条缺乏交互的故事线，慢热的节奏，劝退路人的冗长数字生命线，确实是讨好了影迷与科幻迷，可无疑也是提高了对广大路人的门槛。 豆瓣用户狂吹刘德华线，但电影院里刘德华线却让很多观众低头玩手机。 2023年1月22日，刘培强先生，生日快乐！ 可能也就世界末日了，房价才会跌。 最后，这不比《阿凡达2》的家庭伦理与美式霸凌好看?,2023-01-22 12:11:21,27234
3656764781,流浪地球2,2023,小斑,3,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实2044年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。,2023-01-22 16:17:58,5552
3656788508,流浪地球2,2023,水逆退散,5,笨笨！！你是军犬！！,2023-01-22 16:30:59,19985
3661743482,流浪地球2,2023,玛丽莲萌鹿,5,我看有些人说又红又爹，感觉确实有点儿。但是点完头我又想，美国哪部电影不是又“蓝”又“宇宙第一”？,2023-01-24 19:03:12,9850
3659052031,流浪地球2,2023,michaelz,3,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。,2023-01-23 16:06:46,4441
3602629914,流浪地球2,2023,特凡人,4,看到沙溢扮演的师傅喊出五十岁以上的出列时还是忍不住落泪,2023-01-22 13:25:43,15257
3657720687,流浪地球2,2023,momo,4,我的建议是，把网络服务中心迁移到高原上来,2023-01-22 23:38:29,12751
3681000562,流浪地球2,2023,妮妮小豆,2,仿佛被绑在过年的饭桌上，喂了满嘴仁义道德…………,2023-02-05 16:21:19,1529
3656378666,流浪地球2,2023,居无间,4,四星半。《流浪地球2》比第一部进步很多，并将国产科幻大片提升到了前所未有的高度。世界观足够硬核，动作场面与特效更加恢弘也更加细致，尤其是对太空电梯的呈现，太惊艳了。剧作上也更扎实了，两次大型危机（太空电梯危机、月球坠落危机）、两种理念冲撞（数字生命计划与移山计划）、两个一体两面的主角……冲突线明晰，人物群像立体。同时，周喆直就是新时代的愚公，难怪这个角色要请李雪健老师来演。影片对愚公移山这样的中国精神有了更加丰富有力的传达，这也是区别于好莱坞大片的根本所在。,2023-01-22 12:33:12,11930
