评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3656246951,深海,2023,黑斯廷斯,4,每一帧都是美的，故事立意很好，结尾不错。中途有些薄弱，总体推荐,2023-01-22 11:08:59,6016
3656247021,深海,2023,嘟嘟熊之父,2,失望至极，仅仿制出宫崎骏的皮毛。超速的运镜和充斥全片的浅焦局部特写给视觉造成极大负担，被塞满的扁平画面毫无层次重点，对巨物的迷恋更是无比陈旧的创作思路。第一幕主角二人相遇后自说自话，交流语境缺失，造成剧力的彻底坍塌，后段煽情全靠硬来，邀赏式的情节反转。一个奇异的幻想世界不应该仅由浓墨重彩和聒噪声效组成。,2023-01-22 11:09:04,9494
3656249742,深海,2023,豆瓣路人己,3,希望在平行时空，能看到没被过度修改的动画原貌。,2023-01-22 11:12:08,6183
3653782788,深海,2023,鹅城五保户,4,叙事方式太喜欢了，似真似假的幻梦让人猜的到不是现实却又猜不到真正的现实，碎片拼接的艺术呈现很有冲击力。 无与伦比的想象力，抑郁症小女孩的被救赎之旅，电影是造梦的，这是它的可爱之处,2023-01-22 11:14:38,5638
3631288543,深海,2023,鹿不易,3,醒醒吧，散场了。 还真的是有点自知之明。 乏味透顶，要是真能让我哭也算对得起这票价了。真的不适合大年初一上映，太丧了…… 主创团队到底想传递什么价值观念？ 跟《雄狮少年》隔了7部《大圣归来》 大失所望 球球了，不要再卷画面了，先讲个好故事吧,2023-01-22 11:02:07,6398
3656335803,深海,2023,momo,1,动漫就动漫，别碰你不熟悉的领域行吗？抑郁症这个你不懂就别用这个题材，本人看过深海之后严重心理不适！我愿称最差国漫。,2023-01-22 12:07:51,2447
3656570070,深海,2023,duuuuuuan,3,用心做特效，用脚讲故事，有期待就有失望，和诈骗差不多。稍微有点阅片量的人都不会觉得惊艳，前一个小时差点睡着，故事过于单薄，人物过于简单，情节几乎没有。三星全给特效和画面。,2023-01-22 14:21:33,4495
3656482755,深海,2023,咸蛋黄烧茄子,1,观感像是跟一堆剩菜一起在泔水桶里泡了一个小时然后被冲进油污滑腻的下水道里 剧情无病呻吟为了反转而反转 放在大年初一看也是真晦气,2023-01-22 13:30:42,1110
3630570392,深海,2023,子戈,4,看大家都在抱怨，这个春节档电影越来越像剧本杀。《深海》就是个典型的哭本逻辑，前面一套叙事，后面倒转成另一套叙事，让大家恍然大悟的同时，颇受感动。这个剧作模式确实不高明。 实际上，倒不是电影越来越像剧本杀，而是电影这么多年为自己树立起来的媒介壁垒，随着其他媒介的发展（如游戏、剧本杀、电视剧），不断被拆除。 那么越是这个时候，电影人越需要反思，什么才是电影没法被取代的体验。也正是于此，我愿意肯定这部《深海》。 它其实就是还原到了一种纯粹的视听冲击力，如漩涡一般，把人卷进它营造的世界，去切身体会一种痛苦，以及微不足道的救赎。 我尤其喜欢破次元壁的那一幕，一边是母亲的呼唤，一边是南河沉入海底，主人公竟然背离了母亲，冲向了南河。因为比起那个虚幻的希望，眼前的陌生的善意，更可依靠。,2023-01-23 13:45:08,4505
3636501033,深海,2023,sarah,4,大年初一第一刀 本来到中间很困的，但是架不住有个好底啊 后半个小时哭的稀里哗啦 南河！,2023-01-22 11:07:12,3432
3658127501,深海,2023,史蒂夫,3,故事和设定都还没讲清楚讲明白，就一昧的去向观众输出视效、输出情绪，又再用这薄弱的情绪去营造大场面，到最后在深海之眼歇斯底里的努力的时候，我都不禁在想他们到底在为了一个什么东西在前进？没错，整部片就是这样，不知道是为了什么而推进剧情，它构造了一个只浮于表面根本立不住的世界，然后用了爱丽丝梦游仙境或千与千寻一般闯入异世界冒险的故事架构，去塑造这个所谓的深海故事。,2023-01-23 05:38:46,3065
3656244763,深海,2023,土土DeepSleep,2,儿童版毒液+甲亢版童漠男+克苏鲁式千与千寻。聒噪，太聒噪了，无论是人物、动作、台词，还是声音、画面，都比大年初一早上的炮仗还吵。,2023-01-22 11:05:58,5164
3673676610,深海,2023,Luna,1,精神污染的级别，全程痛苦面具。忍受40分钟后，感谢闺蜜理智带我逃离苦海，果断选择隔壁流浪地球2。,2023-01-31 08:47:15,479
3659436983,深海,2023,瞎猫,3,画面真的很美，但是对我来说最震撼的还是“醒醒吧，别睡了”。妈的你是怎么知道我睡着了………,2023-01-23 18:56:50,2410
3467333898,深海,2023,今天雨,3,为盘醋包了顿饺子,2023-01-24 18:24:25,2130
3656474994,深海,2023,Devileath,5,比深海饭店不存在更让人难过的，是南河曾存在,2023-01-22 13:26:10,17492
3658289770,深海,2023,刈舌菌,3,你说一个抑郁症 要有个人因为救自己死了 那不应该更抑郁了吗,2023-01-28 16:53:07,2019
1880277839,深海,2023,鸡排饭加个蛋,4,孩子哭的一塌糊涂，即使回家了还在问我参宿冲破的那块布为什么能把她的脸给割破了。她确实没看懂，但是她的反应却告诉我，当大人们依旧吹毛求疵地点评着单薄的剧情和人设的时候，田晓鹏却用那漫天绚烂的色彩飞扬，轻巧地跳过了成人世界，触及到了一颗不谙世事的心灵最柔软的部分，这其实就够了。,2023-01-24 21:32:34,2622
3656244314,深海,2023,像风走了八千里,2,要特效有特效，要剧情有特效,2023-01-22 11:05:20,3640
3656258277,深海,2023,小居头,4,一句话故事概括：一个陌生人牺牲自我，帮助小姑娘笑面人生，重塑自我的故事。这句话看着是不是感觉有点拧巴？就是如此，这种拧巴也让这部电影缺少了一些底层逻辑。电影画面无与伦比，同时有笑点有泪点，当然这种泪点你先需要克服电影中的那种拧巴感，观影过程中会不自觉让你觉得似曾相识，来自《千与千寻》的相似感。过年选电影的话这部电影可以一看，家有小孩亦可一起“食用”，只不过我非常不喜欢电影的3d，流浪地球都放弃3d了，我是始终不明白一部动画片为啥非要3d，画面黑黢黢的，有部分场景看得都快斗眼了，要是改成2d，我对它的评价还能再更高点，7分片吧。,2023-01-22 11:20:16,1510
3656259944,深海,2023,群青调普蓝,2,不会编剧就别编，大年初一看你叫一个小女孩晦气晦气到底你确实晦气了，我看了是真觉得晦气。看完我真的妈妈ptsd了，一个俩小时的动画电影拍的和一个2小时的宣传片一样你干嘛呢？我第一次在电影院看电影看的我如此生气。 你没有剧情只有画面也行，但你硬煽情是要干嘛？你以为最后立意硬拉上抑郁症就能拯救你那除了画面毫无剧情放内核了吗？画面是肉眼可见的贵了，你剧情呢？你内容呢？导演你自己看看你自己都说了些啥？我天我真的太生气了！！！两星只给画面！！其余的啥也不是！！！,2023-01-22 11:21:43,4138
3658985159,深海,2023,再见了贝托尔特,2,田晓鹏你是不是觉得自己特别懂抑郁症？,2023-01-23 15:36:02,2039
3656993004,深海,2023,花觉,3,剧情啊剧情，你就像影片里的大海，全都是水。对抑郁症的理解就像，影片里的鸭子游泳圈光浮于水面上了,2023-01-22 18:17:30,1496
1639939249,深海,2023,wekasoul,5,我愿意为美术和冲破黑暗粒子水墨组合的星空画卷给五星，但是对于抑郁患者和讨好型人格来说，自愈是需要勇气和信心的事，是在不断内耗和挣扎中让自己好过，绝不是靠别人的生命来换取自醒，梦境是美好的也是最残忍的。,2023-01-22 12:30:28,9303
3656513015,深海,2023,你已急哭,2,所有的问题都暴露而未得到解决，无论是重男轻女、东亚家庭pua、抑郁症、与世界和解，整体看来却那么空。我其实清楚内核是什么，但感觉在东亚教育视角下去评价，给小孩看不一定看得懂，给大人看又觉得过时了，或者说，却是成人早应清楚的道理。少功有过。如果情感落点在母女上会更好，我无法接受女主为挽救生人（还是男人！）而付出的结局。最后，视觉效果虽然惊艳，但大红大绿大蓝一叠又土得梦回《大圣归来》；男主丑得吓人，，原本以为海精灵已经很cult了，没想到男主才是最cult的。,2023-01-22 13:48:10,1761
3660655323,深海,2023,momo,3,要特效有特效，要剧情有特效。,2023-01-24 05:57:29,795
3657321931,深海,2023,咣姥姥进罐罐园,2,什么时候国漫才明白讲好完整的故事才是最基础、最重要的？,2023-01-22 21:01:26,1744
3657085151,深海,2023,the_vv,2,吐槽的点太多了，父母离婚，父亲再婚被忽视的有抑郁症的女孩，被一个“小丑”拯救，干瘪瘪的几句空话，那个小丑能理解她被忽视 不被爱 的人生吗？轻飘飘的“未来会有光再等你” ，最后荧幕上，女孩和爸爸相亲相爱的画面让我觉得呕吐。我只希望她不要向外渴求光，拥抱自己。,2023-01-22 19:06:01,1586
3630574813,深海,2023,Jasmine_长乐,5,大家这几天可以看看啊。用最绚丽的色彩，描绘走出灰暗的童话，中国动画真的很强，这部完全是可以拿国际级奖项的！,2023-01-22 11:07:51,4824
3668357451,深海,2023,花与爱丽斯,5,能理解说不喜欢的，但是说看到半路离场的，突然觉得，对深海不耐烦的看客，就像对小孩的痛苦不耐烦的成年人。,2023-01-27 22:38:21,3387
3653482163,深海,2023,Pluto‘s,5,愿每个走过长夜的人终将等到一束光。,2023-01-22 11:02:05,3038
3657228642,深海,2023,momo,2,谁写的智障剧本 我建议给美术磕头,2023-01-22 20:16:33,1463
3650123031,深海,2023,Lavender,3,前半段如坐针毡，令人出戏，人物扁平，情感生硬，后半段破题串伏笔还是略为惊艳，但前面太过拖沓，已经磨灭了人的耐心，显得后面的感动有些可笑。另外看到了许多宫崎骏动画的影子，只可惜画虎不成反类犬。 画面确实色彩绚丽，但支撑不了剧情，这部作品告诉我们，中国动画不缺技术，但缺好剧本打磨。,2023-01-24 22:46:54,763
3510979919,深海,2023,区天瑞LEO,5,如果参宿死了，那这部动画将是封神一般存在。可惜根本容不下这样的结局。 深海大饭店没存在过，但是南河存在过。他是一个小丑，他会给参宿讲笑话逗她笑：从前有一只白色的小海豹，它很爱笑。我问他，小海豹小海豹你为什么总是笑呀？小海豹回答说：船长，我是萨摩耶呀！ 好美好美好美，美到我一伸手好像就能抓到面前的彩色鱼儿和水母。电影画面之所以这么美是因为现实是灰暗的，那么人生本来就是没有意义的。,2023-01-22 21:09:16,1756
3467816137,深海,2023,在雨中,2,你们动画圈就没一个会写剧本的吗……,2023-01-23 16:56:54,1154
3634160517,深海,2023,宝烦烦,5,大年初一大早看这个，艾玛，给我哭得。在哭抽的间隙挣扎着爬起来说：特别好！五星推荐。这确实是一个关于救赎的故事。 真好。,2023-01-22 11:11:01,1524
3670386972,深海,2023,EAZIN,3,视效无敌，但表故事不成立，情绪表达和真相揭晓都太过直给，我理解这个故事是只呈现给有缘人的私人表达，所以好遗憾，我和这个故事少了一点缘分,2023-01-29 00:30:40,546
3661518804,深海,2023,夏结绿,2,没看过观影过程如此折磨的影片，全程在好绚丽（色彩和视效）和好恶心（形象和故事）之间反复横跳，能感觉到创作者真是太自恋了，把很多自己碎片化的思考和感受塞进电影里。光顾着自我表达，根本没想好要给观众讲一个什么故事。中国电影人还是太TM好混了，敢这么玩弄投资人的真金白银和观众的期待，失望！愤怒！,2023-02-03 01:41:36,621
3656244434,深海,2023,Stormie,4,看完前半段：我为什么要在大年初一的早上跑到影院来受刑 看完后半段：对不起我错了这是神作呜呜呜呜呜呜呜呜呜呜 P.S. 感谢邻座小姐姐递过来的纸巾[玫瑰],2023-01-22 11:05:31,1021
3656622097,深海,2023,黄克思,3,这下宫崎骏又伟大了。 一命换一命，把你救回原生家庭不要太谢谢我。,2023-01-22 14:53:37,709
3661846641,深海,2023,钰钰怪,1,发出来不怕被别人踩。女主被妈妈抛弃，那为什么妈妈这种独立女性非得等到孩子跳海才回来陪伴呢，为什么不把女主带走呢？中间那段描写后妈和重男轻女的，真的超级恶臭。连妈妈这种x色体都不girls help girls，还要指望一个八杆子打不着的y色体小丑来拯救自己，果然墓妊总想着y色体来接盘，差评了。,2023-01-24 19:54:35,611
3667715095,深海,2023,凪,2,如果说阿凡达的视效是享受，深海的视效就是折磨。无法理解导演审美，全片都是调色盘打翻的程度，真的太过了，而且充斥着黏黏糊糊的类似呕吐物的东西，糊人一脸。80%的近景和特写，把所有的东西都怼在你眼前，毫无空间感，很多虚化和摇晃镜头，坐前排看会非常晕。故事上，前一个半小时不知所云，后半小时全力煽情，反转俗套，抑郁症只是设定，中间穿插几段奇怪的mv推进剧情，最后的感觉只有一个，我真的哭不出来…,2023-01-27 16:52:28,653
3671436749,深海,2023,Azul7,1,我第一次觉得这分是因为大家对国产动漫太宽容，狗屎，一坨狗屎。,2023-01-29 19:11:18,422
3656218586,深海,2023,纯子🔵,5,对我而言全片最想哭的地方好像和大家不太一样 最戳我的地方是：南河一个黑色剪影 清瘦的身材长发飘零 面向着家乡的原野 天空处粒子水墨特效涌动 好像梵高的《星月夜》 那一刻真的把我美哭了 人果然是为某一瞬间而活的。 这或许就是动画制作的意义 ！,2023-01-22 21:06:50,1330
3666832171,深海,2023,扭扭,5,原本不打算特意来打分，但这个分数和票房我真的意难平，加上还有很多尬黑甚至嘲笑导演的，看得我很难受，不想看他们乱刀杀死工匠精神和创作初心，就算是发点微弱声音也好，那就把pyq的观感搬过来吧—— 前半部我的状态be like：画面太美了，视觉影像信息量好大，剧情啥玩意，我看不懂。后半段：（……戴着口罩哭得喘不过气 出影院后基友和我都不说话，半晌基友问我：你还好吗？我“不好”俩字还没说完，眼泪又扑簌簌掉了下来，完全不敢回想剧情，不然我俩怕是要在电影院门口抱头哭会儿了。 我不会安利这部《深海》，这是给有缘人看的故事。如果你懂它，那么它自然会治愈你，给你巨大的震撼和力量，就像走出困顿后一个鼓励的拥抱，又或是源源不断的温柔指引。,2023-01-27 01:12:37,871
3679312494,深海,2023,马特,2,并不太能相信一个说出“不买就不要碰”的人 会毫不犹豫地跳进汹涌里救人。因此也无法相信一个没有爱的世界里的无私的爱成立。,2023-02-04 12:19:31,423
1733574911,深海,2023,连翻六个后空翻,4,前一个多小时的填鸭只为了后面半小时的反转，半小时是很感人，但前面大半时间也太难熬了 鼓励四星,2023-01-22 22:33:23,624
3741201716,深海,2023,沸海鲸歌,2,我像被五彩斑斓的大鼻涕甩了一身，然后被扔进花花绿绿的危化品废水池泡了两个小时。,2023-04-02 20:19:17,259
3659487736,深海,2023,理智荔枝木,3,暴发户一样的色彩,2023-01-23 19:18:58,603
3656246778,深海,2023,一灯,4,少女参宿的奇幻漂流,2023-01-22 11:08:44,511
3509733904,深海,2023,大宝魚,3,能理解主创想要构建一个爱丽丝梦游仙境式的世界的意图，但是对恶趣味的放纵（鱼头鱼脑的食客与令人作呕的食物）和对技术盲目的追求（不可描述的海精灵和黏黏糊糊的丧气鬼）让电影在视觉上显得不伦不类。粒子水墨出现的段落诚然赏心悦目，但没有真正地融入叙事，海獭抑或是海象的处境也是如此，远没有神偷奶爸里的小黄人那么令人印象深刻。单就故事而言，以小女孩找妈妈为动机让人实在提不起兴致，南河这个男性角色在绝大多数时间完全不讨喜，最后的反转也十分苍白无力，说难听点就是为了催泪而催泪，相当的生硬和算计。希望导演尽快从多即是美、大即是好的思维中解脱出来，把想法一股脑儿地堆给观众，只会像片中的创意菜一样，让人难以下咽、消化不良。,2023-01-29 17:37:27,328
3662347215,深海,2023,流浪小脂,5,家庭幸福顺风顺水的人会在中途觉得无聊退场，而一生有憾童年缺爱的人（仅指我自己）会哭到隐形眼镜滑片。打五星并不是说这片子有多好，而是我这二十多年，都活得太拧巴、太差。,2023-01-24 23:05:40,698
3659016557,深海,2023,Moran_,3,能不能花动画十分之一的钱找个读过书的编剧？,2023-01-23 15:50:35,663
3674708411,深海,2023,🫀Psyche,5,作为青少年期就患上了重度抑郁，十年后确诊双向障碍，急性发作期有大量幻觉，不得不住院，使用过大量精神药物的亲历者，这个故事几乎原封不动地讲出了我的故事。为什么丧气鬼是红色的，因为在这个阶段会有很多自伤自残的行为。我高中差一点就跳楼死了，自己也不知道什么爬回来了，第二天发现另一个人从楼上跳下去了。作为幸存者的我，强烈地感知到自己的这条命是换回来的。这个片子共鸣太强了，后半段我几乎控制不住自己在影院嚎啕大哭，我们真的是用尽全力又足够幸运才活下来的啊！,2023-01-31 23:25:46,549
3670950984,深海,2023,Maki,1,如果可以打0星的话…… 吵，满格彩色，哈尔的移动城堡，千寻给河神洗澡，艾莎公主找妈妈…… 后半程看出来是精神病的自我世界，为赋新词强说愁！ 不给我退钱真的很难不生气！,2023-01-29 13:11:52,277
3656260325,深海,2023,安托万的造梦机,5,光是3D制作就足以满分了，绚丽的场景和细节的刻画都很好。母女共生幻想本质上还是因原生家庭破裂的遗憾而产生的心理补偿机制；笛卡尔、《少年派》式的幻想&现实双重叙事显然是神话的建构，真实的结局往往是黑色的。献给走过漫长黑夜的自己。,2023-01-22 11:22:03,767
