评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3656521220,满江红,2023,拾得,3,一句话概括老谋子的《满江红》： 一伙人策划了一次针对奸臣的行动，筹划埋伏了几十年，主演几乎全死光……最后目的竟是：为了让奸臣带领全军背课文！！！ 这种爱学习的精神让我动容。眼泪夹不住了～,2023-01-22 13:52:55,31703
3656314236,满江红,2023,Phoenix,4,全军复诵的时候我还在想，为什么秦桧儿对岳飞这么有感情，看到后边，哦！果然是张艺谋。,2023-01-22 11:55:13,23006
3401799320,满江红,2023,鱼栖沐,3,知道满江红，没想到这么红... 我这是看了个主旋律古装剧本杀啊，还是欢乐情感本...,2023-01-22 11:50:45,21174
3670247934,满江红,2023,最喜欢夏天,2,如果令我感到不适，那就是真的不适。21世纪了，还需要挽救风尘女子而她守贞如玉贞洁比死亡更重要的桥段吗。,2023-01-28 23:23:25,7080
3656542178,满江红,2023,可乐猫,2,像是一个大杂烩的电影，四字表演真的演啥都一个样,2023-01-22 14:05:16,3973
3678683145,满江红,2023,故事的男主角,1,明明就是一部小品，配不上“满江红”三个大字,2023-02-03 22:19:29,3229
3656372654,满江红,2023,哪吒男,4,原来带着镣铐是可以跳舞的，原来记忆就能杀人，敌人狡诈狠毒，我们共诵一首歌即可杀他。,2023-01-22 12:29:14,16544
3660286846,满江红,2023,ElenSila,3,那个，能不能不要通过一些“亡国歌女”来透出一些…..,2023-01-24 00:06:57,7434
3677808250,满江红,2023,June,3,玷污女性那段属实让人一点生理不适了，好像女性的大义就体现在被人玷污而不屈服这一点上,2023-02-03 08:07:01,4081
3671816296,满江红,2023,青婉黎,1,就是一乐 但是不尊重历史 不配拍岳飞的相关事件 不配叫满江红,2023-01-29 22:53:57,1697
3671806827,满江红,2023,土土老师傅,3,杀了可以，别糟蹋她！Excuse me？,2023-01-29 22:49:09,1601
3656276572,满江红,2023,Aspirin,5,我的五颗星星都给何大人，看完好想被何大人的扇子敲一下（bushi,2023-01-22 11:54:39,9346
3656801491,满江红,2023,-却不及,4,我们为什么要记住诗词。,2023-01-22 16:38:12,11143
3659108791,满江红,2023,yyh,4,可能不少人觉得最后朗诵满江红太煽情，可是在这个越来越逐利的时代，我愿意相信这样的浪漫英雄主义，至少是这两个半小时我想相信,2023-01-23 16:32:33,7209
3665460634,满江红,2023,青池君,4,国产电影把全球刺客🥷的格局都打开了…不索命只要对方背诗😂,2023-01-26 12:56:36,3763
3656294496,满江红,2023,HarperDie,4,“三十功名尘与土，八千里路云和月。”这不就是张导至今35年导演生涯的真实写照？他依旧在题材、手法、剧作上寻求变化。在意之人，定将铭记于心。反之，则嗤之以鼻。历史终究会烙下某种评断，无论好坏，是否清晰明确，消失难道不也是存在最好的印证？千玺很幸运，在最好的年华，能演到孙钧这样的好角色。,2023-01-22 11:44:12,10265
3660085326,满江红,2023,私享史,3,7分。二十年前张艺谋没有刺秦，我站在偏精英的立场上不认同他共情暴君；二十年后张艺谋还是没有刺秦，我站在偏民众的立场上不认同他姑息奸臣。 再回到电影构建的语境中来讨论，对于秦桧这样位高权重祸国殃民的奸臣，无论杀他能不能历史偶然地改变历史进程，都应该被（小人物张大式）快意恩仇地一刀砍死，而不做（小精英孙均式）“让你苟活着背负老百姓骂名惶惶不可终日”的臆想。 更何况最后孙均都把秦桧捆起来了，背负着含亲戚在内的六条人命，居然还是选择不杀，恕我无法接受。虽然既定史实即便在艺术表达中也不容篡改，但不杀了还是杀不了是创作者可以选择的。 想靠“功过后人评”这一套说教来告诫活着的大人物，既是一种过于理想的道德约束，也流于主观心证和相对主义的虚妄，应该是现世的法律制裁和人心向背更具威慑力才对。【仙桃金逸】,2023-01-23 22:59:40,844
3681865928,满江红,2023,山芋,3,有匠气没灵气，有演技没真情,2023-02-06 07:59:14,765
3656333924,满江红,2023,豆瓣在逃江湖骗子,5,国师真的老了，从第五代的影像至上到一曲《满江红》的故事悬疑，很难说是商业的妥协还是在影像故事抉择之中的回归，但我觉得这部《满江红》道尽了一个老人，一个老电影艺术家的“精忠报国”，疫情三年中国电影业的萧条、困顿、失落，国师在今时用一首《满江红》高唱“待从头、收拾旧山河，朝天阙”，高歌“臣子恨，何时灭”，对着后辈年轻的电影人高歌“莫等闲，白了少年头，空悲切”！老一辈或许会背负骂名（向商业投降）而离去，但新一代将背负希望远行！这是一个老人送给中国电影的诗歌，是一部属于中国的《阿涅斯论瓦尔达》，无疑也是一部关于中国电影的中国电影，也是，有些东西无关生死，那就是传唱千古的文艺。,2023-01-22 12:06:45,10901
3658136778,满江红,2023,辉夜姬,3,喜剧的形式或许是对历史的戏谑，既然如此，末了突然的认真，细想就让人觉得味道不对，情绪太直给太单一，缺少了解构的玩味空间。在人人自危各怀鬼胎的宫院里苟且偷生，棋子草芥也要纵横穿梭来追逐时间，嬉笑怒骂回应必死的命运，又或许还有比生命更加重要的东西。满江红，是杀伐果决的红眼，是血流成河的惨烈，是暗红的血性不露声色，是怒发冲冠的英雄们不留名字。本身是各种张艺谋标志元素的大杂烩，作为贺岁片已经算超额完成任务。摄影非常失望，部分画面甚至感觉在看电视电影，是城府之间的一次次疾走和怪有意思的电子戏曲配乐维系着电影感的存在，也反映出导演的玩耍心态。结尾联想到课文背后历史的厚度止不住流下眼泪，但同时又感觉数百官兵齐诵《满江红》的画面有一种意淫的尴尬和荒诞，大张旗鼓的煽情是最平庸的“升华”。,2023-01-23 06:21:27,950
3684913939,满江红,2023,桃花鱼,3,为赋新词强说愁,2023-02-08 20:37:05,592
3656291557,满江红,2023,Leo哥,4,雷佳音最后的表演多给一星，确实知道这剧有多处反转，但是最后的结局让我感受到格局，国师还是功力深，可细品,2023-01-22 11:42:32,6198
3656305358,满江红,2023,罅昶,4,听到“我没什么背景 是靠自己努力”发出兔年第一声爆笑 大家演技都在线 新女演员也挺惊艳的,2023-01-22 11:50:11,4427
