评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3542152121,热辣滚烫,2024,一截盲肠,5,有一处挺童话也挺动人的，就是在这个大家都不敢善良，拒绝善良，以及习惯性地把别人的善良看作一种伪善的情况下，乐莹遭遇再多恶意也愿意把两颗苹果都给你。,2024-02-10 11:43:13,40083
4085559970,热辣滚烫,2024,清木辰光,4,本片最大的成功是女主练了拳击后没有跟她的搭子在一起。,2024-02-10 11:57:43,49623
4085528153,热辣滚烫,2024,sorgenti,2,1.不知道为什么要这么表演，丧不是有气无力也不是虚弱。2.女性学员看拳击比赛也不都是看教练乏善可陈的肌肉。3.内核的自我实现还是为了打别人脸也太陈腐…,2024-02-10 11:13:42,7973
4085785724,热辣滚烫,2024,吴吴,4,她拍这部片子的目的根本不是说她瘦了这个事，是告诉你，无论你这个人活的有多烂、多失败、多差劲，只要你找到一件事，哪怕只是很小的一件事，一直做、专注做、拼了命地做下去，你会赢的，哪怕就一次。,2024-02-10 15:54:19,49966
4085538137,热辣滚烫,2024,深夜的阿斯伯格,3,为张小斐高兴，因为她是玲女郎，一个女导演的女郎，这点就很牛逼了。一定要支持少的可怜的女性导演。相比第一部道德枷锁下的完美女性形象，这部进步很大，女性有了更多的选择，可以选择躺平，可以选择打拳，可以选择不吃牛蛙。电影感好了很多，独自上楼梯的远景，比赛的长镜头。,2024-02-10 11:29:17,29088
4085535392,热辣滚烫,2024,友心,3,看点真的只有贾玲减肥,2024-02-10 11:25:13,21704
4086136935,热辣滚烫,2024,螃蟹必须蘸醋,5,大家对女性导演真的充满了恶意，减肥这个事情阿米尔汗没有宣传过没有上过热搜吗？独独对贾玲这么刻薄。真可悲。,2024-02-10 20:24:10,19185
4087285023,热辣滚烫,2024,aiaiaixiahe,4,心疼贾玲，太强了。最有意思的是，影院一个男的看完出来说，“这种我一个月就练出来了”。太经典了，典中点。,2024-02-11 17:22:12,25264
4086329217,热辣滚烫,2024,JO,4,要细究质量的话当然有很多问题，但是我喜欢贾玲。我喜欢看贾玲减肥，我喜欢看贾玲练拳击，我也喜欢结局：不要男人，也没有赢得什么，只是自己开心就好。,2024-02-10 22:14:18,7847
4085549319,热辣滚烫,2024,momo,5,看到那么多迫不及待的一星就知道某些群体对电影圈出个优秀女导演有多破防了。差评多少钱一条啊？赚钱带带我呗🧐ps：姐的背肌腹肌二头肌绝美！beautiful！一拳打爆酸鸡黑子键盘侠的头！,2024-02-10 11:44:08,19922
4087934911,热辣滚烫,2024,Season,2,减肥的过程我看到了，但是我没看到电影。,2024-02-12 00:35:30,4718
4089494408,热辣滚烫,2024,黄青蕉,4,平时看电影最容易走神的桥段就是小人物逆袭蒙太奇，无论是埋头狂刷试卷考清北还是丑鬼减肥造型大翻身变美人，横竖都是假的，加了科技的，全靠观众自我说服“我就当ta成功了吧”。所以看到贾玲用这么笨的办法，这么大的代价拍了商业片里最烂俗的五分钟我真的，心跳加速，她虽然不是专业电影人出身，但颇有电影发展早期那种硬桥硬马搏命一拼只为圆梦的癫狂精神，就冲这五分钟可以原谅整个电影的种种不完美,2024-02-13 10:59:14,1310
4076452698,热辣滚烫,2024,真珠,5,看完想大喊：姐！,2024-02-10 11:22:46,16510
4085687476,热辣滚烫,2024,嘟嘟熊之父,4,很奇妙的效果。贾玲导演的眼睛似乎能看穿演员表演形象中不肯轻易袒露的真实人格，并在极度戏剧化的情境中转化作最朴素日常的一瞬。情节的减法做得极好，凸显了扑面而来的影像能量。男主角的半路退出让整部影片走入了截然不同的轨道，作为演员的贾玲对抗的不是体重，而是孤独。都说瘦下来的她变了，其实她丝毫未变，只是我们看她的眼光变了。与《喜剧之王》相似的情感内核，极度真诚，但从不自诩真诚。,2024-02-10 14:18:45,1607
4085530494,热辣滚烫,2024,浅尝辄止,5,值得给努力的人五颗星！,2024-02-10 11:17:40,15257
4086163297,热辣滚烫,2024,老袁,4,电影里有很多肉麻的东西，很多过犹不及的煽情。剧作全是直给，小品式的桥段和转折。但就是贾玲的电影贵在情绪都特别满并且情绪很真诚。个人觉得她和吴京都算作者型导演。他们拍的东西再肉麻，但他们自己认。,2024-02-10 20:40:40,646
4085529958,热辣滚烫,2024,偷喝一口夏🍃,4,减肥励志片儿啊我的妈，比贾玲瘦了更让人惊叹的，是她甚至还练了一身腱子肉，牛哇牛哇,2024-02-10 11:16:48,2475
4086565587,热辣滚烫,2024,曉宇,4,被感动到！我认为贾玲的电影是向内的，个人的，对她自己来说更重要。前一部是疗愈自己的家庭关系，这一部是针对自己的身体。电影反而是个借口了：我借电影这个疗愈的媒介去面对和解决自己。这一点是让人触动的。凡是尝试改造身体和告别过去的都知道这其中的艰难。,2024-02-11 00:13:56,600
4085530502,热辣滚烫,2024,Hazsco,1,对电影的理解凝固在小品阶段，对喜剧的理解停留在下三路阶段。已经不止是无趣了，那些笑点让人厌恶！,2024-02-10 11:17:40,13151
4085117805,热辣滚烫,2024,楠朋友,3,《李焕英》破了30亿，答应观众要减肥。可是减肥很痛苦的，不能白减！减肥又费时间，这样就会少上几个综艺赚钱！那就一边减肥一边拍电影一边赚观众的钱吧！拍什么好呢~日本这部电影，刚好可以翻拍！不错。换个概念讲，就是给我40亿~20亿人民币吧，并且教练、营养师等团队都配齐，在一年时间里不用工作上班，只需减肥100斤！我绝对相信我也可以~~说实话，我不讨厌贾玲，只厌烦电影的营销方式。。。说回电影本身，这个剧情在我看来真的很一般，尽管贾玲表现的能吃能睡还懒，讲话无力不自信，但依旧给我一种活的很“饱满”的感觉。还有最后比赛，一直在挨打，最后来个必杀左拳。都报名拳击比赛了，你实战不练啊，只练动作与瘦身。不愧是懂煽情的“喜“剧人。相比起来，张家辉的《激战》优秀多了。剧情60分，另外加15分送给真的瘦了的贾玲。,2024-02-10 22:56:17,7797
4087374348,热辣滚烫,2024,张春[阿卡纳],5,一个女孩在关系里受尽屈辱历尽心死后，选择以训练自己身体的方式，独自前行，只拥抱了自己的对手。这是被利用被背叛被掠夺的一个普通女人的孤独处境。拥抱的对手是她自己选的，不爱她但尊重她，和她公平较量，技高一筹就把她往死里打的一个人。我们千山万水要的就是这一点公道。我要的，我来选，这就是赢。,2024-02-11 18:37:56,6395
4101777108,热辣滚烫,2024,阿彬困了,2,人确实是狠人，片子确实是烂片。,2024-02-22 10:24:08,1266
4085568644,热辣滚烫,2024,CC就是屁股哥,1,从去年就开始买各种自媒体说贾玲减肥的消息宣传，真是恶心死了。你为了电影减肥增肥不是太正常了？这不是你的工作吗？至于这么宣传么？？？,2024-02-10 12:08:01,5378
