评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3656288765,"熊出没·伴我""熊芯""",2023,hedy,4,熊出没说不定是今年春节档唯一不是烂片的电影。,2023-01-22 11:40:53,1388
3597859083,"熊出没·伴我""熊芯""",2023,ChaosLio,3,稳定发挥,2023-01-22 10:54:51,622
3656268358,"熊出没·伴我""熊芯""",2023,就是没有胡子,3,讲母爱的我们娘俩抱头痛哭,2023-01-22 11:27:59,487
3664161536,"熊出没·伴我""熊芯""",2023,磕学家🥺,3,好消息：熊大熊二终于找到妈妈了。 坏消息：他们妈妈是个机器人。 好消息：他们妈妈虽然是个机器人但是有人的感情。 坏消息：他们妈妈准备牺牲自己。 好消息：妈妈被修理好复活了!,2023-01-25 20:05:20,346
3646419351,"熊出没·伴我""熊芯""",2023,那维莱特的挚友,4,一群家长以自己的目光来看待一个献给儿童的电影，也是献给大朋友的电影，也不知这部关于“母爱”的主题碰到家长哪里的制高点了，是因为自己在家里压榨孩子，结果孩子看了这部电影之后问家长为什么我没有这样的妈妈破防来故意打低分吗？我自己的观点：这部电影还是稳定发挥，应该不会翻车（1月22日15:20修改版：票房开始碾压无名，春节档分水岭，质检员，以最低的排片率贡献几近最高的上座率，熊出没不愧是你）,2023-01-22 11:57:15,928
3665708051,"熊出没·伴我""熊芯""",2023,Ticktock,3,这种电影纯粹地有益身心在于，身边孩子的童真让人触动。3D的苹果、萤火虫，他们会伸手触碰；作为孩子特权的肆无忌惮地违反电影院沉默惯例的嬉笑交谈；黑暗中短暂的集体情绪的互相感染，这一切都让人感到惬意，以后心情不好就去儿童电影专场窃取小孩儿的快乐吧。 这部电影作为艺术作品，那可以去解码解读的就多了，熊妈妈不停地强调“为了我的孩子我别无选择”，那我他妈生育恐惧就更严重了，为了孩子别无选择，人质是吧？ 母亲是机器人而且一直是，齐泽克来拿拉康和弗洛伊德得给你分析出花儿来。 还有，因为熊妈妈产生了爱，所以进化为最厉害的人工智能，你这比隔壁550W还狠呢？干脆您来主持移山计划吧。 剔除这刻版肤浅的亲情描写，剔除熊二略尬的插科打诨，还行。反正结尾一堆机器人冲上去的群戏比隔壁的某江红唱诗班好，嘻嘻。,2023-01-26 15:49:53,178
3649368430,"熊出没·伴我""熊芯""",2023,东风霹雳,5,感觉熊出没的制作者真的属于中国非常有诚心，有耐心，不断挑战自己，追求一年比一年更高的业界良心。,2023-01-22 14:21:10,496
3659265076,"熊出没·伴我""熊芯""",2023,三月对我笑,4,小孩子们看得欢乐，大人们只觉得无趣和吵闹。其实真不至于给低分，不用大人思维去评判儿童向电影。16年我刚来豆瓣，看到我童年动画全是低分，一群“大人”在那对我的童年指指点点，挺恼火的。不过好在那些动画后续评分还是上来了，现在都是八九分的高分片了。,2023-01-23 17:41:10,832
3656246809,"熊出没·伴我""熊芯""",2023,疯狂大帆船,4,相比之前的影片，这次的主题其实蛮有深度的（机器伦理，对小孩来说深了），情节安排上竟然能一波三折，早期三主线并推，有些技术。整体逻辑通顺，难能可贵（一点点小瑕疵无伤大雅）。国产动画片当中，熊出没大电影是最用心的，很不错。,2023-01-22 11:08:47,608
3656338402,"熊出没·伴我""熊芯""",2023,もも,0,其实就从女性内核这个立意已经杀爆一片假期档国产电影：两位反派都是男性，一位女性引导主角寻找另一位女性。还挺嫌弃最近几部都要搞大科幻的概念，像好莱坞山寨片，这明显是日常或者奇幻题材创作山穷水尽，只能靠噱头骗点观众。而且这部的情节连贯太差了，都不给你瞎解释直进主线；进步最大的是温情点包袱效果拉满，非常好哭，怎么说都抄到点上了——依然很难夸熊出没如何，毕竟很多概念都是一大抄,2023-01-22 12:09:20,67
