评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
2731485123,熊出没·狂野大陆,2021,69D梦梦,5,我觉得熊出没系列动画片已经算是国产动画片比较好看有教育意义的片子了，不光小孩喜欢，大人也喜欢,2021-02-09 19:18:31,262
2732375656,熊出没·狂野大陆,2021,天马星,4,当其他国漫都在忙着崛起的时候，《熊出没》系列悄无声息地将国产合家欢动画做到了极致，现在的《熊出没》大电影已经完全没有了任何廉价感，看完所有春节档影片，发现质量最好最喜欢的居然是我之前一直看不上的动画，如果春节档只能选一部看我会毫不犹豫选它，多点真诚少点口号，观众会用钱包选择。,2021-02-10 10:17:44,554
2734673606,熊出没·狂野大陆,2021,居无间,3,“人变动物”的设定和各式笑料，照顾到了孩子们的好奇心；对快乐和技术的辩证探讨，能引发成人的反思。最后再以温情收束全片。《熊出没》几乎打通了全年龄层的观众，在合家欢这块越做越成熟了。这个打法，票房逆袭只是时间的问题。,2021-02-12 09:29:29,244
2475088370,熊出没·狂野大陆,2021,超人叔叔,3,往年基本都是春节去刷 今年居然放在SIFF达成了；剧场版早就脱离了低幼向 保留少儿理解的同时 成人视角的思考和社会现实的希冀进一步融入,2020-08-01 23:21:25,271
2734754705,熊出没·狂野大陆,2021,yin,5,要说疫情之下哪部影片表现最稳，绝对首推熊出没，受众明确，大盘稳定，绝对不会扑,2021-02-12 11:21:04,97
2644849535,熊出没·狂野大陆,2021,Anima,2,2020春节档看的可就定档2021了，还先后为这片子做了两期节目，并从他们公司那儿拿了得有二十多个熊熊的玩偶……不过这片子也就给小孩儿看的，尽管做了针对大观众做了成人化的处理，成年人看的时候多少还是会有些难受，尤其是煽情段落以在场的孩子哭为目的，大人可能会尴尬。技术其实在国产动画尤其是子供向动画里算不错的了，确实没法儿跟《哪吒》《姜子牙》比但能感觉到毛发渲染上的用心，普通话版本之外还做了河南话、四川话和广东话的地方专供版，导演和制片人在方特都属于位份比较高的人但都很实干。春节档确实需要一部真真正正适合家长带小孩儿看的，虽然《熊出没》作为唯一的选择显得非常寒颤且令人叹惋，但至少能看得到进步。既然市场都已经这样子了，也不指望一口能吃个胖子吧？,2020-12-16 23:29:00,117
2489857398,熊出没·狂野大陆,2021,张兮兮,3,想象力尚可，每年雷打不动的亲情牌还是可以加分，熊出没剧场版的质量逐渐保持在一个稳定的状态了,2020-08-14 00:01:43,211
2735079687,熊出没·狂野大陆,2021,左儿,3,一群神奇动物在疯狂动物城玩魁地奇，然后演变成了生化危机，最后终结者战胜了人工智能，解决了危机。融梗融的叫一顺溜，带孩子乐呵乐呵吧😄,2021-02-12 15:29:33,187
2734808102,熊出没·狂野大陆,2021,鬈毛,0,虽然看起来专精处不够精印象不够深，但也算方方面面都有在输出，甚至还有内涵内卷之类。其实大家都是一样的，光头强也是有自己一份朴实的小人物，在开着豪车的兄弟面前他还是“挣一百万我能买多少辆大巴”的光头强，就这些细节确实会打动到观众。把控在剧情动画而非歌舞动画也还好，包括基本脉络之间逻辑关系仔细看都说得通，靠运气以妥协剧情的关键点也比较少，但是要真正做到双层含义的话还任重道远,2021-02-12 12:12:28,29
2742601841,熊出没·狂野大陆,2021,BeanCC,1,没有负分，不然必须得给负分。这是一部给小朋友看的电影，但是片头正文内容前十分钟就是刷抖音，直播，并且片头片尾刻意强调东北口音，这是给小朋友推广抖音和东北吗？999感冒灵弄到动画里面，并且刻意有一段“去冷的地方怕感冒带感冒灵”。看看外国的动画片，人家在做什么？我们在教孩子要刷抖音，都特么LOW爆了,2021-02-15 20:12:07,44
2009869697,熊出没·狂野大陆,2021,我不是喜羊羊,3,把童年当做回忆，在熊出没找回回忆。,2021-07-27 04:17:27,10
1970928448,熊出没·狂野大陆,2021,兔子爱吃胡萝卜,2,很失望，每年都看，一年不如一年了。,2021-02-19 21:00:42,30
2739914985,熊出没·狂野大陆,2021,mumudancing,0,隔壁炒“唐探宇宙”的羞一羞吧，“熊出没宇宙”已经建了一代人了。,2021-02-14 18:01:58,19
2752126654,熊出没·狂野大陆,2021,扭腰客,3,国漫装逼不伦不类，土味动画不可小觑,2021-02-18 17:54:04,7
2748863531,熊出没·狂野大陆,2021,顗礼,3,观感好得离谱，虽然还是满满的既视感，但这居然是今年春节档电影里叙事节奏最好的一部，某几部真人电影走类型片公式的水准要是有本片的一半到位也都不至于扑成那样,2021-02-17 12:47:08,5
2750523000,熊出没·狂野大陆,2021,百代过客,3,论讲故事，熊出没比隔壁哪吒重生好太多了。,2021-02-17 23:44:45,12
2143629592,熊出没·狂野大陆,2021,突然粉碎,0,补标，宝强组合有笑点，剧情没想象中低幼，21世纪的第一个20年，让小朋友早点意识到过度依赖人工智能的危害是有必要的,2021-02-12 13:36:17,15
2720927444,熊出没·狂野大陆,2021,谋杀游戏机,0,去年看的忘标了。觉得蛮好看的，不低幼,2021-02-02 16:05:17,1
2735136270,熊出没·狂野大陆,2021,岚,4,陪孩子看的 准备到影院好好睡一觉 结果被剧情惊到 儿童版头号玩家 已经超越熊出没的角色框架 国产动画竟可以如此牛逼,2021-02-12 16:05:13,326
3023065560,熊出没·狂野大陆,2021,Hi Friday,3,21年春节档唯一没去电影就院看的电影，最后补上看了感觉还行，设定也算有点意思哈哈。光头强的电影越拍越好了的感觉。,2021-09-01 23:53:38,0
2746927824,熊出没·狂野大陆,2021,Abracadabrante,3,突然蹿出凑齐春节档的可怕念头就看了……不过感觉让小朋友们看这种四平八稳的年货动画也比看隔壁的缝合怪强。,2021-02-16 20:53:59,3
2120922710,熊出没·狂野大陆,2021,狮子不露脸,5,点映已看，过年三刷预备。宝宝至爱。,2021-02-22 14:47:40,0
2131202555,熊出没·狂野大陆,2021,AZWayne,2,在《西部世界》x《头号玩家》里体验一段《侏罗纪公园》的大逃杀，参加一场魁地奇决胜的火焰杯，然后重温《生化危机》里人工智能的反叛和博士与女儿的温情。好吧，就像最后说的，小朋友们开开心心必须的。,2021-03-16 22:23:58,9
2734806730,熊出没·狂野大陆,2021,冠猜霸,4,过年传统项目，看 熊出没！每次看都感叹，光头强在资本的加持下，从当初只会砍树的傻小子，进化成了会发明勇敢有正义感的青年！故事也是夹杂了疯狂动物城、侏罗纪公园、哈利波特、机械公敌、升级等著名桥段。只要好看，没啥可耻的，迪士尼已经把电影行业未来十年商业化路线都淌好了，照着做就是了。先把这套玩遛了，再去创新！,2021-02-12 12:11:11,313
2833922366,熊出没·狂野大陆,2021,小米=qdmimi,3,熊出没拜年电影宇宙这个质量……可真是不低啊……,2021-04-10 14:39:33,0
2734745706,熊出没·狂野大陆,2021,鼋鸣鳖至/来去无踪@我叫刘亚玲,4,算是非常不错了，居然看哭了……,2021-02-12 11:11:08,234
2733271798,熊出没·狂野大陆,2021,-调皮鬼-,4,看完《熊出没·狂野大陆》后，我对“光头强”乃至《熊出没》系列有了一个极大的改观。,2021-02-10 22:06:40,152
3140970414,熊出没·狂野大陆,2021,团小纸,3,一直以为这系列很低幼，现在看来也是挺成熟的，财富密码或许就是：大人孩子都可以看。,2021-12-17 09:35:14,2
2847031130,熊出没·狂野大陆,2021,我是小狗,3,3.5。有很多动画的影子，但还是熊出没。超级变身的动物太丑了。 目前看来学迪斯尼动画学得最成功的，王微安在。,2021-04-20 18:05:47,3
2460526774,熊出没·狂野大陆,2021,伪文青晶晶,4,疫情之前带小朋友看的点映，小孩很喜欢看，不知道暑期档会不会上映,2020-07-20 09:37:32,201
2732706473,熊出没·狂野大陆,2021,吃饱饱,4,就很好看，剧情也好，没有平常动画片里的无厘头剧情,2021-02-10 15:21:58,178
2831841170,熊出没·狂野大陆,2021,Panda的影音,2,不喜欢《熊出没》的我一如既往地观看其大电影。之前的《变形记》和《原始时代》已经逐渐让我觉得比较原创了，没想到这部《狂野大陆》又回归与《夺宝熊兵》《雪岭熊风》《熊心归来》《奇幻空间》类似有借鉴/模仿其他电影的嫌疑了：去狂野大陆的段落未免也太《疯狂动物城》了吧？抓球赢比分是变了花样的《哈利·波特》魁地奇？人工智能霍普是根据《机器人总动员》自动驾驶AUTO设计的吗？……事实究竟如何？主创们自己心知肚明了。,2021-04-08 21:18:34,11
2742876641,熊出没·狂野大陆,2021,野原美伢,4,熊出没可能是整个档期中最让团队气定神闲的一部。做好手艺活，心无杂念的用力精准就可以坐拥垂直受众蓝海，站着挣钱不需要讨好卖惨情感营销，清清爽爽把硬广铺到位就可以坐收红利，口碑可控不屑于豆瓣刷分个个小孩看了这场等明年，隔壁N个组留下了羡慕的热lui。,2021-02-15 21:29:58,7
2811417284,熊出没·狂野大陆,2021,huyouyou,4,顺顺很开心就看完了，她还能看，说明她有孩子气，电影也还行。#20210327,2021-03-27 08:54:47,0
4186541777,熊出没·狂野大陆,2021,南宫非攻,4,看到目前为止算是最好的一部熊出没电影了，前半段的动物竞技欢乐的同时还很流畅；后半段阴谋暴露的毫不突兀，拯救的同时也很温暖，即便用了AI反骨这个老梗也没有让人感觉无趣，整体观感着实不错，不知评分如此低的理由，反正在我这能够上一个四星。,2024-05-12 16:06:45,1
2761166325,熊出没·狂野大陆,2021,Quester,3,抄袭明显，植入生硬~小孩的钱+各种情怀≈真的好骗,2021-02-22 20:11:56,5
3192109947,熊出没·狂野大陆,2021,牛奶很忙,3,头号玩家之动物总动员,2022-01-15 11:05:57,1
2740825691,熊出没·狂野大陆,2021,云影听雪,4,春节陪娃看的第一部电影，出乎意料的好看！这集里光头强的形象似乎发生了些变化，刚进入“狂野大陆”时的场景也太疯狂动物城了吧~其实已经与熊出没没啥关联了，整个就是全新的故事架构，科技感非常强，好想体验一下哈哈~最后收尾时竟然忍不住泪目，看着乐天与女儿乐乐告别，太揪心了，虽然娃毫无反应……爸爸说，父女情深啊现在动画片都喜欢拍父女了，我内心os:大概就是因为爸爸陪娃时间太少了才要编故事去打动人~,2021-02-14 23:53:33,15
3014785809,熊出没·狂野大陆,2021,jj73浅之,3,倍速手机在线,2021-08-26 12:26:51,0
2734959529,熊出没·狂野大陆,2021,乐然,4,狂野大陆的创意很赞，抢球哈利波特的桥段，机器人是瓦力的桥段,2021-02-12 14:06:47,12
2031452978,熊出没·狂野大陆,2021,ふじわら ちか,2,虽然是无法忍受的抄袭，但是还是必须要承认电影是有可取之处的，简单来说就是把一些经典电影的精华融合到一部电影中，对付小孩子绝对有一套，可抄袭还是无法忍受,2021-02-26 17:24:23,3
3870729543,熊出没·狂野大陆,2021,oranges,2,熊出没之头号玩家,2023-07-29 15:52:15,0
2734789293,熊出没·狂野大陆,2021,祖贤姐姐,0,僵尸片，literally僵尸片，没想到吧？,2021-02-14 16:56:55,1
2554518441,熊出没·狂野大陆,2021,青玉菱茭,5,脑洞可以，借鉴得不错，曲子也好听。另外，编剧可能是看哈利波特和科幻电影长大的，他当然可能要借鉴，就不存在抄袭的问题了。,2020-10-05 13:25:13,18
2735388763,熊出没·狂野大陆,2021,梦幻の水晶,5,第一次看熊出没系列，这部影片在传统的动画片基础上提升了深度。光头强在利益面前的个人抉择充满了正能量，对孩子起到了很不错的正面教育意义，同时还引发了人们对于科技快速发展的利与弊进行思考。 3D动效也做得非常真实，孩子们都看得非常兴奋，这绝对是每年春节档必看的电影！,2021-02-12 18:19:14,36
