评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3300690476,熊出没·重返地球,2022,Panda的影音,3,好吧，虽然个人并不喜欢《熊出没》，但每年的电影版都有观看，《重返地球》给我的观感算是相对还可以的一部。虽然有超级英雄+环太平洋+…的感觉，但整体感觉是像《原始时代》《变形计》一样比较原创，而非如《夺宝熊兵》《雪岭熊风》《熊心归来》《奇幻空间》《狂野大陆》有借鉴/模仿其他电影的嫌疑。,2022-04-03 22:47:02,5
3222506793,熊出没·重返地球,2022,03Sanders,2,子供向和剧作的简单不是主要问题，缝合的无节制才是最致命的缺陷，环太平洋缝合了主题曲和几处模型，简直是把00-20s的科幻片做了一个整合式内容+奇观化处理，这种的偷懒还不如玩一点老套传统文化实在,2022-02-04 22:43:19,66
3217782928,熊出没·重返地球,2022,王写写,2,环太平洋。现在所有东西都在超级英雄化,2022-02-02 14:31:02,57
3221685247,熊出没·重返地球,2022,种田小懒包。,0,拒绝打分（因为豆瓣没负分） / 坐第一排看的我几次都要睡着睡过去了！,2022-02-04 14:51:06,23
3522312136,熊出没·重返地球,2022,精神病人,3,有进步,2022-11-18 22:10:09,2
3111148990,熊出没·重返地球,2022,kakakarl,3,之前的剧场版为了和TV版保持一致性，给熊身上的毛发没有做得那么细致，但是这一集的熊二简直有点毛绒绒的感觉。科幻场景，很多要是不出现熊，几乎看不出来是个儿童动画片，熊出没的脑洞和技术都还是很不错的。猫也很可爱，可以有周边～,2022-02-12 18:07:00,7
3216469977,熊出没·重返地球,2022,YUKIO,2,没有创造力就别做电影吧,2022-02-01 20:16:51,31
3224451931,熊出没·重返地球,2022,o.o,4,被迫去看熊出没大电影结果被震碎三观！对不起🧎‍♀️是我之前格局太小了！我以后都不敢瞧不起熊出没了！,2022-02-05 22:31:59,66
3363478164,熊出没·重返地球,2022,荒林,3,2.5,2022-05-22 19:01:07,3
3303583486,熊出没·重返地球,2022,醉梦·聊生,3,熊出没能走到今天，说明它塑造的几个角色是成功的，剧场版一直在吸取，把时下最热的网进去，莱尔特族重回地球去南极寻根，说不定跟氪星人有关，六耳猫咪跟六耳猕猴可能还是亲戚，外形却像刺猬索尼克，机甲大战，月球漫步，梦露的裙子，牛魔王夫妇。,2022-04-05 20:50:41,3
3215878161,熊出没·重返地球,2022,﹏,2,还好小孩最后一段也不想看了不需要继续陪他熬了，看得头痛，完全不懂儿童动画搞成这样的意义在哪。,2022-02-01 14:46:36,57
3249976744,熊出没·重返地球,2022,西北偏北,3,从《原始时代》到《狂野大陆》再到《重返地球》，题材的广泛倒是熊出没动画电影成熟的标志，但是离开狗熊岭太远后，少了那种纯粹的童真。这部还是比《狂野大陆》好些，主角完全重回三人组，大马猴与二狗终于再就业，如果最后的决战不在南极而是在狗熊岭的地下就更好了。,2022-02-23 00:56:46,5
3543705085,熊出没·重返地球,2022,喜悦之地,2,一年一度熊界春晚。本来想打三星的，因为片尾那个生硬的广告，减一星，做动画电影不能这么无耻,2022-10-25 14:34:41,6
3218124934,熊出没·重返地球,2022,bobo,1,困得要死还不能睡，电影，正如这个一塌糊涂的新年…,2022-02-02 17:56:29,19
3217305233,熊出没·重返地球,2022,何其幸运,1,没有初心了,2022-02-02 02:53:55,19
3661248814,熊出没·重返地球,2022,枯藤和老虎,4,3.5正经拍的不错啊，人家那好多亿的票房真不是白来的。,2023-01-24 14:42:27,1
3299678480,熊出没·重返地球,2022,等一个人,3,融梗融的太多，不过作为国产动画，画面不错，加一星鼓励,2022-04-03 08:41:37,3
3218319070,熊出没·重返地球,2022,千兵卫,2,现在的儿童看的电影，都是靠着大人电影中经常习以为常的打斗战斗大制作来支撑的么？故事情节和我们儿时看的狮子王，玩具总动员相比差太多了……,2022-02-02 19:46:30,23
