评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3215581587,狙击手,2022,豆瓣路人己,4,张艺谋太可怕了，到了这个年纪，保持这样的创作力，还能一直去繁从简，还能保持自己的态度。,2022-02-01 10:23:21,9991
3216159397,狙击手,2022,雨吁,4,影片本身水准可以，想去电影院的完全可以看看，值回票价完全没问题。不过还是要说一下，有些人一口一个“把美国人当弱智”这种言论的，可以自个查查张桃芳的事迹，自己的主页拿《现代启示录》当十佳却容不下一部真人真事改编的战争片，真是搞笑到家了。,2022-02-01 17:40:43,8107
3209770249,狙击手,2022,James,3,娄烨离不开雨我知道 国师现在咋也离不开雪了,2022-02-01 10:13:26,4689
3215582010,狙击手,2022,K!ki,3,全是子弹时间，不知道的以为我在看赤井秀一,2022-02-01 10:23:47,3843
3221728723,狙击手,2022,blahblah,4,起码把美军当成真正的人来写，把朝鲜的寓意化作孩童的善意，就已经胜过其他了,2022-02-04 15:22:52,4965
3225136182,狙击手,2022,king,3,孩子糖，笔画太多了,2022-02-06 09:52:16,1835
3215717209,狙击手,2022,亦琤,4,《狙击手》看完，最大的感受就是克制。克制住了战争题材的宏大叙事结构，克制住了多线群像的野心，克制住了煽情的冲动。转而将视线聚焦于一场狙击战，去繁从简，干净利落。没有刻意贬低和矮化对手，战争是没有选择，但尊敬可以是互相的。虽然有一些镜头自己不是很喜欢（比如采访结束突然转向张译那个镜头的速度过快、子弹特效过多且失真等等），但瑕不掩瑜。克制之间情绪感染力极强，靠一个眼神、对周遭的描述带出的情感，这样的视听逻辑非常喜欢。,2022-02-01 12:41:47,4269
3215679820,狙击手,2022,电影院芯宝,5,建议所有执着于拍3个小时的导演们都学学怎么在96分钟里讲完这么完整的故事的 人物群像拍的好好 被惊艳到了,2022-02-01 12:09:04,8417
3216512248,狙击手,2022,懒,4,如果子弹那个特效少一点就好了，我方拿人头每次都出现那个特效有一点点尴尬,2022-02-01 20:36:28,3099
3223737636,狙击手,2022,Jude,4,看来军事法庭对美国大兵阴影太大了。。。,2022-02-05 16:48:36,2298
3215576372,狙击手,2022,扎小丸子⁸.,4,——两个狙击手合而为一，五班精神永不死去。集体由个人组成，个人因集体而长存。当主旋律片终于学会调整焦距，讲好一个故事，收敛多线叙事、囊括群像的野心，不走廉价煽情的捷径，大故事里真实的“人”的形象才终于能放大、立稳。,2022-02-01 10:16:48,3022
3215639543,狙击手,2022,daangel,5,这样小视角多好，不用喊口号，不用打鸡血。伟大的牺牲不会矫情。,2022-02-01 11:32:16,5159
3215612652,狙击手,2022,小A,4,短小精悍的电影，舞台剧风格的设定，受限空间回合制的故事，若干个短剧用亮亮的身份这个麦高芬串起来，用近景正反打撑住一部电影时长的紧张感，难度较高。背景同样是冰天雪地，肃杀感和节奏把控的难度比《悬崖之上》要高得多。最好的部分是剪辑，节奏把控提升了整体观感。中方故事重点是班长的领袖气质传承和战友情，美方个性表达也没太丑化。,2022-02-01 11:01:16,2858
