评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
4089171276,第二十条,2024,逃离纽曼斯,3,吕玲玲何必要把期望寄托、权利让渡给一个男人，明明那把刀是自己一直坚持要找的，正当防卫的案件是自己一直努力去推动的，我觉得吕玲玲更适合当主角,2024-02-13 00:28:48,16086
4088229895,第二十条,2024,扑热息痛,4,窝囊废属实是雷佳音的统治区,2024-02-12 10:42:47,26687
4085538714,第二十条,2024,一缕云,2,家长里短的戏份太多了 煽情更是尬得不行 还长达两个多小时 罪加一等,2024-02-10 11:30:11,11022
4085537171,第二十条,2024,高阳酒徒,4,我就说昨天小品沈腾为啥突然叫李逵了，原来是马丽电影里的初恋叫李逵。案子挺好的，立意也很好，但为啥前一个小时非得给我们看雷佳音马丽夫妻吵架。,2024-02-10 11:27:49,15072
4085538448,第二十条,2024,错认水,3,马丽和雷佳音吵得我脑子嗡嗡的,2024-02-10 11:29:46,16863
4085540495,第二十条,2024,云吃吃,3,也就那样。真的再也不想看强奸镜头了,2024-02-10 11:32:37,15405
4086363424,第二十条,2024,宋啊V,4,过程都很顺畅，但是关于初恋吵架的戏份是不是有点太啰嗦了,2024-02-10 22:31:59,11682
4085541481,第二十条,2024,狗子酱,5,赵丽颖眼神戏特别好，手语动作再配上含泪表情真的很让人共情,2024-02-10 11:33:56,10599
4085541157,第二十条,2024,居无间,4,张艺谋出手还是稳，现实性和喜剧性都拍出来了，让人惊喜。年逾70岁的他依然在探索叙事形式，本片是多线交织，树立群像，然后共同指向“第二十条”的正当防卫议题。影片最巧妙也最可贵之处是它的视角，以小写大。通过底层小人物身上百折千回的遭遇，去探讨生活中重大的法律困境，去表彰见义勇为的朴素壮举，去宣扬公平公正的法律精神。其最大优势就是接地气，以老百姓可触可感的方式，完成生动科普，可谓润物细无声。而这本身就是宝贵的人文关怀。在本片中，演员们基本都贡献了精彩的表演，赵丽颖的聋哑母亲与杨皓宇的英雄司机尤其出色。,2024-02-10 11:33:30,9302
4087161936,第二十条,2024,前璡,4,我对电影唯一的投诉，是结局要靠雷佳音在一个听证会上的慷慨发言来明说电影主旨，这场面显然是很老套的电影手法，很笨拙的说故事技巧。但回心一想，若换上我来当导演，不用这方法的话，我又能如何将潜在有冲突的法律条文、复杂纠缠的人际关系，与各个角色心目中所谓的公平正义都理出个黑白分明呢？ 观映后老婆问我这电影究竟想讲些什么。我一脸正经地跟她解释，说这部电影反映由文字语言书写出来的法律条文，是无法保证可以给复杂的人生处境判断对错的。电影中雷佳音说凡事要看情况，不能一概已论，意思就是说世上有许多情况根本就是有理说不清，是文字语言无法一锤定音的。 老婆想了想后再问我：“戏中那个赵丽颖的老公虽然给放了出来，但他们的确是欠人家钱啊，之后他们能何去还钱？” 这问题我就没想过了，人生果然很复杂。,2024-02-11 15:31:42,3878
4085552550,第二十条,2024,soulll,3,导演编剧可以说是非常避重就轻了，通过大篇幅描写赵丽颖一家的“苦”，以及阿如那一派的“恶”，成功在一开始就让观众预设了立场，而绕开了“程序正义和实体正义”这一真正的矛盾，绕开了本来错综复杂的真相，通过不断地煽“情”，也绕开了法律中本来最为重要的“理”。但作为一部商业喜剧片还是合格的。,2024-02-10 11:48:16,9085
4055422076,第二十条,2024,豆包,5,赵姐我哭死😭,2024-02-10 11:29:41,8619
3954990651,第二十条,2024,钮钴禄葡萄,4,我觉得马丽角色太难了像个工具人 相比于其他两个女性角色 她的角色发挥空间真小 这么单薄的人设但她演的饱满可信很幽默 又更爱了🫰,2024-02-11 22:52:01,3569
3927864497,第二十条,2024,不是今天的今天,5,真的很牛逼！！！故事线很流畅！！！涉及到法律部分也经得起推敲！！！而且真的要大喊一声韩检牛逼！！！值得全家一起看！,2024-02-10 11:50:37,8348
4085749503,第二十条,2024,HIIIID,1,村民恶霸破题的关键居然是靠一个哑巴的自杀,2024-02-10 15:20:42,6382
4098426322,第二十条,2024,PaTr1cK-STaR,4,其实赵丽颖跳楼后电影就结束了，剩下的是宣传片，总结一下就是要相信青天大老爷。 自然状态下，公平并不存在。为了追求这个虚无缥缈的崇高客体，有人寄托于因果报应，有人寄托于明君贤相，有人寄托于社会契约。但没有满天神佛，没有内圣外王。而制度法律是统治阶级共同意志的表现，现实不是地上天国乌托邦，法律就成了明文规定的结构性暴力,2024-02-19 16:26:07,1805
3835717376,第二十条,2024,馆馆,4,普法不说教，何为正当防卫，何为防卫过当，尤其公交司机那段视频，借韩明之口做了切片式的讲解。印象里是国产片第一次这么鲜明地围绕见义勇为来铺设群像戏，很真实，即便你做了一件对的事，但也可能触犯法律，但如果仅仅为了维护法律的权威而无视正义和人间疾苦，那么谁还愿意打官司。,2024-02-10 11:33:43,3634
4085539806,第二十条,2024,arrcmis,4,难得用喜剧打开现实主义题材，剧本很扎实，事件的发酵让每个人物都能交织其中，甭管戏份多少，没有废角色，很难得。剧情扎根普通市民的生活，非常有代入感，不是刻意生硬地普法，而是通过日常人与人的互动来告诉观众法律的界限，好笑又无奈。综合来看，过年去看还是很有亲切感哒！,2024-02-10 11:31:42,3846
4085558187,第二十条,2024,inchangeベ如初,5,这个世界或许不属于理想主义者，但一定不能没有理想主义者🥹,2024-02-10 11:55:32,7324
4085553584,第二十条,2024,印第安战士,4,雷佳音又来了一段满江红式的慷慨激昂陈词，虽然很口号很教条但还是把我说哭了，老谋子的现实主义题材还是很见功力的，赵丽颖也很亮眼,2024-02-10 11:49:32,3410
4085559054,第二十条,2024,😢,2,郝秀萍不跳楼，这案子是破不了了,2024-02-10 11:56:36,9882
4085542734,第二十条,2024,豆友STho28uT0A,2,给我一种谁的嘴皮子更nb的感觉,2024-02-10 11:35:32,6376
4092404844,第二十条,2024,波奇酱,4,校园霸凌和堂兄坦白过于机械降神了。,2024-02-15 13:56:00,1527
4085556950,第二十条,2024,侃侃而谈,5,法，不能向不法低头！太好看了,2024-02-10 11:54:08,6845
4086084334,第二十条,2024,菲比不肥,2,我更愿意看别人路边吵架两个小时也不想坐影院听这片从头到尾吵两个多小时,2024-02-10 19:47:12,3111
4116789059,第二十条,2024,宁海,4,还不错，但是老谋子惯性，男人的成功需要女人当跳板，凭什么，高光本来就应该是吕玲玲检察官的…,2024-03-05 23:17:37,962
4085627643,第二十条,2024,旺仔秋秋糖,2,吵死了，全程吵架。最后还莫名其妙强奸戏份？？？,2024-02-10 13:14:35,3159
4090015980,第二十条,2024,江海一蓑翁,4,片尾最耐人寻味的镜头，不是雷佳音一番震撼人心的慷慨陈词，而是他讲完之后、第一个带头鼓掌的人及其身份。,2024-02-13 19:17:35,703
4085889383,第二十条,2024,大魔王,4,"科幻片,但是喜剧效果不错",2024-02-10 17:19:10,1080
4096588967,第二十条,2024,ttany_ccc,2,这部片子最喜剧的部分，就是一个对正义公平和对检察官的责任失去初心的中年男人在女性角色的帮助堆砌下，还能拥有如此英雄主义的时刻。 果然，男人真的觉得只有男人才是世界唯一的主角，吕玲玲这样正义，坚韧，充满力量与温暖的女性出现，也只是为了“唤醒”男主，成就男主,2024-02-18 08:22:26,1411
4087867897,第二十条,2024,喂你吃麦当劳🍟,3,小混混真敢打派出所所长外甥和检察官儿子啊,2024-02-11 23:54:13,7305
4085995663,第二十条,2024,月亮啊月亮🌙,2,张emo适合换个赛道 去导演春晚小品,2024-02-10 18:40:59,2149
4092721378,第二十条,2024,¥権¥,5,还是认可罗翔老师的观点，关于正当防卫我们只能代入当事人的视角，来判断防卫的正当性和充分性，而不能站在第三人称角度进行理性分析。 法律从最开始的产生都是来自于人，为了保护人的合法权益，在法律的实施和应用阶段也应该考虑人的情感，不然还要检察官和法官做什么，直接用AI和电脑判案就好了呀。,2024-02-15 18:12:11,2616
4087748503,第二十条,2024,舔肌肉狂魔,3,有些关键点就轻飘飘一笔带过了，比如查实校园暴力，撤案；再比如说跳个楼那些乡里人就都交代了……这样把前期努力工作显得一文不值，最后靠嘴炮赢得胜利。,2024-02-11 22:49:59,7423
4085537419,第二十条,2024,斯达特小朋友,3,这小品时间挺长啊，演员们的嘴比没对上牌的小尼还碎,2024-02-10 11:28:08,5081
4085644038,第二十条,2024,α™,5,说实话，马丽和雷佳音那夫妻间的相处方式不像是演的。生活里的小包袱也是一个接一个，这吵闹拌嘴简直演我爸妈的真实日常,2024-02-10 13:32:38,2614
4093260387,第二十条,2024,岳书重,4,法治小品，雷佳音马丽二人转100分钟，最后20分钟正义必胜。,2024-02-15 23:40:48,755
3999286334,第二十条,2024,鲸鱼流星,5,雷佳音目前在怂刚怂刚这一块的气质属于是第一排位,2024-02-16 23:39:17,1164
4085565080,第二十条,2024,极小的小,2,很难看，没有叙事，虚假的现实主义，全程都像在看一部加长版的小品或者电视剧，结局靠一浪高过一浪的配乐强行煽情，不过是空喊口号。,2024-02-10 12:03:42,1873
4120998489,第二十条,2024,momo,5,五星鼓励。电影的意义不光是娱乐大众，它也可以引导、教育大众。本片很多桥段和吃凉皮一样多余，但若不是这样，又如何把大家吸引过来，给大家讲枯燥又复杂的法律呢？为了把药喂进嘴，不得已加入各种调料、变着花样哄着吃，张导已经做的很好了。我们需要这样的电影。,2024-03-09 20:32:48,819
4108216112,第二十条,2024,Scarlett,3,吵架声音很大声，剧本痕迹很明显，听证会的时候看吕玲玲在下面哭得泣不成声，我在想为什么在上面的不是她呢？,2024-02-27 21:01:40,1925
4085543753,第二十条,2024,微信用户,1,所以大过年，赵丽颖营销演技，强行炫技，哭戏很尬的，看着想吐，烂剧,2024-02-10 11:36:55,4959
4086062560,第二十条,2024,朝暮雪,4,如果你是法律从业者，你可能会觉得无论如何打人、杀人就是不对，无论如何韩雨辰、张贵生把别人打伤、王永强杀人就是违法。 一帧一帧地看监控录像，客观冷静地分析什么时候是正当防卫，从什么开始是防卫过当，那是机器。 而人，遇到这种情况会做出和王永强他们相同的选择。 也许你会说：不，我很懂法，我不会做王永强他们做的事，我绝对不会动手。 那我只能说这法律太失败了，因为它让人看见猥亵、霸凌，看见妻子被强奸，还要客观冷静地思考：我怎样做才是合法的。 但是很抱歉，就像韩明说的：“动手就算互殴，谁伤得重谁有理。” 他说的是事实，照这样的法律，我们就不应该见义勇为，被打了也不能还手。遇到这种事只能自认倒霉，不还手住院，还手坐牢，必须在住院和坐牢之间选一个。 但是，法律应该让坏人的犯罪成本更高，而不是让好人的出手代价更大。,2024-02-10 19:32:22,476
4087869203,第二十条,2024,NGC1068,4,在电影里如果郝秀萍不跳楼，案子就办不下去了。可想而知现实呢……,2024-02-11 23:55:01,434
4091713543,第二十条,2024,페시,3,【2+1】1、这么爱亲自出外勤的检察官不可能不带证 2、那个楼跳下来不可能死不了 3、校园霸凌（基本）不可能查出来 4、都塑造成那样了的恶霸村民不可能被跳了个楼吓到 5、很难靠说的判成正当防卫 可以理解想要拍成带喜剧元素的严肃题材但是确实拍得一坨shit全靠演员撑着 绕开了真正核心矛盾实体正义vs程序正义的探讨 太吵了超长小品,2024-02-14 23:00:36,2091
4092348195,第二十条,2024,沙子,5,一句话：今年春节档最好的电影。,2024-02-15 13:01:22,922
