评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3933311766,红毯先生,2024,子杰小同学,4,#TIFF2023 看到的最怪一部——特别最后猪在酒店跑的时候，给人一种荒诞的可笑感，突然闯入人类的世界，以近乎悲壮的方式殉了，终结了周围的聒噪。它只是一头猪。,2023-09-16 10:33:34,1609
3973173340,红毯先生,2024,阿暖,3,这部电影的毫不真诚令我感到相当不适，一个功成名就至此的大导演还在感慨自己怀才不遇，这是何等的自恋和枯竭。,2023-10-25 22:20:28,3497
4085823981,红毯先生,2024,__Haru 。,3,很黑色幽默的片子，有些地方不禁笑出声。虽然这个世界烂透了，但是大过年的，花两小时去听日薪208w的明星抱怨人生不易还是太抽象了。,2024-02-10 16:27:04,3260
3933320639,红毯先生,2024,菠萝啤,3,与其说是刘德华自传体不如说是宁浩的牢骚小日记。这些年一直创作难产的宁浩干脆选择把内心的迷茫和外界的困境都拍了进来。由于房间里的大象，剧本没有任何涉及审查的元素。前半段复刻疯外形式：外来人员误入中国乡镇形成的一系列反差，后半段则完全进行自身困境的表达。疯外拍摄期陷入的虐狗风波，被评论模仿奉俊昊，全都被加入了这部电影。终于，一个锋芒毕露的青年导演还是陷入了所有内地导演必经的中年危机。他焦虑、迷茫、钱和地位都有了，可创作却不受控了。这部虽然一般，但是希望经过沉寂的下一部会好。,2023-09-16 10:46:30,1672
3934398777,红毯先生,2024,饮歌,3,想来想去还是给三星吧，好得也是华仔大老远跑到多伦多来做首映。真的很想说宁浩导演还是挺会跟风的，看电影的时候就觉得这电影怎么这么熟悉，看完一翻短评顿时恍然大悟，这不就是戛纳的《方形》和威尼斯的《主竞赛》么...其实电影里一开始说的那个“中药包”的梗，用来形容整部电影也挺贴切的。,2023-09-17 10:57:19,1048
4086312295,红毯先生,2024,林广非,3,大棉袄确实本土，但黑西服肯定演不好。这片子拍的吧，大棉袄看不懂，黑西服不爱看,2024-02-10 22:05:41,685
4085594440,红毯先生,2024,老袁,3,我理解这部电影想说什么，想说沟通，想说一个人即使再成功，即使身边的人都愿意听他说话，他们之间依然是无法沟通的。这个主题我接受，但变成电影就成了纯粹的中年人自怜。所谓的“表达”并不是经过深思熟虑的社会观察，而是牢骚。一个既得利益者发两个小时牢骚——这得多难看。反正我是如坐针毡。或许我对宁浩还是有期待的吧，看完很失望。以及，一部讽刺的电影，不讽刺自己，不暴露自己，本质就很虚伪。这不是讽刺，是既得利益者的撒娇。,2024-02-10 12:37:03,581
4085949159,红毯先生,2024,柠檬茶叶蛋,4,质量其实是不差的，并没有差评说的那么不堪，只是这一沉闷且黑色幽默的作品实在不适合春节档，部分港圈和电影的梗圈外人也不容易get到，若是在之前11月档期评价或许会高一些。红毯先生从头到尾都在强调“沟通”，但比起沟通我看到的更多是“自私”。刘伟驰面对前妻的质问避而不谈，在自己因为莫名其妙的原因被网暴时却在质问他人为什么不和他沟通为什么不理解他。群众和网民说刘伟驰虐马，说自己家里也是养猫的，却在猪跑出来时逃得最快唯恐自己和电脑受到伤害，又在猪摔下楼后第一时间举起手机拍摄刘伟驰的反应并质问“他有什么拍不得的”。沟通是为了解决问题，无法解决问题就只能放弃沟通。由始至终没有人想理解他人，也就没有人愿意沟通。直到结尾刘伟驰尝试踩上了平衡车，他依旧不太懂老铁和666究竟是什么，但他开始愿意去试着接受新的事物,2024-02-10 18:05:44,750
3933241209,红毯先生,2024,散步的侵略者,3,#TIFF2023 龙标英字版本世界首映。一个相当不同以往的宁浩，沉得住气也不失严肃思考，从而呈现中国式“塔尔”困境。但无论题材还是执行都高度撞车《主竞赛》，而且最后半小时明显收不住了，结尾也显得特别无力。,2023-09-16 08:49:41,406
4086387382,红毯先生,2024,BATIGOL927,5,只有刘德华和宁浩这种不缺钱的电影人，才有胆量用牺牲票房的行为艺术，来完成戏里戏外的互文，甚至可以说，票房越惨淡，电影越成功。他们在拍一种很新的“元电影”，庆幸中国电影还有希望。,2024-02-10 22:44:38,259
4087346705,红毯先生,2024,小枫,3,要么站着扑，要么躺着挣钱，宁浩这纯粹就是半蹲着啥都没干成。我愿称之为融梗大集合，光看成片很难想象这是宁浩拍出来的东西，我宁愿他还是拍以前那种屎尿屁喜剧算了，意识流象征反讽真不是谁都能拍的。评价为拍得很好，下次别拍了。,2024-02-11 18:14:14,237
3864676123,红毯先生,2024,舌在足矣,2,本片再次证明了宁浩从来没有什么自己原创的想法而最擅长做的就是对世界电影最时髦的东西“转译”进国内。当年他靠转译盖·里奇拍出《疯狂的石头》成名，而如今终于进化到了转译奥斯特伦德，拍出了山寨版《方形》。对各种所谓“圈内乱象”开炮看似大胆，但实际上片中片的那种农村现实主义题材所面临的最大阻碍却只字不提,2023-09-16 23:15:36,1937
4087738777,红毯先生,2024,今,3,宁浩:你听我解释，拍成这样都是投资方指挥的。我已经打过他们了,2024-02-11 22:45:06,218
3934331844,红毯先生,2024,小玄儿,2,TIFF 23 Day10 第21部 自嘲可以，西方人也有自嘲电影。但是两位主创手握这么大资源，这么多资金，就拍一个纯自嘲喜剧，运镜技术和喜剧效果都是一流，可惜故事一塌糊涂，导演已经江郎才尽到满足于消费自己了吗。看似对中国电影从资方、导演、演员，公关宣传，到网民网暴的一片乱象都有所指涉，但是核心问题在哪？电影人真的不知道么？如果真不知道那就不用拍了，不要浪费观众的金钱和时间了！,2023-09-17 09:26:34,867
4085626637,红毯先生,2024,雁城,4,还是觉得如果结束在停车场更好。一盏盏车灯，铺出一条血路，那不也是一条红毯。,2024-02-10 13:13:29,289
4085883825,红毯先生,2024,王狗蛋,3,想表达的东西太多，表现手法又不够亲民，讽刺不到位，左右不逢源,2024-02-10 17:14:50,193
3965843123,红毯先生,2024,大奇特(Grinch),0,没想到是这样的风格，和宁浩之前的作品很不一样，能看出受欧洲片影响蛮大，尤其是《方形》或早期雅克.塔蒂喜剧（如《玩乐时光》）的那种讽刺，论及明星身份的分裂，人与规则秩序的失衡。宁浩在做极简主义的留白，但可能里面有些其他针砭时弊的元素还是比较多，会在某些时刻喧宾夺主。久违的华语讽刺喜剧，这时代讽刺容易得罪人，但放在娱乐圈似乎又很合适，满足一些观众对明星的窥私欲。,2023-10-18 07:45:20,126
4078258935,红毯先生,2024,雾都一枝花儿,3,导演创作意图和宣传营销完全错位，与其说是一部电影，不如说是一场大型行为艺术。,2024-02-10 13:20:20,143
4085745350,红毯先生,2024,花蜜哈,2,导演可以给我道歉吗。让我在初一熬了这么难受的两小时,2024-02-10 15:16:27,684
4088094608,红毯先生,2024,自娱自乐早餐店,5,我心目中4星，但他绝不是6.9分电影。大局观5星。,2024-02-12 04:33:19,140
3933237167,红毯先生,2024,模仿罗克,5,宁浩！搞到刘德华这泼天富贵you deserve！辛辣中肯荒诞 但是刘德华的气质又中和了宁浩一直以来过于over的表演风格。舆论操盘 不知真相瞬间翻转 隐蔽的私生活 摄影机的敏感 动物爱好者的狂欢 以及脑残资方 状况百出的片场。几乎捕捉了娱乐圈的大部分敏感话题 但看到刘伟驰最后想要去融于这个早已变迁的“娱乐行业” 但是又惶然还是几经落泪。商业片的正确打开方式，还好刘德华先生还活跃在影坛被我们爱戴着。,2023-09-16 08:40:13,389
3933495723,红毯先生,2024,知否,4,宁浩的黑色幽默一如既往的不让人失望，把握角色的深层次人物心理，从人物作为主观视角去讲述故事本身。不过和以往不同的是，主角不再聚焦于小人物，从普通小市民转变为208，阶级层次的转变，讽刺的意味依然很强。,2023-09-16 14:35:04,621
