评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3054496522,蛟龙行动,2025,球状闪电,4,比起徒有其表的《封神2》，《蛟龙行动》更适合成为2025年国产重工业大片的代表。 填补了国内潜艇战争片的空白，强于前作那个严重过誉的《红海行动》，持平《湄公河行动》，超越了欧美同类型的《冰海陷落》《猎杀红色十月》。 缺点也很明显，国产片惯有尬煽情，吹口琴、唱军歌、吃糖果，这三个地方让人绷不住。,2025-01-29 14:31:16,1637
4412066293,蛟龙行动,2025,侃侃而谈,4,老潜艇兵的孩子来致敬中国的潜艇兵，你们勇敢，无畏，在海洋深处守卫着我们的安全,2025-01-29 17:58:55,732
4426687735,蛟龙行动,2025,夜礼服假面,2,可以标记了，那就帮助更多人避雷吧。剧情逻辑稀烂，缺乏海军战士精神风骨的刻画，决策逻辑出现巨大问题，我们不是个人英雄主义的国家，更不是所谓民主决策的军队。动作戏也乱，运镜很晕。总的来说，确实拉了坨大的，看在蛟龙小队演员拍得这么艰苦的份上，给两颗星吧，但真的没有必要去看。,2025-01-29 09:00:32,1986
4430273378,蛟龙行动,2025,阿菲西林,3,全程只闻佟莉名不见佟莉人，除了最后牺牲才给到正面镜头，活该你博纳亏本…核潜艇海底作战戏还是挺精彩的。（于适怎么春节档2部都演的二百五…,2025-01-31 18:04:22,1064
4426628633,蛟龙行动,2025,朝暮雪,2,为了让韩骁相信老孟是误杀老韩，竟然让韩骁误伤孟闯，这是什么脑回路？ 那如果韩骁没有出现幻觉，没有捅孟闯一刀，他是不是永远不会原谅老孟？ 关键是韩骁捅了孟闯一刀也不能证明老孟是误杀老韩，这两件事根本没有因果关系，更像是你杀了我爸，我也捅了你儿子，我们扯平了。 潜艇遭受的最大损失不是源于敌军攻击，而是潜艇长的不专业。 反派：我都还没攻打你们，你们是自己撞的山，这锅我不背。 别人劝他不要去救人，他不听，导致伤亡惨重，外国人的命是命，自己人的命就不是命了？ 他事后还有心情吹口琴，导演觉得很燃？我觉得很尬。 把装备吹得那么先进，连诱饵都识别不了，还要靠人工用耳朵听出来，要是没有有超级听力的超级英雄，那全员都会因为这一荒谬的缺陷而团灭，类似于科幻片里拍械斗。 机器狗战斗力很强，但就是打不中主角，肉搏拍得更难看。,2025-01-29 02:10:21,996
4426845210,蛟龙行动,2025,叮叮咚咚铛,3,没想到曹泓浪成为最大亮点，多的两星给他，可惜只是客串,2025-01-29 12:53:21,1999
4427308988,蛟龙行动,2025,KikiAyano,3,一堆老爷们还不如几只机械狗出彩。机械狗狗那段加上配乐压迫感直接拉满。张涵予的设定有多厉害，新潜艇莫名被打成那样就有多可笑。老一代舰长参谋，新一代黄轩于适都在强行麦羁绊，真大可不必，不过黄轩的文戏在于适的对比下都好看了起来。一星机械狗，一星黄轩，一星蒋璐霞。,2025-01-29 18:53:34,341
4424968063,蛟龙行动,2025,玉玉的注水阿龙,3,存在明显亮点和缺点的影片。博纳的影片都有一个毛病就是配乐过满，本片也是如此。剧本下了心思设计了多线叙事，但是拍摄时没有给几方势力设计区分度，导致了观众脸盲。潜艇对抗在国内属于新鲜题材，但是林超贤并没有拍出什么新鲜感，只能借助剪辑和配乐制造紧张感，但用了次数太多也就乏了。值得一提的是本片的动作戏观感还是不错的，这部分总归还是一部比较贴近现实的军事题材影片。但是机械狗和拆核弹我就有点接受不能了，并且反派的动机实在是意义不明，军队造反图啥？是在暗指那位企图挑起中美大战的日裔舰长吗？总之是部无功无过的片子。 哦对了，张涵予和外国演员有对手戏吗？还搞那种营销？真的唐。,2025-01-27 18:16:42,174
4429979048,蛟龙行动,2025,AZWayne,3,“四肢发达、头脑简单”精准的概括了这部电影。林超贤近乎卖弄的秀肌肉——国内顶尖的硬派动作戏和世界领先的深海战争场面，但羸弱的人物和剧情极大的拖累了观影体验，即便是最忠实的军迷。,2025-01-31 14:14:14,140
4424931164,蛟龙行动,2025,酱桑,2,【3】AI电影的终极形态。输入关键词“科技与狠活”，立刻给你震撼的大画面和眼花缭乱的动作特效，宏大的景观造物。AI之精准，在于电影中每个人物群像都能以一种模板的，客套的表演方式完美衔接，没有一丝情感多余。电影逻辑更是无懈可击：敌人的失败是因为叛乱和思想的狭隘邪恶，我们则是团结才能战胜一切，守卫和平。从战争片上讲，别说比《红海行动》了，就船舰空间运动镜头以及导演调度，怕是连《异形：夺命舰》都学不过。本片以强科幻片为基底，却说是纯属虚构的现实教育剧情电影，更是一种幽默。多半星给我国科幻片，任重而道远。,2025-01-27 14:50:06,996
4426868425,蛟龙行动,2025,壹安²,4,这个春节档谁都能好好过，机械狗必须死。,2025-01-29 13:14:38,574
4426744983,蛟龙行动,2025,我要瘦,4,为了张涵予给王俊凯的那块巧克力多加一星！,2025-01-29 11:30:35,1763
4431487822,蛟龙行动,2025,会6馍馍,3,看完说不出来哪里好，也说不出来哪里不好，就是很一般。居然让蒋璐霞的角色牺牲了，绝了,2025-02-01 14:05:38,68
4426753177,蛟龙行动,2025,翻滚吧！蛋堡,2,不知道片方哪来的自信去开点映，一通狂轰滥炸，没有故事没有人物弧光，连空间调度都差的要命。博纳啥时候能意识到大家早就对主旋律审美疲劳了，这回血赔不亏。,2025-01-29 11:38:41,879
4426961880,蛟龙行动,2025,周眠,4,啊原来自己看了旗旗号巡洋舰以来几乎所有海战电影。大海无形，偏偏海战最具一国特质。要看当今时代硬核海战，这一部挺合适。鱼雷一发入魂，生死一线震撼，过瘾。战术推演足够，部分爆炸戏改成武戏文作也许会更好。,2025-01-29 14:39:08,879
4629905355,蛟龙行动,2025,flyinsky,3,今天带着好奇去看了下特别版，在剧烈的打斗和爆炸声中，居然睡着了。电影的品质和野心都很好，但错就错在方向不对，导致你越努力越没用。港片节奏加上好莱坞制作规模，只能算做及格水平。但依然很鼓励多拍，不拍怎么知道怎么拍好呢？所以最大的问题还是类型片电影太少了，导演也好，投资方，制片人千万不要因为这一部的失败就停滞不前，要多拍才能拍出好品质，拍出观众爱看的好电影。,2025-08-31 15:19:13,16
4426128662,蛟龙行动,2025,阿朽,1,1.26看完点映：等着撤档。剧情没有，也不像红海那么从头到尾就是突突突，给资本（主要是王俊凯和于适两位）很多垃圾时间，理解现在所谓的粉圈和番位之争了，影迷被迫离场。演员整体都很假，比如给鱼雷倒计时 ，一帮人表情感觉是在给火锅里的丸子熟没熟倒计时。为我接下来的各种春节档免费观影捏把汗。,2025-01-28 09:43:19,2852
4730228984,蛟龙行动,2025,空山,3,是不是中国电影诞生以来亏损最严重的电影？赔得于老板到年底了还在哭。急赤白脸吃了十来年红饭，眼见他起高楼宴宾客，眼见他楼塌了要跟华谊肩并肩，把北上导演当耗材，金像奖不去了，港片那条腿也闲瘸了，结果一看待映片单，红心未死犹酣战。,2025-12-30 14:29:49,3
4425482659,蛟龙行动,2025,鬈毛,1,唱首歌人都复活整个潜艇一下全修好了 逆天科幻片（还有请问主旋律形象就是把洋人连腰斩断吗❓）,2025-01-27 15:36:41,1857
4687360367,蛟龙行动,2025,夏季的天空,3,特战小队里面加入个爱恨情仇的戏，感觉有些尴尬。对于高级别的特战人员，有关部门不做背调的吗？港式江湖恩仇戏适不适合加入其中？敌对势力的将军带着一帮子人造反，动机很是玄幻。不同国家的保密级攻击核潜艇的接驳口是通用尺码？鱼雷爆炸的冲击波将我方顶级攻击核潜艇隔空入魂？剧情推进和气氛烘托到位了，真的不需要硬核煽情。后半段突击敌方基地的动作戏打得很精彩，但剪辑稍显杂乱。这一届的NPC统统都是垃圾，铜锣湾义气红棍联队登顶C位。“特别版”的整体感觉要好于彼时的“蓝精灵封神榜”与“我来自北宋的郭小哥”。 好战必亡，忘战必危。战争就是战争，没有人会和弱者谈判。解放军就是共和国的脊梁。,2025-11-10 22:15:33,8
4425556916,蛟龙行动,2025,有心打扰,2,开篇高燃，险象环生，高潮迭起，华彩终章。看得热血沸腾，看得热泪盈眶。中国海军，真牛，起立，敬礼！因为有他们，国人又多了一份安全感。出门在外，再也不用害怕被拐卖！,2025-01-27 17:20:18,226
3720731613,蛟龙行动,2025,泽泽泽,4,如果把前面1个小时的戏份缩短到15分钟，这电影在我心中能4星，现在给4星是因为排片和票房罪不至此。,2025-01-31 20:03:22,65
4426783178,蛟龙行动,2025,利奥波德·菲兹,5,谁能料到，王俊凯的戏份竟成了最大惊喜！他跟张涵予的对手戏，简直演“我和我领导”，既有紧张的对峙，又有微妙的默契。从声呐兵视角呈现潜艇战，是个非常妙的角度，战术细节一下子清晰明了，声呐探测时的紧张氛围，或是鱼雷发射的惊险瞬间都让你完全如临战场，代入声呐兵这个角色，什么是炮弹时间？这就是炮弹时间！,2025-01-29 12:01:52,917
4427826100,蛟龙行动,2025,亵渎电影,2,文戏依旧是导演的软肋，武戏这次发生在潜艇内部，属于密闭空间戏，也暴露出导演的能力问题，调度也跟文戏一样一塌糊涂。在这种宏大叙事的战狼片中，导演有意弱化了人物塑造，人物只是宏大叙事主题中的螺丝钉，最后的观感是一群战狼符号对打一群外国脸的纸老虎符号。其实削弱主角的人物塑造，对导演来说，是一种可以扬长避短的做法，避开他的软肋，但人物塑造被削弱之后，带来的问题是观众很难代入真实情感，加上剧情是军事科普课程，中段还拍外国人儿戏般的互相叛变，就显得观感很拖沓。好在最后王俊凯和于适都有高光时刻，观感勉强往上提了提，但这片子的角色性别设定让人很不舒服，唯一的女性角色写的太气人了。,2025-01-29 23:38:16,164
4427096856,蛟龙行动,2025,20个小明≯,2,比预期好一点，勉强能看。主打一手置之死地而后生，问题很明显，内容铺得过满，导致结构分配失衡，后半信息太多，展开过于仓促；有几处转场有些生硬，各种塑料架空名称很影响带入感；而且没有矛盾其实可以不整，硬凹反目兄弟大和解真的有必要吗？有升华桥段完全没问题，但拜托能不能处理得高级一点，瞬间受到感召马上翻盘+怒吼口号表决心实在是太直给了…这么多年了还是陈年老套路真的麻了，博纳搞成现在这幅鬼样子也是自食其果…,2025-01-29 16:28:49,147
4385924332,蛟龙行动,2025,匡轶歌,5,事先刷到些唱衰声，谨慎把心凉掉半截，期望清零入场，却收获了不容喘息的两小时。十亿的配置，五毛的宣发，阴间的排片、憋屈的开局…怎料惊喜迭出！叹服于架空战事引入的近未来元素、酷炫的军械装备、酣畅打斗、爆炸释放的肾上腺素在大脑里烟花四溅，核潜艇这种人类巨物在表面平静、危机四伏的深海掀起万钧雷霆…更心折于战争的极限环境与条件下，生死线上，高科技对阵、精密打击的间隙里，人作为最大变量所能突破的最高值：天赋型声呐兵选手王俊凯，心要热但头要冷的队长黄轩，肢体潜能拉到满级的两面针于刺，牺牲前一刻难忘那一口甜的蒋璐霞…活生生的角色难以尽数，个个皆有催泪的光高时刻；台词精炼，句句有效，弥补了红海稍嫌薄弱的文戏。这哪是什么爱国主义大片！若非要说上了价值，那就是：抗击恐怖主义霸权，为了世界和平，一万年太久只争朝夕。,2025-01-29 15:49:51,86
4424804991,蛟龙行动,2025,张咏轩Wayne®,1,被硬控上军事课，前一个多小时，没看到作为影视商业的硬核，全是渣特效的伪记录展示和离观众十万八千里的技术行话堆叠，一边是预备战打响前的冗长准备，一边是狗血阴谋论以及角色之间纠葛的故事俗套，用极限求生的真人秀综艺大面积插主旋律宣传广告，全程张牙舞爪的配乐没停歇，吵得人脑子疼，各种镜头空间游移，刻意炫技到离谱，中后段不意外又要玩惨烈视觉，炸点血浆，套了个故事开始没苦硬吃无病呻吟，搞到最后又回归密闭空间的枪战对峙主场，拍的单薄又重复，虚张声势的棚拍对接特效潜艇画面太敷衍，歌功颂德的大合唱太造作，物理逻辑还一塌糊涂，本着我说了算的原则在强输出，一种幼稚的水下踢皮球的荒诞感，给人感觉，科幻而不彪悍，虚夸又不写实，那救赎的一刀让全场观众笑出了声，严重怀疑林超贤是个挂名导演，不行就撤档吧，目测要血亏…,2025-01-29 11:30:25,1765
4431614493,蛟龙行动,2025,陆陆而立,5,这电影连七分都不到吗？过去中国拍不出美国弱智低能的那种枪战大片，现在中国工业水平进步这么多，离不开所有电影人，投资人的努力！我不是军事家，我也不是什么军事爱好者，但我愿意给那些投资，以提升中国电影工业水平投资方给高分！ 那些自诩军事迷，影迷，打一星的蠢货们，你们自认为这电影和上海堡垒是一个水平吗？你们在打谁的脸，就是打自己的脸！ 你们处处在强调让其他人提高对电影和情节的认知水平，在社会上又处处强调要平等！可你们哪里有什么认知？你们用一颗星和劝退别人观影的方式体现对中国电影工业的支持？这就是你们高人一等的认知？你们拿这部电影打着和上海堡垒一样的分数，这就体现出你们处处强调的公平？ 这部电影2星，3星都不配吗？ 你们哪有什么做人的底线啊？,2025-02-01 15:50:58,220
4426765964,蛟龙行动,2025,谋杀游戏机,4,好像从来没看过拍核潜艇的商业大片，林超贤用了1:1模型实拍+精细的布光、运镜设计，成功营造出一种深海幽闭恐惧、身临其境般的惊悚感，结合“未来战争”的软科幻类型定位，拍出了有别于《红海行动》的味道，不止肉搏枪战，这点还让我印象蛮深刻的。黄轩于适那条线扎实硬核，演员们经过严苛的训练，成果还是肉眼可见的，身手干脆动作敏捷气质磊落，不像其他一些军事片演员都白净瘦弱发型一丝不苟的…更惊喜的是潜艇内的文戏也拍得紧张万分，鱼雷毫秒之争看得手心冒汗。,2025-01-29 11:48:36,855
4436446748,蛟龙行动,2025,牛脾气的阿狸,4,全程爆爆爆，就是分不清3方人员，然后舰长在危难时刻吹口琴是什么神奇操作。,2025-02-04 17:15:59,34
3900529484,蛟龙行动,2025,Tintin,5,期待于适,2025-02-03 08:34:18,38
4426447562,蛟龙行动,2025,西楼尘,1,声呐兵要在两个噪声信号里识别出敌舰，特战队要在有限时间内化解掉核弹危机。最绝望的时刻是一株长在潜艇里的绿植，一声响在深海里的口琴给人力量。原地升空的飞行器，金刚不坏的机械狗，现代战争拼的是科技，电影却没了肉身。当人物变成冰冷符号，战争变成奇观展示，那颗吃了就不痛的糖便失去了药效。,2025-01-28 20:14:25,938
4412378693,蛟龙行动,2025,scofieldd,1,2.2分。这部电影中对主旋律的表达仿佛退回了20年前，真有你的,2025-01-27 23:45:56,1327
4426775587,蛟龙行动,2025,柯里昂,1,当年《红海行动》创造了绝无仅有的魔幻观影经历，邻座一位约50岁的大叔全程慷慨激昂热烈解说，观影过程数次被他的手肘击到，两天前那段尘封的记忆伴随着满屏刺鼻反胃的男性荷尔蒙再度袭来，今夕是何年。,2025-01-29 11:55:57,322
4634544984,蛟龙行动,2025,deus,3,没有功劳也有苦劳，不忍心打再差的分数。特别版更大的意义在于趁着时势捞一笔小小止损，修补也不太用心，主要就是把原版本就灾难性的文戏粗暴的全部删除，没有了弛只有了张，倒也更像一部癫狂过火的港片，两条线比起来，还是突击队线比重更大，这部分拍得也更好，但也着实是审美疲劳，林超贤只是像完成行活一样自我复制了一次，还是只能用大尺度的暴力血腥场面来吸引眼球。也是看了这版才发现这片没有得到官方支持，编剧竟然是两个香港人，这对于一个打着主旋律之名宣传的片子几乎是难以想象的。林超贤的文戏水平实在是太差了，对于一个中等体量投资的商业片还可以接受拍成一个无脑爽片的水平，对于这种要进军春节档的头部体量商业片，是不能有明显短板存在的，剧情可以说相对次要，但起码得要有基本的起承转合，不看好林超贤以后的资源。,2025-09-06 16:52:10,11
4426871541,蛟龙行动,2025,潜水珊瑚,5,可以说整部电影最有特色的点就是让大家见识到了核潜艇，从里面什么样军人在其中怎么生活到怎么作战还有它配套的特殊兵种声呐兵，这是不同于以往军事题材电影的地方，难怪看之前的评论很多观众都是对声呐兵印象最深刻，看完觉得一点都不奇怪。戏份来说就是群戏，好几个角色都有高光，不过最令人惊喜的毫无疑问是王俊凯饰演的声呐兵，虽然戏份并不多，但兵种在大众印象中很新颖，演员也撑住了角色，台词铿锵有力，形象上也完全从美少年变为一个兵，一般观众可能都不一定认得出来演员是谁，角色塑造的很成功。,2025-01-29 13:17:46,868
4426518634,蛟龙行动,2025,安德烈大叔,2,大东方净土宗巫术：众志成城，合唱军歌，菩萨保佑修好潜艇核反应堆。,2025-01-28 22:39:26,220
4430643769,蛟龙行动,2025,阿暖,2,中间真的一度以为船要沉了，然后张涵予吹了个口琴就起死回生了，这就是舰长的实力？？？,2025-01-31 21:55:03,61
4623189905,蛟龙行动,2025,冰红深蓝,5,终于一睹《蛟龙行动（特别版）》，非常爽快又震撼，正好相当于提前在大银幕上看了场中国核潜艇部队的阅兵。与春节档的版本相比，全新上映的特别版是48帧版本，高帧率带来的效果就是每场动作戏都一目了然！鱼雷攻防战、潜艇躲闪与撞击、蛟龙小队登艇后的遭遇战、重重爆炸场面，以及最后在敌人基地里的残酷肉搏，都看得人肾上腺素狂飙。此外，在蛟龙小队登艇出发时，还有一整段在潜艇空间里跟拍的运动长镜头，全方位展示了“龙鲸号”上的各个舱室，这段在48帧率的加持下极尽流畅自如，剧组精心打造的1:1还原的潜艇内部构造无比清晰地映入眼帘，和丰富多样的动作戏一起给人一场沉浸式的观影体验！特别版还补上了部分细节，人物塑造更加完整，节奏也足够紧凑刺激。一句话，不愧是近几年最好看的国产军事大片，值得大银幕观看~,2025-08-23 20:25:58,16
4431289070,蛟龙行动,2025,haytenkm,1,黑水？公平？质量不行，又让观众背锅了是吗？,2025-02-01 11:04:24,560
4432261077,蛟龙行动,2025,GuoGuoGuo,2,一种每个人都很忙，但不知道忙什么的感觉。,2025-02-01 22:36:02,47
