评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3215600831,这个杀手不太冷静,2022,空山,3,超出预期，非常标准且体面的商业喜剧片，没走下三路、不靠屎尿屁。龙套演员被骗去黑帮演杀手，很有《喜剧之王》的味道。全片把“跨频道聊天”的错位感发挥到了极致，迷影梗玩得也溜，甚至挑战了《雨中曲》，但没露怯，好看。最欣慰的是，不强上价值，几乎所有的哭点、燃点，都丝滑地落回于笑点。这是喜剧片的素养。中国人这一年过得太苦了，看的哭片也太多了，拜托多来点这样的喜剧片行吗？单方面宣布，哭片不许进春节档！,2022-02-01 10:46:47,12144
3216912675,这个杀手不太冷静,2022,电影拼图,3,开心麻花的戏，你要说好看吧，看后又记不住任何，你要说不好看吧，毕竟你也跟着笑了。就像吃了安眠药，做了很多梦，醒来一个也记不住，可是钱却花了。,2022-02-01 23:11:33,10164
3215636248,这个杀手不太冷静,2022,Lauren,3,有的情节是真的尴尬，电影的有一些镜头可以很明显的看出是借鉴了哪些经典镜头，但演员的精神让人很是佩服，他是真的很珍惜这个男主角的机会，很用心的在表演,2022-02-01 11:28:42,6629
3215607915,这个杀手不太冷静,2022,朝阳区妻夫木聪,3,因为是翻拍，原版又实在太出众，抱着不太高的预期进来，没想到看完倒觉得还不错。在我看来原作的好建立在两方面，一是对电影诚挚的爱，二是通过荒诞来解构这种身份错位制造的冲突。这一版节奏更紧凑，加强了喜剧感。同时在演员魏翔和“演员”卡尔之间形成一种身份的互文，放大了这种“未知生活”中的“已知”。没有剧本的演出，所有人陪你胡闹只有你蒙在鼓里，甚至不知道演下去结局会如何，这些都是“未知”。但是作为自己这出戏的主角，无论是否有观众都尽力演好每一个角色，甚至要以一个不算完美但也善始善终的ending pose谢幕，这些都是“已知”。在我看来，人生的很多事情都是靠着这一丢丢执念，在努力抓住这一点“未知”中的“已知”。细细一想，这其实是这部喜剧里伤感的地方，也是原作里没太拍出来的部分。,2022-02-01 10:55:39,2569
3215570735,这个杀手不太冷静,2022,froggy,3,在看，感觉前半段逻辑就有问题，节奏掌控不到位，故事推进莫名其妙，远逊麻花人马的其他电影。加一星主要是希望魏翔这样演员能推陈出新，也比较喜欢本片的艺术风格,2022-02-01 10:08:26,1642
3215573048,这个杀手不太冷静,2022,落叶村,3,很想多给魏翔一颗星，但是电影后面实在是有些垮,2022-02-01 10:12:02,852
3216124455,这个杀手不太冷静,2022,frozenmoon,3,喜欢电影的看看有趣的小梗，纯粹看喜剧的到处都是小笑点。节奏不错，很考验演技，而且演技也经受住了考验。最重要的是，这电影明白自己的功能，没想教育任何人。让人放松地进入，放松地离开。,2022-02-01 17:21:15,333
3220186718,这个杀手不太冷静,2022,又双叒叕,3,春节档图个乐，这要是放在了别的档期就是个烂片无疑,2022-02-03 19:10:39,315
3215915650,这个杀手不太冷静,2022,消亡之人,3,喜剧张力是建立在“表演”二字上的。有人在演，有人没演，有人知道这是在演，有人不知道，而窥尽所有角色状态差异的观众，自然能感受到其中的幽默。 这招其实不新奇。应该说，很难得开心麻花在用脑子而非段子搞笑。舞台式布景打光做得不错。而既然他们演的就是烂演员，夸张就不足挂齿了。 但是，不是幽默加冷就叫冷幽默，加黑就叫黑色幽默，也可以是冻得瑟瑟发抖和两眼一抹黑。其实可以更高级，但大概这就是开心麻花的选择。 接下来就看市场的选择了。 所幸马丽在，又冷又飒，像把靓丽的尖刀。她的状态和其他人不一样。他们依然无脑插科打诨，她则冷嘲热讽动作迅猛，也只有她在这部黑色幽默与开心麻花的杂交产物中是圆融的。 其实一贯如此，她是开心麻花的锚，负责了她参与的每部电影的情感重量，即便在昨晚的小品中。 她真的该去演正剧……,2022-02-01 15:14:45,200
3215595691,这个杀手不太冷静,2022,老天奶,4,去年就听说试映反馈很好，原版盛名下本有担忧依然被翻拍优化程度惊喜。改编删繁就简把中段不好笑也不走心的两男争一女无法做戏的情感支线删去，重点放在令人信服的励志主题上，完全弥补。本身喜剧技法足够优秀，笑点精准控制，如此导致无废戏，让好笑的地方更好笑，通俗简单有效。这群喜剧演员演三谷幸喜舞台式电影再合适不过。原片名指夕阳西下自然光就能拍得很好看的摄影词汇，而这版将不冷静的杀手置于“善用自然光隐藏摄影机”的戏剧冲突里爆发高能笑料，惊声尖笑中从《教父》致敬到《雨中曲》从昆汀调侃到一众港片，一出纯正的摄影机不能停式的元电影和迷影文化喜剧。而最电影的还是，一直演配角的演员首次演主角，演的恰好就是从未演过主角的演员被骗去演主角的故事，有着和去年《你好，李焕英》一样穿透银幕的感动，虚构不过现实，现实不过虚构。,2022-02-01 10:40:05,3888
3370487189,这个杀手不太冷静,2022,百里途,3,说不好看吧，有些桥段确实跟着笑了，但要说好看吧，却又觉得有点违心,2022-05-28 13:27:43,93
3300394223,这个杀手不太冷静,2022,赫恩曼尼,3,结尾花絮，魏翔哭着说：“这是我第一部男主角。”倒是比剧里的设定动人一百倍。,2022-04-03 19:46:20,98
3215716176,这个杀手不太冷静,2022,壹安²,4,又让喜剧片给整哭了，当魏翔说出“这是我第一部男主角”的时候，那种心酸我想所有的喜剧人都能体会吧！,2022-02-01 12:40:56,3557
3215570620,这个杀手不太冷静,2022,nil,4,基于改编及片名等第一印象，这部电影是属于“真香”系列。魏翔和魏成功都迎来了自己第一个虽迟但到的男一号，值得那句“好饭不怕晚”。不是段子梗喜剧，观众要跟着节奏来收一个个包袱，这才是我喜欢的喜剧类型,2022-02-01 10:08:15,3544
3215640307,这个杀手不太冷静,2022,韦斯安徒生,3,确实能让人笑很大声的合格喜剧，好在绝大部分笑点来自戏剧结构以及演员表演而非段子的拼凑，遗憾笑完也就完了。基本照搬了三谷幸喜原作「魔幻时刻」的第二幕，也因此保留了最爆笑的桥段，大刀阔斧改编了人物关系，加强了反派与矛盾冲突使影片更商业。最妙的是魏翔个人的境遇和银幕里的魏成功无缝打通，看着片尾魏翔痛哭流涕的杀青感言很难不被打动，他对这个角色也真的是毫无保留了。,2022-02-01 11:33:02,175
3220319430,这个杀手不太冷静,2022,shine,3,合格的贺岁喜剧片，很开心麻花，有包袱有笑点有致敬梗。《雨中曲》那段DNA动了。最好看的片段，我认为是彩蛋魏翔百感交集的杀青感言，说这是他演艺生涯第一个男主角，戏内戏外巧妙共情了，微微泪目。,2022-02-03 20:22:55,71
3386157069,这个杀手不太冷静,2022,桃桃林林,3,这里有个问题，就是原版里的杀手演员，可从来没拿自己当小丑。所以，喜剧的底色就更加悲凉了。,2022-06-11 13:19:21,30
3232619474,这个杀手不太冷静,2022,红豆♥,3,有点好笑，又觉得没啥好看的。,2022-02-10 18:57:51,39
3217703169,这个杀手不太冷静,2022,Tom,4,目前为止开心麻花唯一一部含腾量为零但整体质量不拉胯的喜剧。如果这个抖机灵且硬蹭的片名是原罪，改成《演员的自我修养》可能更合适。,2022-02-02 13:36:59,1700
2939865202,这个杀手不太冷静,2022,Picasso影业,3,中国版《魔幻时刻》？但愿别拍砸锅了。// 2.9看完，改编的略平庸，不过魏翔的演技是真的好。,2022-02-09 21:42:40,3
3215530447,这个杀手不太冷静,2022,周宇勋,1,走出影厅时，恰逢隔壁厅的《奇迹笨小孩》同时散场。看着他们湿润的眼眶，听着他们三三两两、不绝于耳的赞叹声，我感觉我肠子都要的悔青了。（《这个杀手不太冷静》+《李茂换太子》，这哥俩儿真是用实力证明了「谐音梗必摆烂」这句话的可信度与准确性）,2022-02-01 10:10:27,1995
3216945909,这个杀手不太冷静,2022,西楼尘,1,开心时可以在雨中起舞，粗暴时像荒野的镖客，我可以接受你说我演技太烂，却不能接受这一切都是假的。没有镜头的表演可以自由发挥，没有剧本的独白可以发自内心。我继续跑着龙套，扮演着被殴打的替身，把男主角当成一场旧梦。没有谁可以质疑梦的真实，它意外存在于胶片里，像一些曼妙的梦，支撑着人生。,2022-02-01 23:23:57,723
3215583522,这个杀手不太冷静,2022,豆瓣路人己,2,比电影还尴尬的是，大概是把三谷幸喜拍得那么段子吧。好笑不代表好,2022-02-01 10:25:38,1936
3215704513,这个杀手不太冷静,2022,汽车维修员,2,伟大的喜剧其实都是悲剧，这部剧只能说是无聊剧,2022-02-01 12:30:54,827
3224152851,这个杀手不太冷静,2022,Rosemary,3,拿《魔幻时刻》的内核，致敬《喜剧之王》《杀死比尔》《荒野大镖客》《雨中曲》《教父》《天堂电影院》等等经典，夹杂带着东北大碴味的低级笑点，融合做的特别恰当。但剧本仍是开心麻花的一大问题，幕与幕之间的衔接太过生硬，整体走向仍然流于俗套，影片最终立意不明确、模棱两可。,2022-02-05 20:41:13,64
3230565872,这个杀手不太冷静,2022,骑羊的兔哥,2,如此垃圾的电影，没一点逻辑，纯粹是为搞笑而搞笑，问题是好笑吗？,2022-02-09 13:28:35,297
3218096447,这个杀手不太冷静,2022,谢谢你们的鱼,1,笑料就是出洋相、口误、阴阳怪气和装疯卖傻，咋呼得要死，彻头彻尾的一个闹剧，甚至都不如去年的《你好，李焕英》。100分钟的超长小品，没有灵魂，还充满了拙劣且肤浅的迷影梗，就连煽情都尴尬得犹如《欢乐喜剧人》。整个改编剧本真的是非常糊弄了事，起承转合和角色动机都如同儿戏。魏翔已经取代程野成为了最让我感到生理不适的喜剧男演员，而演女明星的马丽也毫无说服力，与其说是翻拍《魔幻时刻》，不如说是对《喜剧之王》的又一次重复。黄才伦真的是麻花的烂片之王。,2022-02-02 17:40:24,597
3215613599,这个杀手不太冷静,2022,Ice,4,笑点密集，魏翔本人与男主最后的那个共鸣居然莫名的感动到我了,2022-02-01 11:02:25,794
3244430728,这个杀手不太冷静,2022,steven47,3,魏翔真是为了这个角色而生的，他真的很牛逼，全看他了。,2022-02-18 23:44:35,24
