评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
4774220136,镖人,2026,AAA建材刘哥,4,谁写的台词「我就是大沙暴」啊？？？,2026-02-19 20:27:02,11876
4772087218,镖人,2026,走马,4,看一部少一部，感觉以后都没人拍这种电影了,2026-02-17 20:05:33,7573
4771593754,镖人,2026,Anthony,3,受不了这台词功底了，能不能把重音念对啊,2026-02-17 11:07:12,7528
4663814756,镖人,2026,Shinshi,4,尽管影片并未能深度诠释武侠精神的浪漫内核，以及乱世中镖人对侠义的传承与嬗变（甚至老登符号也玷污了吴京的荧幕形象），但它依然是近几年质量上乘的漫改电影。影片的服化道极为精致，大场面的动作戏份量充足，火焰与沙尘的自然特效更是将打斗氛围烘托至新的高度。多BOSS的设计巧妙规避了近年动作片的短板——若单一反派带来的纠葛显得简单粗暴，便多来几个反派。男主角更是从头杀到尾，将所有能杀之人都交手个遍。,2026-02-17 11:28:36,5677
4771625825,镖人,2026,自由说,4,其实是公路片，在乏善可陈的剧作下武打戏支撑起了全片。各种冷兵器的对决与摩擦，从未见过的刀法，以及一些自然奇观的呈现都是超预期的。但故事展开时剑拔弩张的天下局势到后来变成了个人的恩怨情仇，俞白眉的剧作功底明显不足，多线叙事太过拖沓，欠缺人物的逻辑动机。梁家辉总是群戏中最亮眼的存在，少量戏份却掀起了巨大的情感波澜，实属技巧与感情兼备的优秀演员。,2026-02-17 11:53:03,4512
4771820184,镖人,2026,Mr.Raindrop,4,文戏是不太行，但是量也不多，再加上对原剧情的压缩，其实不太重要感觉。武戏真的很爽几乎从头到尾，就是没看过原著的会可能看不懂。没明白说不如封神2的是啥意思，封神才是什么鬼！,2026-02-17 15:46:15,3800
4771976372,镖人,2026,梦里花落谁人知,5,不知道为什么有那么多吐槽这部电影的，这部电影就是春节档最好看的，这样的武侠片不支持，以后还能有什么动力出优秀的武侠片，我为优质的武侠片投一票,2026-02-17 18:16:10,15010
4748990755,镖人,2026,穆阳,3,非常潦草的把原著剧情过了一遍，拍出了一种没有功劳也有苦劳的感觉,2026-02-17 22:28:33,4611
4771605006,镖人,2026,卷毛伦,3,不烂，但是不好看。剧情有原著打底只能说凑合，但流水改编如同ppt过场展示让人毫无印象，美术和视效更是平庸无奇毫无想象力，最逆天、最折磨、最灾难的当属台词口音，我以后再也不无脑要求原音了。,2026-02-17 11:24:01,3211
4750591232,镖人,2026,青春少年与他,3,去年是射雕英雄传，今年是镖人。,2026-02-17 11:08:02,2017
4774367769,镖人,2026,ooooo2,3,嗯嗯嗯,2026-02-19 22:25:02,1275
