评论ID,电影名称,上映年份,用户昵称,用户评分,评论内容,评论时间,点赞数
3217394870,长津湖之水门桥,2022,木卫二,2,内容是kmyc，形式是土法炼钢。就像连接桥堡，一排四道的水管，你知道它会派上用场，但不能想象被用得如此含糊不清，狂轰乱炸之下，居然只有我军炸出的一个小小缺口。可在视觉上，它被凸显得比水门桥要壮观强烈得多——这也几乎是电影的问题所在，除了高山速降有些徐克的飘逸动作影子，它基本还是一部用硬邦邦的水泥管子粗细，来表现我军战士是用特殊材料制成的电影。他们被轧被炮弹撕裂被冷冻火烧，能一声不吭、坚决完成任务。站是打不弯的老辣钢材板，躺下是敲不碎的新生混凝土。在反战已是电影主流声音的今日，看一群无法传递人之疼痛脆弱，而是让位于训令口号和油腻特效的大片，一再摇头。,2022-02-02 09:09:15,505
3218022984,长津湖之水门桥,2022,Easton Sui,2,还能说什么…价值在于我们见证了中国电影工业化的进步…,2022-02-02 17:00:12,515
3216861056,长津湖之水门桥,2022,六尺之上,3,据说上部被吐槽文戏少，是因为被放到了下部。看完水门桥后我认为，整部长津湖就没有什么文戏—每次战斗间歇的短暂交流可不算文戏。用电影去表现抗美援朝，表现志愿军，本就力不从心，并不是技术达不到，而是电影这种艺术形式本身无法表现国人心中的抗美援朝。抗美援朝如同一场雄壮的进行曲，不允许有任何不和谐音符，电影中，志愿军战士用各种牺牲诠释了英勇、顽强、视死如归。战争在中国人心中本就是不一样的事物，在中国，战争这个词是容不下多少哲学思考的。我们的战争首先是悲壮的，可歌可泣的。我们不能，也不允许像别的国家那样，从第三人的视角看待自己国家的战争。于是，我们最好用纪录片表现战争，能有好作品。至于电影，还是用来记录更加复杂晦暗的人性，和更加模棱两可的世界观吧。,2022-02-01 22:53:11,3250
3204511435,长津湖之水门桥,2022,王祉乔,4,1950年 是新中国成立后的第一个虎年,2022-02-01 11:19:11,6939
3215829677,长津湖之水门桥,2022,单数路人甲,4,一代人打了五代人仗，受了五代人的苦,2022-02-01 14:10:10,5891
3223145032,长津湖之水门桥,2022,高兴得小马,3,刚看完水门桥，作为一个工科生不明白，炸桥不应该首选桥墩吗？牺牲那么大盯着桥面炸，多好修啊！不合理,2022-02-05 10:55:53,2133
3215598119,长津湖之水门桥,2022,阿鑫.,4,"最后报数时突然想起许三多是钢七连第4956个兵,一个个数字,多么有魅力.........",2022-02-01 10:43:06,3879
3184737603,长津湖之水门桥,2022,神代玲花,1,建议延期到23年大年初一,2022-02-13 20:11:23,316
3215608521,长津湖之水门桥,2022,雾散,5,“第七穿插连应到一百五十七人，实到一人。”,2022-02-01 10:56:25,8020
3213925557,长津湖之水门桥,2022,爱看电影999,3,太长，只是乱打，没有家国情怀，没法共情。编剧不行,2022-02-02 21:32:17,1746
