主题编号,主题名称,关键词,权重,排名
1,导演风格与视听体验问题,剧情,0.0096,1
1,导演风格与视听体验问题,小时,0.0083,2
1,导演风格与视听体验问题,镜头,0.0077,3
1,导演风格与视听体验问题,无聊,0.0071,4
1,导演风格与视听体验问题,角色,0.0069,5
1,导演风格与视听体验问题,演技,0.0063,6
1,导演风格与视听体验问题,行动,0.0061,7
1,导演风格与视听体验问题,导演,0.006,8
1,导演风格与视听体验问题,两个,0.0058,9
1,导演风格与视听体验问题,分钟,0.0056,10
1,导演风格与视听体验问题,不如,0.0054,11
1,导演风格与视听体验问题,红海,0.0053,12
1,导演风格与视听体验问题,张艺谋,0.0048,13
1,导演风格与视听体验问题,反转,0.0047,14
1,导演风格与视听体验问题,小品,0.0045,15
2,剧情逻辑与叙事结构问题,剧情,0.013,1
2,剧情逻辑与叙事结构问题,人物,0.011,2
2,剧情逻辑与叙事结构问题,故事,0.0105,3
2,剧情逻辑与叙事结构问题,导演,0.006,4
2,剧情逻辑与叙事结构问题,动作,0.006,5
2,剧情逻辑与叙事结构问题,特效,0.0059,6
2,剧情逻辑与叙事结构问题,观众,0.0058,7
2,剧情逻辑与叙事结构问题,角色,0.0056,8
2,剧情逻辑与叙事结构问题,毫无,0.0054,9
2,剧情逻辑与叙事结构问题,逻辑,0.005,10
2,剧情逻辑与叙事结构问题,叙事,0.0047,11
2,剧情逻辑与叙事结构问题,问题,0.0047,12
2,剧情逻辑与叙事结构问题,剧本,0.0042,13
2,剧情逻辑与叙事结构问题,演员,0.0041,14
2,剧情逻辑与叙事结构问题,节奏,0.0041,15
3,导演个人风格与角色塑造问题,韩寒,0.0112,1
3,导演个人风格与角色塑造问题,男人,0.0091,2
3,导演个人风格与角色塑造问题,角色,0.0064,3
3,导演个人风格与角色塑造问题,赛车,0.0062,4
3,导演个人风格与角色塑造问题,哪吒,0.006,5
3,导演个人风格与角色塑造问题,女性,0.0059,6
3,导演个人风格与角色塑造问题,现实,0.0055,7
3,导演个人风格与角色塑造问题,这部,0.0048,8
3,导演个人风格与角色塑造问题,影片,0.0047,9
3,导演个人风格与角色塑造问题,我们,0.0047,10
3,导演个人风格与角色塑造问题,春节,0.0044,11
3,导演个人风格与角色塑造问题,中年,0.0043,12
3,导演个人风格与角色塑造问题,导演,0.0041,13
3,导演个人风格与角色塑造问题,喜欢,0.0037,14
3,导演个人风格与角色塑造问题,好笑,0.0037,15
4,观影期待落差与情绪失望,熊出没,0.0102,1
4,观影期待落差与情绪失望,好看,0.0091,2
4,观影期待落差与情绪失望,韩寒,0.0076,3
4,观影期待落差与情绪失望,有点,0.0076,4
4,观影期待落差与情绪失望,人生,0.0069,5
4,观影期待落差与情绪失望,失望,0.0067,6
4,观影期待落差与情绪失望,他们,0.0064,7
4,观影期待落差与情绪失望,沈腾,0.0061,8
4,观影期待落差与情绪失望,孩子,0.0058,9
4,观影期待落差与情绪失望,难看,0.0058,10
4,观影期待落差与情绪失望,飞驰,0.0056,11
4,观影期待落差与情绪失望,观众,0.0055,12
4,观影期待落差与情绪失望,我们,0.0054,13
4,观影期待落差与情绪失望,然后,0.0047,14
4,观影期待落差与情绪失望,小孩,0.0047,15
5,喜剧类型与商业化过度问题,观众,0.0135,1
5,喜剧类型与商业化过度问题,中国,0.0087,2
5,喜剧类型与商业化过度问题,喜剧,0.0082,3
5,喜剧类型与商业化过度问题,导演,0.0073,4
5,喜剧类型与商业化过度问题,不会,0.0061,5
5,喜剧类型与商业化过度问题,陈思诚,0.006,6
5,喜剧类型与商业化过度问题,剧情,0.006,7
5,喜剧类型与商业化过度问题,不要,0.0058,8
5,喜剧类型与商业化过度问题,恶心,0.0058,9
5,喜剧类型与商业化过度问题,强行,0.0056,10
5,喜剧类型与商业化过度问题,真是,0.0053,11
5,喜剧类型与商业化过度问题,垃圾,0.0052,12
5,喜剧类型与商业化过度问题,麻花,0.005,13
5,喜剧类型与商业化过度问题,我们,0.0049,14
5,喜剧类型与商业化过度问题,推理,0.0049,15
