主题,关键词,权重
1,哪吒,40.35
1,熊出没,39.19
1,不是,30.8
1,动画,25.51
1,小孩,24.53
1,如坐针毡,21.18
1,张艺谋,20.59
1,好看,19.96
1,这是,18.25
1,失望,17.87
2,人物,50.26
2,角色,43.68
2,就是,37.98
2,故事,35.86
2,叙事,34.13
2,剧情,33.42
2,不是,30.71
2,镜头,29.54
2,特效,28.68
2,导演,28.56
3,剧情,45.77
3,难看,39.74
3,小时,33.5
3,不能,33.47
3,有点,32.77
3,无聊,30.05
3,睡着,29.97
3,两个,27.29
3,小朋友,23.77
3,毫无,22.62
4,韩寒,47.33
4,贾玲,30.19
4,大过年,26.66
4,佳音,26.03
4,演技,24.03
4,人生,22.39
4,不了,22.0
4,沈腾,21.78
4,我们,21.67
4,第一部,21.19
5,中国,32.56
5,烂片,31.62
5,不行,29.83
5,一部,25.92
5,导演,25.46
5,观众,24.91
5,这种,24.08
5,真是,23.63
5,剪辑,22.79
5,春节,22.01
6,陈思诚,34.91
6,就是,31.12
6,煽情,30.35
6,强行,27.34
6,为了,25.5
6,一星,24.1
6,搞笑,23.7
6,故事,22.08
6,喜剧,20.56
6,推理,20.01
