片名,年份,豆瓣评分,类型,导演,用户平均分,评分中位数,评论数,评分标准差
你好，李焕英,2021,7.7,剧情 / 喜剧 / 奇幻,贾玲,3.7279596977329974,4.0,397.0,1.2955047058255211
新神榜：哪吒重生,2021,6.8,动作 / 动画 / 奇幻,赵霁,3.0475,3.0,400.0,1.216117224101728
人潮汹涌,2021,6.5,喜剧 / 犯罪,饶晓志,3.1742424242424243,3.0,396.0,1.1959607892552886
刺杀小说家,2021,6.5,动作 / 奇幻 / 冒险,路阳,3.8525,4.0,400.0,1.2883685356718682
熊出没·狂野大陆,2021,6.2,喜剧 / 科幻 / 动画,丁亮 / 邵和麒,3.1203007518796992,3.0,399.0,1.105292844059929
唐人街探案3,2021,5.3,喜剧 / 悬疑,陈思诚,2.057788944723618,2.0,398.0,1.2020876616434664
狙击手,2022,7.7,剧情 / 历史 / 战争,张艺谋 / 张末,3.485,4.0,400.0,1.215924001714278
奇迹·笨小孩,2022,7.4,剧情,文牧野,3.5925,4.0,400.0,1.2944623718286286
长津湖之水门桥,2022,7.2,剧情 / 历史 / 战争,徐克,3.25,3.0,400.0,1.214985792587912
喜羊羊与灰太狼之筐出未来,2022,6.7,喜剧 / 动画 / 运动,黄伟明,3.2762148337595907,3.0,391.0,1.079136404431404
熊出没·重返地球,2022,6.5,喜剧 / 动画 / 儿童,林汇达,3.1260053619302948,3.0,373.0,1.0864237326443553
这个杀手不太冷静,2022,6.1,喜剧,邢文雄,2.859375,3.0,320.0,1.2477840860468807
四海,2022,5.3,喜剧 / 动作 / 爱情,韩寒,2.7225,2.0,400.0,1.3803104332832448
流浪地球2,2023,8.3,科幻 / 冒险 / 灾难,郭帆,3.798469387755102,4.0,392.0,1.1544189331561099
深海,2023,7.2,动画 / 奇幻,田晓鹏,3.1125,3.0,400.0,1.3837016751505853
熊出没·伴我“熊芯”,2023,7.2,喜剧 / 科幻 / 动画,林永长 / 邵和麒,,,,
满江红,2023,6.9,剧情 / 喜剧 / 悬疑 / 古装,张艺谋,3.06,3.0,400.0,1.2451006743324242
无名,2023,6.6,剧情 / 悬疑 / 历史,程耳,2.751269035532995,3.0,394.0,1.2495539819866979
红毯先生,2023,6.5,剧情 / 喜剧,宁浩,3.043037974683544,3.0,395.0,1.272780594885348
交换人生,2023,5.0,喜剧 / 家庭 / 奇幻,苏伦,2.3825,2.0,400.0,1.1222041281616986
我们一起摇太阳,2024,8.0,剧情 / 爱情 / 家庭,韩延,3.4875,4.0,400.0,1.2938426573796131
飞驰人生2,2024,7.6,剧情 / 喜剧 / 运动,韩寒,3.3689567430025447,4.0,393.0,1.3901083428124268
热辣滚烫,2024,7.5,剧情 / 喜剧 / 运动,贾玲,3.365,4.0,400.0,1.4687300363918137
第二十条,2024,7.5,剧情 / 喜剧 / 家庭,张艺谋,3.2775,3.0,400.0,1.328497653380537
熊出没·逆转时空,2024,6.9,喜剧 / 科幻 / 动画,林汇达,3.0275,3.0,400.0,1.1959596769424043
哪吒之魔童闹海,2025,8.4,剧情 / 喜剧 / 动画 / 奇幻,饺子,2.9647355163727958,3.0,397.0,1.2668124888443313
熊出没·重启未来,2025,7.1,剧情 / 喜剧 / 科幻 / 动画,林永长 / 瞿才佳,3.335,3.0,400.0,1.1471988332051548
唐探1900,2025,6.4,喜剧 / 动作 / 悬疑,陈思诚 / 戴墨,2.8175,3.0,400.0,1.2740690246997013
蛟龙行动,2025,6.2,剧情 / 动作 / 战争,林超贤,2.43609022556391,2.0,399.0,1.1820690283645847
封神第二部：战火西岐,2025,5.7,动作 / 战争 / 奇幻 / 古装,乌尔善,2.67,3.0,400.0,1.2589927150867888
射雕英雄传：侠之大者,2025,5.2,武侠,徐克,2.492462311557789,2.0,398.0,1.342464168109007
夜王,2026,7.8,剧情 / 喜剧,吴炜伦,3.3553299492385786,4.0,197.0,1.319258649953078
镖人：风起大漠,2026,7.5,动作 / 武侠 / 古装,袁和平,,,,
飞驰人生3,2026,7.2,剧情 / 喜剧 / 运动,韩寒,3.1425,3.0,400.0,1.206579186515885
熊出没·年年有熊,2026,6.5,喜剧 / 动画 / 奇幻,林汇达,,,,
惊蛰无声,2026,5.9,剧情 / 犯罪,张艺谋,2.382278481012658,2.0,395.0,1.1764136645197356
