词语,频次
就是,660
剧情,641
不是,535
故事,512
导演,458
观众,422
一部,375
人物,360
角色,352
这种,350
完全,326
为了,249
特效,243
中国,233
不能,232
演员,231
逻辑,228
剧本,228
哪吒,217
春节,210
一样,209
问题,209
无聊,205
毫无,200
尴尬,196
难看,195
有点,194
煽情,192
女性,191
镜头,187
两个,186
甚至,185
小时,183
喜剧,182
情节,177
演技,175
很多,174
叙事,174
真是,174
台词,171
韩寒,164
喜欢,163
结果,161
只有,157
不如,153
实在,151
不会,150
强行,149
好看,147
节奏,147
我们,147
东西,143
现在,143
所有,142
主角,138
只能,137
熊出没,137
除了,136
表演,135
他们,132
不要,132
部分,131
各种,131
画面,131
作为,130
设定,129
理解,129
到底,128
恶心,128
直接,127
然后,125
孩子,124
结尾,123
莫名其妙,121
居然,121
不好,120
世界,119
确实,118
以及,118
影片,117
一星,116
动画,116
票房,115
编剧,114
一种,114
任何,113
第一部,113
不行,112
动作,112
陈思诚,112
唯一,111
根本,111
全程,109
看过,108
情绪,107
场面,107
全片,106
笑点,104
剪辑,104
你们,103
