词语,频次
就是,1941
故事,1841
剧情,1648
不是,1469
一部,1334
导演,1236
角色,1196
观众,987
人物,973
有点,921
喜欢,921
春节,905
这种,890
我们,828
特效,827
好看,808
中国,807
熊出没,785
演员,763
很多,758
不错,746
完全,742
哪吒,647
为了,646
女性,626
叙事,594
一样,584
问题,564
不能,563
世界,561
演技,560
喜剧,549
确实,546
剧本,541
影片,537
甚至,536
节奏,535
孩子,516
作为,508
动画,504
镜头,503
部分,498
他们,492
煽情,482
画面,482
结尾,475
现实,475
贾玲,469
韩寒,469
情节,466
两个,462
第一部,454
现在,446
台词,434
以及,429
只有,428
有些,427
表演,426
逻辑,424
主角,418
设定,417
不会,413
希望,407
所有,404
感动,402
场面,400
妈妈,397
一种,395
系列,394
作品,392
真是,379
人生,377
一次,374
主题,370
情感,366
动作,366
理解,365
适合,361
特别,360
只能,360
整体,355
需要,351
题材,351
一起,351
实在,351
生活,349
各种,344
赛车,343
情绪,342
结果,337
小时,336
尴尬,335
东西,334
看过,329
来说,327
期待,324
除了,322
地方,318
无聊,317
反转,317
